"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.208,0.226,0.189,0.277,0.171,0.21,0.209,0.208,0.238,0.166,0.296,0.141,0.04,0.067,0.22,0.191,0.211,0.206,6
"Buena",0.277,0.28,0.274,0.261,0.264,0.307,0.3,0.204,0.335,0.264,0.34,0.264,0.235,0.157,0.304,0.269,0.249,0.303,6
"Ni buena ni mala",0.36,0.346,0.375,0.343,0.395,0.321,0.34,0.41,0.307,0.388,0.289,0.418,0.441,0.541,0.321,0.385,0.359,0.361,6
"Mala",0.09,0.105,0.075,0.065,0.09,0.106,0.11,0.103,0.073,0.102,0.047,0.107,0.18,0.112,0.092,0.092,0.095,0.086,6
"Muy mala",0.047,0.037,0.056,0.054,0.048,0.055,0.011,0.075,0.014,0.066,0.015,0.033,0.104,0.067,0.054,0.038,0.075,0.02,6
"No sabe",0.018,0.006,0.031,0,0.032,0.001,0.03,0,0.033,0.014,0.013,0.037,0,0.056,0.009,0.025,0.011,0.024,6
"Positiva",0.485,0.506,0.463,0.538,0.435,0.517,0.509,0.412,0.573,0.43,0.636,0.405,0.275,0.224,0.524,0.46,0.46,0.509,4
"Neutra",0.36,0.346,0.375,0.343,0.395,0.321,0.34,0.41,0.307,0.388,0.289,0.418,0.441,0.541,0.321,0.385,0.359,0.361,4
"Negativa",0.137,0.142,0.131,0.119,0.138,0.161,0.121,0.178,0.087,0.168,0.062,0.14,0.284,0.179,0.146,0.13,0.17,0.106,4
"No sabe",0.018,0.006,0.031,0,0.032,0.001,0.03,0,0.033,0.014,0.013,0.037,0,0.056,0.009,0.025,0.011,0.024,4
