clave	texto
encuesta_especial	Tracking CABA (Estimación especial dos días)
bajada_encuesta_especial	Encuesta Contínua
bajada_encuesta_especial_fecha	
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Ciudad Autónoma de Buenos Aires.
ficha_Técnicas de recolección de información	ECA - Encuesta Contínua Automática con voz humana.
ficha_Tamaño muestral	La captura de datos abarca 933 casos efectivos.
ficha_Dalibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 4.65 %
