"var","categoria","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler","No, no se debería cobrar nada","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.077,0.094,0.092
"P04","Patricia Bullrich por Juntos por el Cambio",0.101,0.332,0.244
"P04","Facundo Manes por Juntos por el Cambio",0.031,0.041,0.022
"P04","Alberto Fernández por el Frente de Todos",0.122,0.041,0.08
"P04","Sergio Massa por el Frente de Todos",0.092,0.066,0.057
"P04","Wado de Pedro por el Frente de Todos",0.213,0.039,0.072
"P04","Daniel Scioli por el Frente de Todos",0.097,0.031,0.066
"P04","Javier Milei por los liberales libertarios",0.107,0.266,0.172
"P04","Al candidato del Frente de Izquierda",0.035,0.014,0.04
"P04","No sabe",0.125,0.076,0.155
"P06","Si, es una vivienda alquilada",0.382,0.282,0.316
"P06","No, no es una vivienda alquilada",0.618,0.718,0.684
"P07","Mejor que la ley anterior",0.169,0.068,0.053
"P07","Igual que la ley anterior",0.242,0.164,0.132
"P07","Peor que la ley anterior",0.305,0.495,0.349
"P07","No sabe",0.284,0.273,0.466
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.196,0.084,0.079
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.162,0.323,0.105
"P08","Por ambas razones",0.357,0.41,0.391
"P08","No sabe",0.285,0.183,0.425
"P09","Los inquilinos",0.388,0.198,0.131
"P09","Los propietarios",0.104,0.104,0.025
"P09","A ambos, propietarios e inquilinos",0.189,0.346,0.404
"P09","A ninguno",0.157,0.199,0.139
"P09","No sabe",0.162,0.153,0.301
