"var","categoria","Mejor que la ley anterior","Igual que la ley anterior","Peor que la ley anterior","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.093,0.071,0.086,0.086
"P04","Patricia Bullrich por Juntos por el Cambio",0.146,0.185,0.306,0.202
"P04","Facundo Manes por Juntos por el Cambio",0.028,0.043,0.037,0.029
"P04","Alberto Fernández por el Frente de Todos",0.082,0.099,0.036,0.118
"P04","Sergio Massa por el Frente de Todos",0.091,0.112,0.056,0.06
"P04","Wado de Pedro por el Frente de Todos",0.212,0.1,0.059,0.109
"P04","Daniel Scioli por el Frente de Todos",0.068,0.083,0.054,0.058
"P04","Javier Milei por los liberales libertarios",0.139,0.215,0.253,0.145
"P04","Al candidato del Frente de Izquierda",0.067,0.025,0.016,0.029
"P04","No sabe",0.074,0.067,0.097,0.164
"P06","Si, es una vivienda alquilada",0.64,0.206,0.364,0.197
"P06","No, no es una vivienda alquilada",0.36,0.794,0.636,0.803
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.329,0.147,0.093,0.086
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.181,0.319,0.292,0.118
"P08","Por ambas razones",0.307,0.362,0.511,0.251
"P08","No sabe",0.183,0.172,0.104,0.545
"P09","Los inquilinos",0.318,0.246,0.293,0.16
"P09","Los propietarios",0.196,0.178,0.07,0.033
"P09","A ambos, propietarios e inquilinos",0.187,0.267,0.394,0.247
"P09","A ninguno",0.226,0.192,0.148,0.201
"P09","No sabe",0.073,0.117,0.095,0.359
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.541,0.411,0.23,0.288
"P10","No, no se debería cobrar nada",0.371,0.474,0.635,0.47
"P10","No sabe",0.088,0.115,0.135,0.242
