"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P07","A Gustavo Menendez por el Frente de Todos",0.692,0.385,0.635,0.603
"P07","A David Zencich por Juntos por el Cambio",0.014,0.089,0,0.035
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.011,0.303,0,0.003
"P07","Al candidato de Javier Milei",0.205,0,0.248,0.054
"P07","A Cristian Franco por el Frente de Izquierda",0.074,0.203,0,0.033
"P07","A otro candidato",0.004,0.02,0.117,0.272
"P09","A Gustavo Menendez por el Frente de Todos",0.706,0.313,0.56,0.568
"P09","A David Zencich por Juntos por el Cambio",0,0.117,0.248,0.156
"P09","Al candidato de Javier Milei",0.205,0.304,0.083,0.076
"P09","A Cristian Franco por el Frente de Izquierda",0.082,0.005,0.023,0.075
"P09","A otro candidato",0.007,0.261,0.086,0.125
"P11","A Gustavo Menendez por el Frente de Todos",0.702,0.358,0.643,0.553
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.004,0.025,0,0.2
"P11","Al candidato de Javier Milei",0.205,0.304,0.006,0.058
"P11","A Cristian Franco por el Frente de Izquierda",0.085,0.005,0.023,0.075
"P11","A otro candidato",0.004,0.308,0.328,0.114
"P13","Muy buena",0.429,0.258,0.095,0.174
"P13","Buena",0.243,0.048,0.541,0.415
"P13","Ni buena ni mala",0.045,0.403,0.019,0.242
"P13","Mala",0.074,0.051,0.345,0.02
"P13","Muy mala",0.209,0.24,0,0.114
"P13","No sabe",0,0,0,0.035
"P14","Muy buena",0.114,0.028,0,0.012
"P14","Buena",0.215,0.124,0.362,0.003
"P14","Ni buena ni mala",0.455,0.55,0.382,0.212
"P14","Mala",0.004,0.059,0.08,0.389
"P14","Muy mala",0.004,0.163,0.106,0.162
"P14","No sabe",0.208,0.076,0.07,0.222
"P15","Muy buena",0.374,0.075,0.128,0.12
"P15","Buena",0.273,0.077,0.37,0.141
"P15","Ni buena ni mala",0.073,0.576,0.013,0.377
"P15","Mala",0.071,0.038,0.351,0.171
"P15","Muy mala",0.209,0.234,0.082,0.117
"P15","No sabe",0,0,0.056,0.074
"P16","Muy buena",0.041,0.305,0,0.006
"P16","Buena",0.357,0.02,0,0.006
"P16","Ni buena ni mala",0.231,0.165,0.738,0.372
"P16","Mala",0.082,0.254,0.103,0.234
"P16","Muy mala",0.013,0.173,0.089,0.202
"P16","No sabe",0.276,0.083,0.07,0.18
"P17","Muy buena",0.011,0.32,0,0.073
"P17","Buena",0.099,0.107,0.143,0.024
"P17","Ni buena ni mala",0.216,0.304,0.616,0.091
"P17","Mala",0.119,0.057,0.128,0.464
"P17","Muy mala",0.35,0.186,0.113,0.302
"P17","No sabe",0.205,0.026,0,0.046
"P18","Muy buena",0.037,0.303,0,0.017
"P18","Buena",0.084,0.07,0,0.015
"P18","Ni buena ni mala",0.372,0.339,0.848,0.287
"P18","Mala",0.021,0.005,0,0.274
"P18","Muy mala",0.212,0.182,0.089,0.124
"P18","No sabe",0.274,0.101,0.063,0.283
"P19","Muy buena",0.082,0.292,0,0.064
"P19","Buena",0.083,0.065,0.006,0.089
