"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos",0.699,0.159,0.121,0.032,0.134
"P07","A David Zencich por Juntos por el Cambio",0.087,0.563,0.27,0.189,0.115
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.016,0.196,0.151,0.018,0.16
"P07","Al candidato de Javier Milei",0.029,0.042,0.404,0.139,0.097
"P07","A Cristian Franco por el Frente de Izquierda",0.046,0,0.021,0.415,0.087
"P07","A otro candidato",0.123,0.04,0.033,0.207,0.407
"P09","A Gustavo Menendez por el Frente de Todos",0.688,0.237,0.129,0.032,0.151
"P09","A David Zencich por Juntos por el Cambio",0.072,0.653,0.244,0.059,0.113
"P09","Al candidato de Javier Milei",0.069,0.058,0.556,0.158,0.294
"P09","A Cristian Franco por el Frente de Izquierda",0.069,0,0.033,0.225,0.048
"P09","A otro candidato",0.102,0.052,0.038,0.526,0.394
"P11","A Gustavo Menendez por el Frente de Todos",0.688,0.229,0.147,0,0.129
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.068,0.557,0.159,0.092,0.218
"P11","Al candidato de Javier Milei",0.049,0.104,0.636,0.166,0.128
"P11","A Cristian Franco por el Frente de Izquierda",0.072,0,0.009,0.384,0.104
"P11","A otro candidato",0.123,0.11,0.049,0.358,0.421
"P13","Muy buena",0.275,0.186,0.044,0.032,0.164
"P13","Buena",0.391,0.094,0.127,0,0.071
"P13","Ni buena ni mala",0.168,0.12,0.166,0.185,0.24
"P13","Mala",0.063,0.135,0.22,0.293,0.23
"P13","Muy mala",0.085,0.455,0.443,0.479,0.204
"P13","No sabe",0.018,0.01,0,0.011,0.091
"P14","Muy buena",0.065,0.34,0.109,0.039,0.112
"P14","Buena",0.098,0.278,0.087,0.039,0.064
"P14","Ni buena ni mala",0.382,0.193,0.455,0.208,0.289
"P14","Mala",0.138,0.046,0.176,0.264,0.091
"P14","Muy mala",0.117,0.101,0.104,0.253,0.184
"P14","No sabe",0.2,0.042,0.069,0.197,0.26
"P15","Muy buena",0.228,0.201,0.028,0,0.142
"P15","Buena",0.287,0.063,0.086,0.008,0.008
"P15","Ni buena ni mala",0.26,0.131,0.23,0.187,0.339
"P15","Mala",0.079,0.196,0.225,0.156,0.145
"P15","Muy mala",0.086,0.371,0.399,0.62,0.196
"P15","No sabe",0.06,0.038,0.032,0.029,0.17
"P16","Muy buena",0.04,0.186,0.058,0,0.067
"P16","Buena",0.058,0.185,0.039,0.05,0.016
"P16","Ni buena ni mala",0.356,0.289,0.435,0.27,0.433
"P16","Mala",0.142,0.114,0.236,0.107,0.009
"P16","Muy mala",0.19,0.116,0.079,0.39,0.098
"P16","No sabe",0.214,0.11,0.153,0.183,0.377
"P17","Muy buena",0.08,0.178,0.031,0,0.13
"P17","Buena",0.113,0.196,0.057,0.205,0.05
"P17","Ni buena ni mala",0.252,0.195,0.248,0.184,0.301
"P17","Mala",0.204,0.175,0.234,0.3,0.11
"P17","Muy mala",0.285,0.182,0.386,0.3,0.235
"P17","No sabe",0.066,0.074,0.044,0.011,0.174
"P18","Muy buena",0.047,0.304,0.113,0,0.1
"P18","Buena",0.07,0.1,0.037,0.013,0.055
"P18","Ni buena ni mala",0.381,0.282,0.457,0.345,0.386
"P18","Mala",0.106,0.136,0.14,0.099,0.067
"P18","Muy mala",0.116,0.075,0.053,0.268,0.04
"P18","No sabe",0.28,0.103,0.2,0.275,0.352
"P19","Muy buena",0.046,0.19,0.08,0.071,0.06
"P19","Buena",0.113,0.05,0.024,0.014,0
"P19","Ni buena ni mala",0.425,0.368,0.474,0.377,0.377
"P19","Mala",0.088,0.096,0.039,0.045,0.032
"P19","Muy mala",0.055,0.051,0.076,0.201,0.063
"P19","No sabe",0.273,0.245,0.307,0.292,0.468
"P20","Muy buena",0.013,0.069,0.015,0,0.056
"P20","Buena",0.029,0.103,0.006,0.02,0
"P20","Ni buena ni mala",0.471,0.33,0.439,0.406,0.398
"P20","Mala",0.063,0.066,0.1,0.064,0.018
"P20","Muy mala",0.049,0.074,0.029,0.201,0.051
"P20","No sabe",0.375,0.358,0.411,0.309,0.477
"P21","La seguridad",0.028,0.064,0.007,0,0.16
"P21","El tránsito",0.017,0.117,0.023,0,0.018
"P21","El arreglo de las calles",0.256,0.144,0.28,0.051,0.079
"P21","Los parques y espacios públicos",0.276,0.204,0.096,0.157,0.21
"P21","El sistema de salud",0.09,0.027,0.007,0,0.067
"P21","La limpieza de las calles",0.084,0.044,0.15,0.239,0.097
"P21","El deporte y la cultura",0.094,0.043,0.03,0.069,0.022
"P21","La luminaria",0.017,0.05,0.025,0.056,0.043
"P21","No sabe",0.138,0.307,0.382,0.428,0.304
