"var","categoria","A Gustavo Menendez por el Frente de Todos","A Pablo Cocuzza por Juntos por el Cambio","Al candidato de Javier Milei","A Cristian Franco por el Frente de Izquierda","A otro candidato"
"P07","A Gustavo Menendez por el Frente de Todos",0.718,0.136,0.057,0.027,0.1
"P07","A David Zencich por Juntos por el Cambio",0.131,0.508,0.208,0.15,0.211
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.066,0.273,0.172,0.035,0.005
"P07","Al candidato de Javier Milei",0.027,0.015,0.527,0.154,0.052
"P07","A Cristian Franco por el Frente de Izquierda",0.005,0.01,0.022,0.522,0.082
"P07","A otro candidato",0.053,0.058,0.014,0.112,0.55
"P09","A Gustavo Menendez por el Frente de Todos",0.756,0.228,0.047,0.026,0.016
"P09","A David Zencich por Juntos por el Cambio",0.144,0.692,0.094,0.008,0.162
"P09","Al candidato de Javier Milei",0.055,0.054,0.808,0.057,0.054
"P09","A Cristian Franco por el Frente de Izquierda",0.013,0.002,0.031,0.687,0.007
"P09","A otro candidato",0.032,0.024,0.02,0.222,0.761
"P13","Muy buena",0.333,0.246,0.023,0.141,0.012
"P13","Buena",0.4,0.086,0.059,0.101,0.017
"P13","Ni buena ni mala",0.163,0.146,0.224,0.141,0.245
"P13","Mala",0.041,0.168,0.182,0.299,0.25
"P13","Muy mala",0.053,0.345,0.51,0.318,0.336
"P13","No sabe",0.01,0.009,0.002,0,0.14
"P14","Muy buena",0.137,0.282,0.101,0.059,0.067
"P14","Buena",0.104,0.206,0.151,0.018,0.09
"P14","Ni buena ni mala",0.339,0.34,0.398,0.383,0.227
"P14","Mala",0.147,0.052,0.107,0.215,0.153
"P14","Muy mala",0.095,0.066,0.119,0.243,0.201
"P14","No sabe",0.178,0.054,0.124,0.082,0.262
"P15","Muy buena",0.322,0.169,0.03,0.058,0.004
"P15","Buena",0.31,0.043,0.031,0,0.052
"P15","Ni buena ni mala",0.239,0.244,0.182,0.297,0.246
"P15","Mala",0.015,0.186,0.237,0.161,0.168
"P15","Muy mala",0.058,0.325,0.465,0.432,0.328
"P15","No sabe",0.056,0.033,0.055,0.052,0.202
"P16","Muy buena",0.078,0.171,0.072,0.058,0
"P16","Buena",0.044,0.177,0.087,0.006,0.04
"P16","Ni buena ni mala",0.361,0.405,0.343,0.192,0.408
"P16","Mala",0.129,0.054,0.189,0.105,0.086
"P16","Muy mala",0.129,0.085,0.152,0.532,0.208
"P16","No sabe",0.259,0.108,0.157,0.107,0.258
"P17","Muy buena",0.082,0.155,0.094,0.076,0.04
"P17","Buena",0.102,0.156,0.078,0.063,0.145
"P17","Ni buena ni mala",0.288,0.245,0.137,0.132,0.282
"P17","Mala",0.192,0.172,0.303,0.275,0.088
"P17","Muy mala",0.212,0.248,0.34,0.419,0.304
"P17","No sabe",0.124,0.024,0.048,0.035,0.141
"P18","Muy buena",0.108,0.205,0.124,0.069,0.079
"P18","Buena",0.053,0.15,0.056,0.043,0.023
"P18","Ni buena ni mala",0.394,0.324,0.342,0.318,0.384
"P18","Mala",0.071,0.17,0.151,0.099,0.053
"P18","Muy mala",0.127,0.049,0.069,0.119,0.172
"P18","No sabe",0.247,0.102,0.258,0.352,0.289
"P19","Muy buena",0.072,0.097,0.129,0.065,0.044
"P19","Buena",0.083,0.054,0.027,0.081,0.011
"P19","Ni buena ni mala",0.413,0.444,0.368,0.382,0.421
"P19","Mala",0.076,0.082,0.081,0.055,0.06
"P19","Muy mala",0.094,0.058,0.092,0.045,0.136
"P19","No sabe",0.262,0.265,0.303,0.372,0.328
"P20","Muy buena",0.017,0.007,0.085,0.05,0.006
"P20","Buena",0.041,0.072,0.008,0.022,0.002
"P20","Ni buena ni mala",0.479,0.417,0.363,0.446,0.424
"P20","Mala",0.073,0.06,0.125,0.056,0.054
"P20","Muy mala",0.088,0.033,0.035,0.041,0.133
"P20","No sabe",0.302,0.411,0.384,0.385,0.381
"P21","La seguridad",0.082,0.059,0.012,0.035,0.049
"P21","El tránsito",0.059,0.064,0.076,0,0.014
"P21","El arreglo de las calles",0.259,0.174,0.111,0.131,0.131
"P21","Los parques y espacios públicos",0.237,0.183,0.17,0.148,0.252
"P21","El sistema de salud",0.067,0.019,0.026,0.025,0.043
"P21","La limpieza de las calles",0.067,0.132,0.085,0.148,0.13
"P21","El deporte y la cultura",0.054,0.005,0.097,0.194,0.02
"P21","La luminaria",0.013,0.039,0.03,0,0.064
"P21","No sabe",0.162,0.325,0.393,0.319,0.297
"P22","La seguridad",0.394,0.585,0.541,0.302,0.425
"P22","El tránsito",0.017,0.057,0.028,0.101,0.037
"P22","El arreglo de las calles",0.269,0.116,0.086,0.226,0.174
"P22","Los parques y espacios públicos",0.019,0.052,0.021,0.011,0.003
"P22","El sistema de salud",0.099,0.059,0.056,0.215,0.277
"P22","La limpieza de las calles",0.032,0.071,0.098,0,0.032
"P22","El deporte y la cultura",0.018,0.002,0.024,0.049,0
"P22","La luminaria",0.032,0.011,0.013,0.023,0.016
"P22","No sabe",0.12,0.047,0.133,0.073,0.036
"P23","Agua corriente y cloacas",0.497,0.592,0.528,0.473,0.62
"P23","Energía eléctrica",0.088,0.127,0.098,0.056,0.065
"P23","Red de gas natural",0.163,0.14,0.095,0.136,0.052
"P23","Recolección de residuos",0.078,0.059,0.163,0.188,0.077
"P23","Ninguno",0.174,0.082,0.116,0.147,0.186
"P24","Los robos",0.523,0.421,0.55,0.488,0.493
"P24","El narcotráfico",0.134,0.203,0.098,0.171,0.152
"P24","La ausencia de patrulleros y personal policial",0.192,0.272,0.234,0.265,0.29
"P24","Otro",0.069,0.08,0.111,0.071,0.063
"P24","Ninguno",0.082,0.024,0.007,0.005,0.002
"P25","Muy buena",0.263,0.11,0.086,0.013,0.054
"P25","Buena",0.267,0.099,0.068,0.129,0.188
"P25","Ni buena ni mala",0.261,0.23,0.206,0.452,0.289
"P25","Mala",0.083,0.273,0.317,0.197,0.215
"P25","Muy mala",0.087,0.139,0.273,0.159,0.129
"P25","No sabe",0.039,0.149,0.05,0.05,0.125
"P26","Muy buena",0.175,0.042,0.035,0.006,0.021
"P26","Buena",0.277,0.139,0.038,0.292,0.16
"P26","Ni buena ni mala",0.349,0.289,0.334,0.246,0.361
"P26","Mala",0.076,0.294,0.404,0.286,0.266
"P26","Muy mala",0.084,0.183,0.176,0.158,0.163
"P26","No sabe",0.039,0.053,0.013,0.012,0.029
"P27","Frente de Todos y el peronismo",0.697,0.1,0.088,0.358,0.266
"P27","Cambiemos",0.178,0.631,0.144,0,0.183
"P27","Liberales",0.08,0.127,0.62,0.023,0.058
"P27","Izquierda",0,0.031,0.068,0.438,0.177
"P27","No sabe",0.045,0.111,0.08,0.181,0.316
"P29","A Alberto Fernández",0.346,0,0,0.423,0.177
"P29","A Sergio Massa",0.162,0.201,0.43,0.018,0.181
"P29","A algún candidato del peronismo",0.222,0,0.414,0.065,0.36
"P29","A algún candidato del kirchnerismo",0.27,0.799,0.156,0.494,0.282
"P30","A Alberto Fernández",0.346,0.013,0.414,0.434,0.007
"P30","A Sergio Massa",0.124,0.065,0.43,0.018,0.388
"P30","A algún candidato del peronismo",0.186,0,0.007,0.069,0.346
"P30","A Cristina Fernández de Kirchner",0.344,0.922,0.149,0.479,0.259
"P31","A Horacio Rodriguez Larreta",0.761,0.331,0.476,0,0.231
"P31","A Mauricio Macri",0.056,0.308,0.315,0,0.253
"P31","A Patricia Bullrich",0.133,0.291,0.209,0,0.345
"P31","A Facundo Manes",0,0.055,0,0,0.171
"P31","A Martín Lousteau",0.05,0.015,0,0,0
"P32","Seguro lo votaria",0.522,0.137,0.924,0,0.228
"P32","Quizás lo votaría",0.127,0.404,0.058,0,0.149
"P32","Nunca lo votaría",0.351,0.459,0.018,0,0.623
"P33","Muy buena",0.206,0.058,0.04,0.022,0.099
"P33","Buena",0.215,0.084,0.035,0.111,0.122
"P33","Ni buena ni mala",0.339,0.101,0.252,0.182,0.236
"P33","Mala",0.164,0.308,0.117,0.351,0.215
"P33","Muy mala",0.057,0.449,0.541,0.325,0.309
"P33","No sabe",0.019,0,0.015,0.009,0.019
"P34","Muy buena",0.024,0.287,0.137,0,0.013
"P34","Buena",0.119,0.227,0.167,0.08,0.126
"P34","Ni buena ni mala",0.089,0.173,0.244,0.029,0.108
"P34","Mala",0.285,0.198,0.168,0.029,0.243
"P34","Muy mala",0.449,0.103,0.284,0.852,0.455
"P34","No sabe",0.034,0.012,0,0.01,0.055
"P35","Muy buena",0.631,0.161,0.082,0.368,0.253
"P35","Buena",0.11,0.085,0.071,0.252,0.046
"P35","Ni buena ni mala",0.113,0.025,0.079,0.19,0.178
"P35","Mala",0.017,0.145,0.114,0.024,0.161
"P35","Muy mala",0.123,0.584,0.651,0.166,0.338
"P35","No sabe",0.006,0,0.003,0,0.024
"P36","Muy buena",0.16,0.354,0.152,0.079,0.082
"P36","Buena",0.032,0.204,0.198,0.129,0.158
"P36","Ni buena ni mala",0.174,0.238,0.215,0.204,0.276
"P36","Mala",0.286,0.086,0.243,0.258,0.066
"P36","Muy mala",0.306,0.113,0.182,0.33,0.388
"P36","No sabe",0.042,0.005,0.01,0,0.03
"P37","Muy buena",0.126,0.154,0.105,0.18,0.132
"P37","Buena",0.341,0.059,0.065,0.065,0.207
"P37","Ni buena ni mala",0.249,0.203,0.163,0.325,0.308
"P37","Mala",0.112,0.206,0.166,0.231,0.123
"P37","Muy mala",0.154,0.376,0.488,0.199,0.216
"P37","No sabe",0.018,0.002,0.013,0,0.014
"P38","Muy buena",0.066,0.481,0.332,0.095,0.077
"P38","Buena",0.105,0.157,0.122,0.011,0.146
"P38","Ni buena ni mala",0.106,0.171,0.214,0.123,0.178
"P38","Mala",0.233,0.036,0.109,0.086,0.107
