"var","categoria","Sergio Massa presidente por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.528,0.403,0.367
"P04","Realizo changas o trabajos de vez en cuando",0.177,0.178,0.303
"P04","No tengo trabajo",0.137,0.177,0.175
"P04","Soy jubilado o pensionado",0.158,0.242,0.155
"P05","1",0.153,0.413,0.299
"P05","2",0.035,0.062,0.1
"P05","3",0.036,0.085,0.058
"P05","4",0.062,0.079,0.039
"P05","5",0.142,0.192,0.155
"P05","6",0.068,0.029,0.037
"P05","7",0.151,0.047,0.084
"P05","8",0.108,0.03,0.044
"P05","9",0.245,0.063,0.184
"P06","1",0.361,0.147,0.336
"P06","2",0.113,0.041,0.035
"P06","3",0.071,0.034,0.022
"P06","4",0.078,0.033,0.014
"P06","5",0.156,0.148,0.2
"P06","6",0.026,0.061,0.07
"P06","7",0.044,0.079,0.024
"P06","8",0.016,0.117,0.04
"P06","9",0.135,0.34,0.259
"P07","1",0.581,0.202,0.428
"P07","2",0.063,0.041,0.039
"P07","3",0.075,0.018,0.019
"P07","4",0.013,0.033,0.014
"P07","5",0.085,0.125,0.097
"P07","6",0.021,0.049,0.053
"P07","7",0.016,0.062,0.031
"P07","8",0.005,0.048,0.06
"P07","9",0.141,0.422,0.259
"P09","Del Frente de Todos y el peronismo",0.839,0.035,0.273
"P09","De Juntos por el cambio",0.051,0.617,0.173
"P09","De los Liberales libertarios",0.019,0.273,0.254
"P09","De la Izquierda",0.015,0.017,0.046
"P09","No sabe",0.076,0.058,0.254
"P10","A Alberto Fernández",0.169,0.319,0.094
"P10","A Sergio Massa",0.246,0.074,0.231
"P10","A algún candidato del peronismo",0.089,0.406,0.154
"P10","A algún candidato del kirchnerismo",0.496,0.201,0.521
"P11","A Alberto Fernández",0.094,0.258,0.176
"P11","A Sergio Massa",0.153,0.074,0.074
"P11","A algún candidato del peronismo",0.085,0.596,0.115
"P11","A Cristina Fernández de Kirchner",0.668,0.072,0.635
"P12","A Horacio Rodriguez Larreta",0.295,0.164,0.565
"P12","A Mauricio Macri",0.039,0.414,0.095
"P12","A Patricia Bullrich",0.14,0.384,0.07
"P12","A Facundo Manes",0.403,0.029,0.153
"P12","A Gerardo Morales",0.123,0.009,0.117
"P13","Seguro lo votaria",0.018,0.142,0.207
"P13","Quizás lo votaría",0.337,0.44,0.361
"P13","Nunca lo votaría",0.645,0.418,0.432
"P14","Lo votaría",0.028,0.516,0.031
"P14","Puede que lo vote",0.03,0.307,0.09
"P14","Nunca lo votaría",0.899,0.146,0.793
"P14","No sabe",0.043,0.031,0.086
"P15","Lo votaría",0.286,0.053,0.056
"P15","Puede que lo vote",0.512,0.064,0.223
"P15","Nunca lo votaría",0.157,0.878,0.656
"P15","No sabe",0.045,0.005,0.065
"P16","Lo votaría",0.229,0.015,0.126
"P16","Puede que lo vote",0.482,0.006,0.106
"P16","Nunca lo votaría",0.194,0.966,0.642
"P16","No sabe",0.095,0.013,0.126
"P17","La votaría",0.743,0.01,0.336
"P17","Puede que la vote",0.143,0.013,0.07
"P17","Nunca la votaría",0.106,0.976,0.542
"P17","No sabe",0.008,0.001,0.052
"P18","Lo votaría",0.056,0.205,0.168
"P18","Puede que lo vote",0.094,0.404,0.145
"P18","Nunca lo votaría",0.811,0.36,0.633
"P18","No sabe",0.039,0.031,0.054
"P19","Lo votaría",0.03,0.077,0.078
"P19","Puede que lo vote",0.173,0.25,0.178
"P19","Nunca lo votaría",0.667,0.606,0.605
"P19","No sabe",0.13,0.067,0.139
"P20","La votaría",0.038,0.577,0.07
"P20","Puede que la vote",0.031,0.284,0.225
"P20","Nunca la votaría",0.925,0.121,0.624
"P20","No sabe",0.006,0.018,0.081
"P21","Lo votaría",0.02,0.29,0.227
"P21","Puede que lo vote",0.045,0.354,0.141
"P21","Nunca lo votaría",0.902,0.319,0.562
"P21","No sabe",0.033,0.037,0.07
"P22","La votaría",0.013,0.238,0.053
"P22","Puede que la vote",0.055,0.407,0.149
"P22","Nunca la votaría",0.879,0.304,0.724
"P22","No sabe",0.053,0.051,0.074
"P23","Lo votaría",0.198,0.022,0.089
"P23","Puede que lo vote",0.461,0.049,0.111
"P23","Nunca lo votaría",0.262,0.902,0.728
"P23","No sabe",0.079,0.027,0.072
"P24","Lo votaría",0.033,0.044,0.019
"P24","Puede que lo vote",0.129,0.223,0.11
"P24","Nunca lo votaría",0.754,0.665,0.777
"P24","No sabe",0.084,0.068,0.094
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.767,0.024,0.324
"P26","Alberto Fernández por el Frente de Todos",0.085,0.001,0.015
"P26","Mauricio Macri por Juntos por el cambio",0,0.301,0.002
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.127,0.151
"P26","Patricia Bullrich por Juntos por el Cambio",0.03,0.325,0.062
"P26","Facundo Manes por Juntos por el Cambio",0.023,0.029,0.052
"P26","Javier Milei por los liberales libertarios",0.011,0.171,0.258
"P26","Nicolás del Caño por la izquierda",0.015,0.001,0.031
"P26","Aún no lo tengo decidido",0.043,0.021,0.105
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.152,0.19
"P27","Patricia Bullrich por Juntos por el Cambio",0.016,0.552,0.052
"P27","Facundo Manes por Juntos por el Cambio",0.017,0.038,0.049
"P27","Alberto Fernández por el Frente de Todos",0.209,0.003,0.123
"P27","Sergio Massa por el Frente de Todos",0.524,0.021,0.086
"P27","Javier Milei por los liberales libertarios",0.03,0.197,0.235
"P27","Nicolás del Caño por la izquierda",0.037,0.005,0.035
"P27","Otros candidatos",0.065,0.015,0.077
"P27","Aún no lo tengo decidido",0.076,0.017,0.153
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.845,0.024,0.277
"P28","Mauricio Macri por Juntos por el Cambio",0.005,0.616,0.021
"P28","Javier Milei por los liberales libertarios",0.026,0.277,0.283
"P28","Nicolás del Caño por la izquierda",0.033,0.001,0.059
"P28","Otro candidato",0.052,0.056,0.209
"P28","Aún no lo tengo decidido",0.039,0.026,0.151
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.119,0.44,0.14
"P30","Alberto Fernández por el Frente de Todos",0.499,0.036,0.144
"P30","Javier Milei por los liberales libertarios",0.026,0.348,0.293
"P30","Nicolás del Caño por la izquierda",0.045,0.013,0.066
"P30","Otro candidato",0.172,0.102,0.147
"P30","Aún no lo tengo decidido",0.139,0.061,0.21
"P32","Sergio Massa presidente por el Frente de Todos",0.71,0.034,0.049
"P32","Patricia Bullrich por Juntos por el Cambio",0.037,0.643,0.103
"P32","Javier Milei por los liberales libertarios",0.018,0.231,0.289
"P32","Nicolás del Caño por la izquierda",0.057,0.002,0.071
"P32","Otro candidato",0.107,0.056,0.232
"P32","Aún no lo tengo decidido",0.071,0.034,0.256
"P34","Sergio Massa presidente por el Frente de Todos",0.726,0.052,0.039
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.439,0.156
"P34","Javier Milei por los liberales libertarios",0.021,0.361,0.263
"P34","Nicolás del Caño por la izquierda",0.048,0.002,0.074
"P34","Otro candidato",0.085,0.099,0.263
"P34","Aún no lo tengo decidido",0.053,0.047,0.205
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.798,0.043,0.295
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.08,0.435,0.144
"P36","Javier Milei por los liberales libertarios",0.029,0.389,0.26
"P36","Nicolás del Caño por la izquierda",0.019,0.002,0.058
"P36","Otro candidato",0.048,0.092,0.102
"P36","Aún no lo tengo decidido",0.026,0.039,0.141
"P37","Sergio Massa presidente por el Frente de Todos",0.766,0.014,0.079
"P37","Mauricio Macri por Juntos por el Cambio",0.027,0.599,0.011
"P37","Javier Milei por los liberales libertarios",0.022,0.293,0.314
"P37","Nicolás del Caño por la izquierda",0.058,0.006,0.07
"P37","Otro candidato",0.071,0.06,0.308
"P37","Aún no lo tengo decidido",0.056,0.028,0.218
"P38","Alberto Fernández por el Frente de Todos",0.61,0.005,0.166
"P38","Mauricio Macri por Juntos por el Cambio",0.015,0.618,0.012
"P38","Javier Milei por los liberales libertarios",0.024,0.302,0.283
"P38","Nicolás del Caño por la izquierda",0.072,0.015,0.074
"P38","Otro candidato",0.206,0.049,0.243
"P38","Aún no lo tengo decidido",0.073,0.011,0.222
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.873,0.041,0.334
"P39","Mauricio Macri por Juntos por el Cambio",0.05,0.878,0.063
"P39","No sabe",0.077,0.081,0.603
"P40","Alberto Fernández por el Frente de Todos",0.743,0.021,0.189
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.08,0.758,0.223
"P40","No sabe",0.177,0.221,0.588
"P41","Sergio Massa presidente por el Frente de Todos",0.873,0.022,0.042
"P41","Patricia Bullrich por Juntos por el Cambio",0.042,0.921,0.193
"P41","No sabe",0.085,0.057,0.765
"P43","Sergio Massa presidente por el Frente de Todos",0.89,0.023,0.107
"P43","Javier Milei por los liberales libertarios",0.055,0.661,0.311
"P43","No sabe",0.055,0.316,0.582
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.159,0.4,0.202
"P44","Javier Milei por los liberales libertarios",0.078,0.466,0.3
"P44","No sabe",0.763,0.134,0.498
"P45","Muy buena",0.103,0.028,0.048
"P45","Buena",0.281,0.051,0.079
"P45","Ni buena ni mala",0.422,0.022,0.263
"P45","Mala",0.12,0.091,0.175
"P45","Muy mala",0.056,0.806,0.414
"P45","No sabe",0.018,0.002,0.021
"P46","Muy buena",0.105,0.012,0.046
"P46","Buena",0.356,0.004,0.089
"P46","Ni buena ni mala",0.354,0.026,0.219
"P46","Mala",0.089,0.093,0.192
"P46","Muy mala",0.09,0.864,0.419
"P46","No sabe",0.006,0.001,0.035
"P47","Muy buena",0.658,0.011,0.249
"P47","Buena",0.113,0.005,0.103
"P47","Ni buena ni mala",0.123,0.015,0.063
"P47","Mala",0.042,0.049,0.162
"P47","Muy mala",0.063,0.91,0.421
"P47","No sabe",0.001,0.01,0.002
"P48","Muy buena",0.044,0.338,0.008
"P48","Buena",0.02,0.296,0.059
"P48","Ni buena ni mala",0.035,0.177,0.199
"P48","Mala",0.209,0.05,0.252
"P48","Muy mala",0.683,0.138,0.469
"P48","No sabe",0.009,0.001,0.013
"P49","Muy buena",0.017,0.201,0.11
"P49","Buena",0.092,0.361,0.108
"P49","Ni buena ni mala",0.1,0.221,0.236
"P49","Mala",0.256,0.091,0.116
"P49","Muy mala",0.532,0.125,0.423
"P49","No sabe",0.003,0.001,0.007
"P50","Muy buena",0.152,0.024,0.043
"P50","Buena",0.386,0.025,0.058
"P50","Ni buena ni mala",0.344,0.087,0.342
"P50","Mala",0.068,0.153,0.193
"P50","Muy mala",0.047,0.711,0.353
"P50","No sabe",0.003,0,0.011
"P51","Muy buena",0.041,0.488,0.109
"P51","Buena",0.051,0.27,0.114
"P51","Ni buena ni mala",0.059,0.116,0.263
"P51","Mala",0.157,0.03,0.097
"P51","Muy mala",0.688,0.092,0.417
"P51","No sabe",0.004,0.004,0
"P52","Muy buena",0.022,0.267,0.198
"P52","Buena",0.014,0.22,0.102
"P52","Ni buena ni mala",0.08,0.307,0.225
"P52","Mala",0.163,0.108,0.095
"P52","Muy mala",0.709,0.084,0.367
"P52","No sabe",0.012,0.014,0.013
"P53","Muy buena",0.003,0.271,0.059
"P53","Buena",0.049,0.331,0.086
"P53","Ni buena ni mala",0.066,0.248,0.213
"P53","Mala",0.152,0.066,0.139
"P53","Muy mala",0.719,0.082,0.489
"P53","No sabe",0.011,0.002,0.014
"P54","Muy buena",0.178,0.04,0.031
"P54","Buena",0.342,0.049,0.126
"P54","Ni buena ni mala",0.31,0.093,0.311
"P54","Mala",0.046,0.17,0.163
"P54","Muy mala",0.122,0.647,0.359
"P54","No sabe",0.002,0.001,0.01
"P55","Muy buena",0.051,0.057,0.076
"P55","Buena",0.143,0.115,0.067
"P55","Ni buena ni mala",0.446,0.332,0.358
"P55","Mala",0.162,0.191,0.164
"P55","Muy mala",0.164,0.287,0.287
"P55","No sabe",0.034,0.018,0.048
"P57","Siempre",0.32,0.273,0.27
"P57","Casi siempre",0.386,0.396,0.344
"P57","Casi nunca",0.221,0.24,0.213
"P57","Nunca, pero esta es una excepción",0.073,0.091,0.173
"P58","Si",0.578,0.607,0.547
"P58","No",0.422,0.393,0.453
