"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de Consenso Federal","Al candidato de la Izquierda","A otro candidato","No sabe"
"P08","A Ariel Sujarchuk por el Frente de Todos",0.921,0.136,0.215,0.695,0.248,0.229,0.453
"P08","A Roberto Costa por Juntos por el cambio",0.024,0.565,0.082,0.026,0.138,0.142,0.09
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.021,0.15,0.194,0,0,0.038,0.025
"P08","A Jesica Avejera por Juntos por el Cambio",0.017,0.065,0.015,0.025,0,0.028,0
"P08","A Ricardo Choffi por  Consenso Federal",0,0.006,0.037,0.013,0.197,0,0.009
"P08","A Griselda Romariz por los liberales libertarios",0.009,0.015,0.416,0,0.053,0.057,0
"P08","A Sandro Salazar por el Frente de Izquierda",0.003,0,0,0,0.15,0.01,0.034
"P08","No sabe",0.005,0.063,0.041,0.241,0.214,0.496,0.389
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.683,0.066,0.096,0.397,0,0.121,0.071
"P09","A Roberto Costa por Juntos por el cambio",0.085,0.562,0.122,0,0.238,0.243,0.106
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.043,0.22,0.108,0.029,0.154,0.034,0.03
"P09","A Jesica Avejera por Juntos por el Cambio",0.02,0.075,0.026,0,0,0.031,0
"P09","A Ricardo Choffi por Consenso Federal",0.007,0,0.039,0.443,0,0,0
"P09","A Griselda Romariz por los liberales libertarios",0.04,0.023,0.548,0.029,0.059,0.075,0.024
"P09","A Sandro Salazar por el Frente de Izquierda",0.009,0,0.001,0,0.221,0.076,0.01
"P09","No sabe",0.113,0.054,0.06,0.102,0.328,0.42,0.759
"P10","A Ariel Sujarchuk por el Frente de Todos",0.902,0.119,0.196,0.489,0.146,0.265,0.56
"P10","A Roberto Costa por Juntos por el Cambio",0.039,0.674,0.143,0.031,0.142,0.143,0.11
"P10","A Ricardo Choffi por Consenso Federal",0.026,0.048,0.017,0.015,0.174,0.013,0.019
"P10","A Griselda Romariz por los liberales libertarios",0.001,0.052,0.352,0,0,0.029,0
"P10","A Sandro Salazar por el Frente de Izquierda",0.004,0,0.014,0.435,0.179,0.152,0
"P10","No sabe",0.028,0.107,0.278,0.03,0.359,0.398,0.311
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.827,0.066,0.081,0.824,0.106,0.154,0.128
"P12","A Roberto Costa por Juntos por el Cambio",0.04,0.72,0.159,0.059,0.218,0.183,0.16
"P12","A Ricardo Choffi por Consenso Federal",0.005,0.019,0.079,0.025,0,0,0.018
"P12","A Griselda Romariz por los liberales libertarios",0.043,0.098,0.447,0,0.056,0.074,0.043
"P12","A Sandro Salazar por el Frente de Izquierda",0.011,0,0.021,0,0.233,0.021,0
"P12","No sabe",0.074,0.097,0.213,0.092,0.387,0.568,0.651
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.762,0.067,0.081,0.926,0.366,0.019,0.168
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.055,0.723,0.167,0,0,0.075,0.179
"P13","A Ricardo Choffi por Consenso Federal",0.032,0.049,0.068,0.029,0,0,0
"P13","A Griselda Romariz por los liberales libertarios",0.05,0.031,0.547,0,0.129,0.095,0.021
"P13","A Sandro Salazar por el Frente de Izquierda",0.018,0.002,0,0,0.232,0.023,0
"P13","No sabe",0.083,0.128,0.137,0.045,0.273,0.788,0.632
"P14","Lo votaria",0.818,0.129,0.188,0.955,0,0.162,0.513
"P14","Puede que lo vote",0.091,0.202,0.108,0.045,0.503,0.028,0.167
"P14","Nunca lo votaría",0.043,0.644,0.593,0,0.497,0.668,0.038
"P14","No sabe",0.048,0.025,0.111,0,0,0.142,0.282
"P15","Lo votaria",0.178,0.467,0.181,0.886,0.462,0.023,0.136
"P15","Puede que lo vote",0.148,0.326,0.166,0,0,0.131,0.054
"P15","Nunca lo votaría",0.562,0.167,0.515,0.114,0.538,0.606,0.308
"P15","No sabe",0.112,0.04,0.138,0,0,0.24,0.502
"P16","Lo votaria",0.175,0.316,0.107,0.902,0,0.069,0.014
