"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Al candidato del Frente de Todos",0.426,0.346,0.524,0.618,0.372
"P07","Al candidato de Juntos por el Cambio",0.28,0.29,0.202,0.14,0.404
"P07","Al candidato de los liberales - libertarios",0.201,0.254,0.091,0.149,0.02
"P07","Al candidato de Consenso Federal",0,0,0,0.006,0
"P07","Al candidato de la Izquierda",0,0.007,0,0.024,0.108
"P07","A otro candidato",0.042,0.065,0.12,0.006,0
"P07","No sabe",0.051,0.038,0.063,0.057,0.096
"P08","A Ariel Sujarchuk por el Frente de Todos",0.542,0.326,0.579,0.612,0.387
"P08","A Roberto Costa por Juntos por el cambio",0.181,0.196,0.154,0.104,0.081
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.092,0.135,0.034,0.084,0
"P08","A Jesica Avejera por Juntos por el Cambio",0.042,0.057,0,0.029,0.09
"P08","A Ricardo Choffi por  Consenso Federal",0.003,0,0,0,0
"P08","A Griselda Romariz por los liberales libertarios",0.093,0.187,0.105,0.059,0.11
"P08","A Sandro Salazar por el Frente de Izquierda",0.002,0.012,0,0.024,0.107
"P08","No sabe",0.045,0.087,0.128,0.088,0.225
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.345,0.262,0.396,0.528,0.282
"P09","A Roberto Costa por Juntos por el cambio",0.233,0.139,0.167,0.094,0.081
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.113,0.187,0.031,0.069,0
"P09","A Jesica Avejera por Juntos por el Cambio",0.019,0.062,0.004,0.03,0.09
"P09","A Ricardo Choffi por Consenso Federal",0.003,0,0.009,0.035,0
"P09","A Griselda Romariz por los liberales libertarios",0.165,0.209,0.151,0.072,0.11
"P09","A Sandro Salazar por el Frente de Izquierda",0,0.046,0.008,0.024,0.148
"P09","No sabe",0.122,0.095,0.234,0.148,0.289
"P10","A Ariel Sujarchuk por el Frente de Todos",0.505,0.326,0.539,0.622,0.387
"P10","A Roberto Costa por Juntos por el Cambio",0.271,0.233,0.183,0.098,0.081
"P10","A Ricardo Choffi por Consenso Federal",0.029,0.009,0.006,0.038,0.09
"P10","A Griselda Romariz por los liberales libertarios",0.081,0.208,0.06,0.103,0
"P10","A Sandro Salazar por el Frente de Izquierda",0,0.013,0.008,0.042,0.107
"P10","No sabe",0.114,0.211,0.204,0.097,0.335
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.405,0.339,0.447,0.581,0.282
"P12","A Roberto Costa por Juntos por el Cambio",0.284,0.272,0.176,0.134,0.081
"P12","A Ricardo Choffi por Consenso Federal",0.008,0.024,0.009,0.032,0
"P12","A Griselda Romariz por los liberales libertarios",0.164,0.195,0.121,0.12,0
"P12","A Sandro Salazar por el Frente de Izquierda",0,0.008,0.011,0.047,0.148
"P12","No sabe",0.139,0.162,0.236,0.086,0.489
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.37,0.318,0.366,0.541,0.292
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.301,0.333,0.19,0.075,0.171
"P13","A Ricardo Choffi por Consenso Federal",0.01,0.034,0.004,0.033,0
"P13","A Griselda Romariz por los liberales libertarios",0.161,0.187,0.111,0.129,0
"P13","A Sandro Salazar por el Frente de Izquierda",0.001,0.006,0.005,0.074,0.148
"P13","No sabe",0.157,0.122,0.324,0.148,0.389
"P14","Lo votaria",0.501,0.31,0.525,0.495,0.372
"P14","Puede que lo vote",0.138,0.101,0.062,0.163,0.096
"P14","Nunca lo votaría",0.335,0.539,0.328,0.234,0.363
"P14","No sabe",0.026,0.05,0.085,0.108,0.169
"P15","Lo votaria",0.314,0.168,0.148,0.162,0.081
"P15","Puede que lo vote",0.162,0.193,0.138,0.183,0
"P15","Nunca lo votaría",0.472,0.382,0.614,0.471,0.919
"P15","No sabe",0.052,0.257,0.1,0.184,0
"P16","Lo votaria",0.207,0.203,0.089,0.088,0.067
"P16","Puede que lo vote",0.183,0.272,0.268,0.157,0.114
"P16","Nunca lo votaría",0.416,0.253,0.445,0.384,0.725
"P16","No sabe",0.194,0.272,0.198,0.371,0.094
"P17","Lo votaria",0.245,0.175,0.182,0.464,0.199
"P17","Puede que lo vote",0.152,0.146,0.221,0.036,0.149
"P17","Nunca lo votaría",0.455,0.529,0.444,0.197,0.553
"P17","No sabe",0.148,0.15,0.153,0.303,0.099
"P18","Lo votaria",0.071,0.067,0.08,0.132,0.038
"P18","Puede que lo vote",0.07,0.125,0.154,0.16,0.242
"P18","Nunca lo votaría",0.625,0.576,0.511,0.379,0.479
"P18","No sabe",0.234,0.232,0.255,0.329,0.241
"P19","Lo votaria",0.182,0.206,0.025,0.056,0.056
"P19","Puede que lo vote",0.109,0.195,0.131,0.149,0.103
"P19","Nunca lo votaría",0.473,0.282,0.627,0.36,0.611
"P19","No sabe",0.236,0.317,0.217,0.435,0.23
"P20","Lo votaria",0.11,0.166,0.029,0.073,0
"P20","Puede que lo vote",0.158,0.14,0.19,0.162,0.013
"P20","Nunca lo votaría",0.498,0.356,0.572,0.317,0.667
"P20","No sabe",0.234,0.338,0.209,0.448,0.32
"P21","Muy buena",0.369,0.153,0.273,0.513,0.241
"P21","Buena",0.176,0.212,0.125,0.127,0.162
"P21","Ni buena ni mala",0.244,0.31,0.289,0.182,0.163
"P21","Mala",0.086,0.168,0.174,0.099,0.011
"P21","Muy mala",0.107,0.157,0.103,0.066,0.327
"P21","No sabe",0.018,0,0.036,0.013,0.096
"P22","Que continúe el intendente Ariel Sujarchuk",0.403,0.179,0.393,0.315,0.372
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.191,0.159,0.164,0.317,0.081
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.108,0.222,0.118,0.096,0.184
"P22","Que cambie el intendente Ariel Sujarchuk",0.298,0.44,0.325,0.272,0.363
"P23","La seguridad",0.131,0.044,0.016,0.061,0.024
"P23","El tránsito",0.064,0.069,0.024,0.009,0.04
"P23","El arreglo de las calles",0.309,0.289,0.203,0.163,0.266
"P23","Los parques y los espacios públicos",0.167,0.183,0.126,0.173,0.258
"P23","El sistema de salud",0.065,0.046,0.131,0.202,0.026
"P23","La limpieza de las calles",0.038,0.049,0.021,0.009,0
"P23","El deporte y la cultura",0.07,0.031,0.208,0.106,0.04
"P23","La luminaria",0.039,0.03,0.019,0.11,0.011
"P23","No sabe",0.117,0.259,0.252,0.167,0.335
"P24","La seguridad",0.446,0.285,0.26,0.21,0.02
"P24","El tránsito",0.192,0.213,0.152,0.072,0.075
"P24","El arreglo de las calles",0.098,0.205,0.252,0.129,0.013
"P24","Los parques y los espacios públicos",0.079,0.016,0.002,0.061,0
"P24","El sistema de salud",0.046,0.186,0.14,0.25,0.328
"P24","La limpieza de las calles",0.033,0.029,0,0.076,0.089
"P24","El deporte y la cultura",0.026,0.006,0.072,0.009,0
