"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P04","Gran excedente habitual",0.01,0.013,0.004,0.009,0.008,0,0.008,0.003
"P04","Gran excedente excepcional",0.002,0.001,0,0.004,0.004,0,0.004,0.002
"P04","Pequeño excedente habitual",0.034,0.039,0.052,0.09,0.096,0.053,0.06,0.056
"P04","Pequeño excedente excepcional",0.033,0.018,0.059,0.066,0.102,0.071,0.073,0.066
"P04","Alcanza gastos familia",0.116,0.048,0.102,0.13,0.184,0.091,0.153,0.114
"P04","No alcanza gastos familia",0.163,0.156,0.249,0.166,0.14,0.207,0.177,0.156
"P04","Solo NBFamiliares",0.251,0.275,0.261,0.234,0.276,0.263,0.26,0.262
"P04","No alcanza NBFamiliares",0.379,0.437,0.258,0.289,0.186,0.27,0.253,0.3
"P04","No sabe",0.012,0.013,0.015,0.012,0.004,0.045,0.012,0.041
"P05","Si",0.273,0.313,0.191,0.133,0.141,0.187,0.217,0.15
"P05","No",0.727,0.687,0.809,0.867,0.859,0.813,0.783,0.85
"P06","Robo en vivienda, en su presencia",0.483,0.372,0.393,0.331,0.307,0.284,0.31,0.176
"P06","Robo en vivienda, en su ausencia",0.099,0.237,0.208,0.102,0.154,0.213,0.232,0.128
"P06","Robo de auto",0.038,0.062,0.087,0.068,0.073,0.133,0.067,0.046
"P06","Robo de moto",0.029,0.035,0.03,0,0.03,0,0.059,0
"P06","Robo de bicicleta",0.063,0.109,0.056,0.126,0,0.018,0.025,0.21
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.073,0.075,0.078,0.115,0.174,0.188,0.086,0.053
"P06","Otro tipo de delito a la propiedad",0.215,0.11,0.148,0.258,0.262,0.164,0.221,0.387
"P07","Muy seguro",0.148,0.096,0.115,0.115,0.188,0.093,0.06,0.103
"P07","Algo seguro",0.367,0.33,0.456,0.424,0.323,0.3,0.292,0.433
"P07","Seguro",0.081,0.054,0.137,0.165,0.178,0.148,0.136,0.132
"P07","Algo inseguro",0.158,0.192,0.173,0.186,0.205,0.159,0.198,0.18
"P07","Inseguro",0.163,0.201,0.066,0.081,0.089,0.152,0.173,0.123
"P07","Muy inseguro",0.083,0.127,0.053,0.029,0.017,0.148,0.141,0.029
"P08","Han aumentado en el último mes",0.533,0.479,0.283,0.201,0.301,0.419,0.419,0.23
"P08","Han disminuido en el ultimo mes",0.103,0.13,0.098,0.125,0.122,0.058,0.062,0.124
"P08","Se mantienen igual que el mes anterior",0.243,0.25,0.466,0.378,0.435,0.351,0.366,0.408
"P08","No sabe",0.121,0.141,0.153,0.296,0.142,0.172,0.153,0.238
"P09","Si",0.306,0.277,0.154,0.123,0.133,0.189,0.215,0.141
"P09","No",0.694,0.723,0.846,0.877,0.867,0.811,0.785,0.859
"P10","Hurto",0.492,0.336,0.336,0.455,0.324,0.356,0.26,0.39
"P10","Robo con violencia",0.153,0.352,0.195,0.153,0.092,0.261,0.302,0.141
"P10","Agresión física",0.07,0.046,0.052,0.016,0.03,0.053,0.039,0.15
"P10","Acoso verbal o intimidación",0.071,0.093,0.129,0.056,0.424,0.093,0.126,0.076
"P10","Otros delitos en la vía pública",0.214,0.173,0.288,0.32,0.13,0.237,0.273,0.243
"P11","Muy seguro",0.154,0.068,0.111,0.096,0.113,0.089,0.069,0.114
"P11","Algo seguro",0.355,0.332,0.487,0.463,0.313,0.247,0.224,0.302
"P11","Seguro",0.091,0.064,0.11,0.134,0.198,0.179,0.135,0.169
"P11","Algo inseguro",0.161,0.204,0.135,0.183,0.22,0.219,0.233,0.197
"P11","Inseguro",0.155,0.237,0.119,0.097,0.13,0.136,0.193,0.135
"P11","Muy inseguro",0.084,0.095,0.038,0.027,0.026,0.13,0.146,0.083
"P12","Han aumentado en el último mes",0.632,0.449,0.139,0.109,0.237,0.396,0.352,0.255
"P12","Han disminuido en el último mes",0.094,0.174,0.048,0.081,0.118,0.014,0.036,0.122
"P12","Se mantienen igual que el mes anterior",0.165,0.245,0.73,0.281,0.441,0.33,0.392,0.372
"P12","No sabe",0.109,0.132,0.083,0.529,0.204,0.26,0.22,0.251
"P14","Mayor presencia de policía en las calles",0.502,0.19,0.106,0.15,0.189,0.162,0.078,0.066
"P14","Presencia de Gendarmería en las calles",0.097,0.457,0.102,0.04,0.084,0.04,0.076,0.071
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.064,0.096,0.293,0.085,0.054,0.064,0.038,0.042
"P14","Más iluminación en espacios públicos",0.052,0.043,0.112,0.312,0.085,0.055,0.024,0.058
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.049,0.053,0.068,0.096,0.386,0.05,0.032,0.026
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.04,0.039,0.073,0.027,0.061,0.398,0.025,0.013
"P14","Todas las anteriores",0.118,0.093,0.125,0.096,0.08,0.141,0.653,0.093
"P14","No sabe",0.078,0.029,0.121,0.194,0.061,0.09,0.074,0.631
"P15","El Gobierno Nacional",0.231,0.192,0.098,0.078,0.073,0.146,0.077,0.096
"P15","El Gobierno Provincial",0.274,0.249,0.243,0.214,0.244,0.281,0.172,0.24
"P15","El Municipio",0.181,0.166,0.231,0.23,0.252,0.155,0.103,0.184
