"var","categoria","Muy seguro","Algo seguro","Seguro","Algo inseguro","Inseguro","Muy inseguro"
"P04","Gran excedente habitual",0.035,0.004,0.01,0.004,0.003,0.004
"P04","Gran excedente excepcional",0.007,0.002,0,0.003,0.003,0
"P04","Pequeño excedente habitual",0.06,0.056,0.058,0.065,0.049,0.018
"P04","Pequeño excedente excepcional",0.064,0.054,0.087,0.045,0.033,0.031
"P04","Alcanza gastos familia",0.144,0.121,0.175,0.128,0.069,0.055
"P04","No alcanza gastos familia",0.154,0.184,0.173,0.186,0.193,0.237
"P04","Solo NBFamiliares",0.22,0.271,0.247,0.244,0.259,0.208
"P04","No alcanza NBFamiliares",0.285,0.293,0.233,0.313,0.371,0.442
"P04","No sabe",0.031,0.015,0.017,0.012,0.02,0.005
"P05","Si",0.154,0.161,0.108,0.225,0.324,0.471
"P05","No",0.846,0.839,0.892,0.775,0.676,0.529
"P06","Robo en vivienda, en su presencia",0.595,0.419,0.277,0.338,0.313,0.392
"P06","Robo en vivienda, en su ausencia",0.138,0.143,0.149,0.241,0.19,0.241
"P06","Robo de auto",0.053,0.05,0.07,0.03,0.068,0.095
"P06","Robo de moto",0.007,0.018,0.064,0.022,0.043,0.036
"P06","Robo de bicicleta",0.016,0.04,0.165,0.077,0.076,0.05
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.041,0.086,0.086,0.115,0.107,0.04
"P06","Otro tipo de delito a la propiedad",0.15,0.244,0.189,0.177,0.203,0.146
"P07","Muy seguro",0.495,0.106,0.085,0.037,0.042,0.035
"P07","Algo seguro",0.313,0.574,0.333,0.286,0.179,0.122
"P07","Seguro",0.06,0.109,0.477,0.086,0.024,0.024
"P07","Algo inseguro",0.073,0.12,0.072,0.45,0.222,0.034
"P07","Inseguro",0.03,0.063,0.026,0.12,0.415,0.233
"P07","Muy inseguro",0.029,0.028,0.007,0.021,0.118,0.552
"P08","Han aumentado en el último mes",0.354,0.276,0.22,0.45,0.611,0.71
"P08","Han disminuido en el ultimo mes",0.176,0.14,0.074,0.052,0.039,0.059
"P08","Se mantienen igual que el mes anterior",0.321,0.38,0.52,0.284,0.245,0.189
"P08","No sabe",0.149,0.204,0.186,0.214,0.105,0.042
"P09","Si",0.261,0.077,0.088,0.233,0.381,0.573
"P09","No",0.739,0.923,0.912,0.767,0.619,0.427
"P10","Hurto",0.777,0.249,0.179,0.374,0.339,0.366
"P10","Robo con violencia",0.039,0.532,0.185,0.115,0.156,0.324
"P10","Agresión física",0.007,0.03,0.351,0.036,0.039,0.065
"P10","Acoso verbal o intimidación",0.028,0.079,0.038,0.294,0.054,0.1
"P10","Otros delitos en la vía pública",0.149,0.11,0.247,0.181,0.412,0.145
"P12","Han aumentado en el último mes",0.431,0.25,0.136,0.311,0.588,0.748
"P12","Han disminuido en el último mes",0.128,0.17,0.04,0.012,0.033,0.012
"P12","Se mantienen igual que el mes anterior",0.285,0.387,0.595,0.323,0.264,0.205
"P12","No sabe",0.156,0.193,0.229,0.354,0.115,0.035
"P13","Mayor presencia de policía en las calles",0.349,0.243,0.18,0.202,0.231,0.24
"P13","Presencia de Gendarmería en las calles",0.086,0.127,0.071,0.143,0.198,0.15
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.161,0.212,0.139,0.108,0.114,0.068
"P13","Más iluminación en espacios públicos",0.101,0.147,0.123,0.106,0.067,0.035
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.073,0.061,0.112,0.079,0.056,0.021
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.046,0.038,0.08,0.062,0.046,0.084
"P13","Todas las anteriores",0.135,0.133,0.232,0.253,0.25,0.358
"P13","No sabe",0.049,0.039,0.063,0.047,0.038,0.044
"P14","Mayor presencia de policía en las calles",0.239,0.224,0.189,0.235,0.205,0.2
"P14","Presencia de Gendarmería en las calles",0.119,0.129,0.095,0.161,0.147,0.114
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.128,0.108,0.143,0.084,0.052,0.069
"P14","Más iluminación en espacios públicos",0.075,0.098,0.105,0.079,0.07,0.051
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.091,0.074,0.102,0.076,0.062,0.053
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.069,0.055,0.056,0.043,0.079,0.074
"P14","Todas las anteriores",0.143,0.163,0.167,0.245,0.329,0.354
"P14","No sabe",0.136,0.149,0.143,0.077,0.056,0.085
"P15","El Gobierno Nacional",0.152,0.132,0.065,0.163,0.145,0.171
"P15","El Gobierno Provincial",0.254,0.245,0.237,0.249,0.211,0.19
"P15","El Municipio",0.247,0.205,0.245,0.147,0.116,0.085
"P15","Todos los niveles de gobierno son igualmente responsables",0.302,0.36,0.398,0.398,0.483,0.546
"P15","No sabe",0.045,0.058,0.055,0.043,0.045,0.008
