"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P04","Gran excedente habitual",0.009,0.006,0.006,0.005,0.021,0,0.009,0.007
"P04","Gran excedente excepcional",0.001,0.004,0.002,0.001,0,0.009,0.003,0.002
"P04","Pequeño excedente habitual",0.043,0.073,0.039,0.081,0.097,0.04,0.049,0.051
"P04","Pequeño excedente excepcional",0.044,0.038,0.045,0.053,0.054,0.055,0.07,0.061
"P04","Alcanza gastos familia",0.102,0.098,0.105,0.124,0.15,0.082,0.115,0.157
"P04","No alcanza gastos familia",0.159,0.16,0.188,0.183,0.182,0.198,0.196,0.198
"P04","Solo NBFamiliares",0.26,0.275,0.295,0.194,0.237,0.22,0.283,0.248
"P04","No alcanza NBFamiliares",0.366,0.338,0.305,0.35,0.251,0.368,0.263,0.24
"P04","No sabe",0.016,0.008,0.015,0.009,0.008,0.028,0.012,0.036
"P05","Si",0.271,0.297,0.162,0.185,0.148,0.277,0.241,0.118
"P05","No",0.729,0.703,0.838,0.815,0.852,0.723,0.759,0.882
"P06","Robo en vivienda, en su presencia",0.511,0.376,0.319,0.377,0.19,0.364,0.326,0.284
"P06","Robo en vivienda, en su ausencia",0.113,0.181,0.355,0.134,0.206,0.202,0.187,0.109
"P06","Robo de auto",0.052,0.055,0.129,0.021,0.067,0.06,0.067,0.061
"P06","Robo de moto",0.022,0.026,0.006,0.015,0,0.019,0.063,0
"P06","Robo de bicicleta",0.079,0.094,0.05,0.09,0.076,0.013,0.056,0.096
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.058,0.131,0.078,0.078,0.254,0.118,0.07,0.104
"P06","Otro tipo de delito a la propiedad",0.165,0.137,0.063,0.285,0.207,0.224,0.231,0.346
"P07","Muy seguro",0.123,0.133,0.137,0.101,0.14,0.105,0.049,0.141
"P07","Algo seguro",0.349,0.363,0.417,0.463,0.352,0.318,0.287,0.416
"P07","Seguro",0.097,0.088,0.152,0.135,0.169,0.082,0.104,0.166
"P07","Algo inseguro",0.197,0.196,0.174,0.119,0.185,0.147,0.21,0.155
"P07","Inseguro",0.158,0.156,0.066,0.133,0.078,0.172,0.196,0.093
"P07","Muy inseguro",0.076,0.064,0.054,0.049,0.076,0.176,0.154,0.029
"P08","Han aumentado en el último mes",0.482,0.432,0.325,0.277,0.354,0.439,0.458,0.199
"P08","Han disminuido en el ultimo mes",0.121,0.113,0.089,0.107,0.091,0.091,0.054,0.118
"P08","Se mantienen igual que el mes anterior",0.273,0.318,0.423,0.419,0.421,0.353,0.315,0.407
"P08","No sabe",0.124,0.137,0.163,0.197,0.134,0.117,0.173,0.276
