"var","categoria","Han aumentado en el último mes","Han disminuido en el ultimo mes","Se mantienen igual que el mes anterior","No sabe"
"P04","Gran excedente habitual",0.006,0.017,0.006,0.006
"P04","Gran excedente excepcional",0.001,0.003,0.003,0.002
"P04","Pequeño excedente habitual",0.033,0.037,0.077,0.054
"P04","Pequeño excedente excepcional",0.03,0.077,0.074,0.052
"P04","Alcanza gastos familia",0.082,0.136,0.154,0.114
"P04","No alcanza gastos familia",0.179,0.134,0.2,0.21
"P04","Solo NBFamiliares",0.232,0.318,0.237,0.257
"P04","No alcanza NBFamiliares",0.422,0.277,0.233,0.264
"P04","No sabe",0.015,0.001,0.016,0.041
"P05","Si",0.314,0.131,0.16,0.15
"P05","No",0.686,0.869,0.84,0.85
"P06","Robo en vivienda, en su presencia",0.409,0.423,0.263,0.4
"P06","Robo en vivienda, en su ausencia",0.211,0.161,0.222,0.069
"P06","Robo de auto",0.055,0.101,0.083,0.048
"P06","Robo de moto",0.03,0.023,0.025,0.024
"P06","Robo de bicicleta",0.071,0.072,0.052,0.042
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.081,0.025,0.124,0.052
"P06","Otro tipo de delito a la propiedad",0.143,0.195,0.231,0.365
"P07","Muy seguro",0.132,0.122,0.109,0.084
"P07","Algo seguro",0.313,0.66,0.358,0.34
"P07","Seguro",0.05,0.066,0.214,0.137
"P07","Algo inseguro",0.162,0.065,0.146,0.333
"P07","Inseguro",0.192,0.051,0.13,0.068
"P07","Muy inseguro",0.151,0.036,0.043,0.038
"P09","Si",0.443,0.106,0.086,0.08
"P09","No",0.557,0.894,0.914,0.92
"P10","Hurto",0.359,0.534,0.463,0.468
"P10","Robo con violencia",0.215,0.241,0.232,0.238
"P10","Agresión física",0.055,0,0.044,0.071
"P10","Acoso verbal o intimidación",0.133,0.061,0.051,0.126
"P10","Otros delitos en la vía pública",0.238,0.164,0.21,0.097
"P11","Muy seguro",0.09,0.185,0.097,0.089
"P11","Algo seguro",0.242,0.506,0.395,0.421
"P11","Seguro",0.065,0.091,0.184,0.13
"P11","Algo inseguro",0.217,0.103,0.164,0.244
"P11","Inseguro",0.236,0.063,0.113,0.095
"P11","Muy inseguro",0.15,0.052,0.047,0.021
"P12","Han aumentado en el último mes",0.664,0.253,0.149,0.14
"P12","Han disminuido en el último mes",0.061,0.312,0.054,0.075
"P12","Se mantienen igual que el mes anterior",0.173,0.282,0.654,0.211
"P12","No sabe",0.102,0.153,0.143,0.574
"P13","Mayor presencia de policía en las calles",0.321,0.245,0.167,0.175
"P13","Presencia de Gendarmería en las calles",0.161,0.171,0.096,0.114
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.109,0.149,0.205,0.141
"P13","Más iluminación en espacios públicos",0.056,0.137,0.12,0.198
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.052,0.083,0.086,0.059
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.057,0.031,0.055,0.056
"P13","Todas las anteriores",0.218,0.128,0.218,0.192
"P13","No sabe",0.026,0.056,0.053,0.065
"P14","Mayor presencia de policía en las calles",0.268,0.274,0.172,0.166
"P14","Presencia de Gendarmería en las calles",0.144,0.154,0.121,0.11
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.081,0.09,0.119,0.097
"P14","Más iluminación en espacios públicos",0.06,0.094,0.102,0.101
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.068,0.072,0.092,0.062
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.067,0.056,0.061,0.043
"P14","Todas las anteriores",0.255,0.122,0.2,0.231
"P14","No sabe",0.057,0.138,0.133,0.19
"P15","El Gobierno Nacional",0.185,0.138,0.096,0.107
"P15","El Gobierno Provincial",0.231,0.29,0.238,0.21
"P15","El Municipio",0.14,0.255,0.204,0.177
"P15","Todos los niveles de gobierno son igualmente responsables",0.414,0.254,0.411,0.435
"P15","No sabe",0.03,0.063,0.051,0.071
