"var","categoria","Robo en vivienda, en su presencia","Robo en vivienda, en su ausencia","Robo de auto","Robo de moto","Robo de bicicleta","Vandalismo, como pintura de paredes, rotura de vidrios, o similares","Otro tipo de delito a la propiedad"
"P04","Gran excedente habitual",0.014,0,0.011,0,0.03,0,0.007
"P04","Gran excedente excepcional",0.004,0,0.019,0,0,0,0.002
"P04","Pequeño excedente habitual",0.012,0.036,0.033,0,0.005,0.069,0.016
"P04","Pequeño excedente excepcional",0.046,0.02,0.014,0.023,0.006,0.013,0.011
"P04","Alcanza gastos familia",0.05,0.029,0.095,0.03,0.062,0.092,0.069
"P04","No alcanza gastos familia",0.182,0.2,0.154,0.072,0.108,0.084,0.153
"P04","Solo NBFamiliares",0.162,0.184,0.24,0.142,0.135,0.119,0.08
"P04","No alcanza NBFamiliares",0.524,0.531,0.434,0.733,0.654,0.613,0.639
"P04","No sabe",0.006,0,0,0,0,0.01,0.023
"P07","Muy seguro",0.246,0.036,0.06,0,0.013,0.026,0.062
"P07","Algo seguro",0.099,0.336,0.127,0.054,0.127,0.107,0.194
"P07","Seguro",0.057,0.044,0.268,0.033,0.036,0.06,0.074
"P07","Algo inseguro",0.147,0.222,0.057,0.227,0.262,0.175,0.209
"P07","Inseguro",0.244,0.171,0.278,0.458,0.436,0.223,0.28
"P07","Muy inseguro",0.207,0.191,0.21,0.228,0.126,0.409,0.181
"P08","Han aumentado en el último mes",0.637,0.632,0.502,0.626,0.657,0.551,0.429
"P08","Han disminuido en el ultimo mes",0.062,0.045,0.087,0.046,0.063,0.016,0.055
"P08","Se mantienen igual que el mes anterior",0.173,0.281,0.322,0.225,0.201,0.36,0.292
"P08","No sabe",0.128,0.042,0.089,0.103,0.079,0.073,0.224
"P09","Si",0.589,0.495,0.486,0.368,0.649,0.24,0.311
"P09","No",0.411,0.505,0.514,0.632,0.351,0.76,0.689
"P10","Hurto",0.47,0.409,0.377,0.44,0.127,0.298,0.237
"P10","Robo con violencia",0.279,0.208,0.162,0.469,0.285,0.224,0.3
"P10","Agresión física",0.061,0.117,0.062,0.091,0.149,0.017,0.052
"P10","Acoso verbal o intimidación",0.107,0.082,0.036,0,0.144,0.169,0.13
"P10","Otros delitos en la vía pública",0.083,0.184,0.363,0,0.295,0.292,0.281
"P11","Muy seguro",0.112,0.052,0.063,0.017,0.017,0.034,0.055
"P11","Algo seguro",0.286,0.193,0.217,0.155,0.164,0.259,0.325
"P11","Seguro",0.044,0.046,0.07,0.129,0.156,0.06,0.058
"P11","Algo inseguro",0.179,0.253,0.099,0.149,0.244,0.271,0.184
"P11","Inseguro",0.192,0.229,0.264,0.333,0.277,0.291,0.242
"P11","Muy inseguro",0.187,0.227,0.287,0.217,0.142,0.085,0.136
"P12","Han aumentado en el último mes",0.605,0.625,0.475,0.664,0.784,0.472,0.473
"P12","Han disminuido en el último mes",0.068,0.038,0.134,0.027,0.026,0.031,0.092
"P12","Se mantienen igual que el mes anterior",0.199,0.225,0.288,0.224,0.143,0.312,0.238
"P12","No sabe",0.128,0.112,0.103,0.085,0.047,0.185,0.197
"P13","Mayor presencia de policía en las calles",0.373,0.167,0.178,0.264,0.273,0.241,0.322
"P13","Presencia de Gendarmería en las calles",0.185,0.256,0.184,0.207,0.308,0.159,0.106
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.136,0.156,0.181,0.123,0.111,0.114,0.1
"P13","Más iluminación en espacios públicos",0.059,0.04,0.073,0,0.128,0.089,0.09
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.038,0.041,0.054,0.044,0,0.091,0.063
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.036,0.059,0.102,0,0.013,0.101,0.04
"P13","Todas las anteriores",0.159,0.259,0.206,0.362,0.073,0.187,0.219
"P13","No sabe",0.014,0.022,0.022,0,0.094,0.018,0.06
"P14","Mayor presencia de policía en las calles",0.356,0.173,0.222,0.207,0.297,0.163,0.225
"P14","Presencia de Gendarmería en las calles",0.166,0.175,0.15,0.158,0.223,0.234,0.119
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.064,0.156,0.158,0.017,0.054,0.063,0.025
"P14","Más iluminación en espacios públicos",0.066,0.051,0.022,0.035,0.085,0.055,0.098
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.027,0.063,0.058,0,0.058,0.145,0.057
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.076,0.092,0.077,0.054,0.015,0.099,0.091
"P14","Todas las anteriores",0.201,0.252,0.254,0.529,0.187,0.175,0.279
"P14","No sabe",0.044,0.038,0.059,0,0.081,0.066,0.106
"P15","El Gobierno Nacional",0.315,0.204,0.202,0,0.19,0.1,0.235
"P15","El Gobierno Provincial",0.196,0.149,0.144,0.318,0.21,0.226,0.167
"P15","El Municipio",0.114,0.085,0.243,0.197,0.171,0.184,0.118
"P15","Todos los niveles de gobierno son igualmente responsables",0.364,0.514,0.407,0.485,0.266,0.42,0.414
"P15","No sabe",0.011,0.048,0.004,0,0.163,0.07,0.066
