codigo	bloque	paleta	texto	label	aclaracion
P08	Control	frecuencia	¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas	
P09	Bloque General	opinion	Podria indicarnos si está de acuerdo con delegar facultades legislativas al poder ejecutivo nacional?	Opinión sobre la delegación de facultades legislativas al poder ejecutivo	
P10	Bloque General	opinion	Que opinión tiene sobre el dictar las emergencias en materia de economía 	Opinión sobre la emergencia en materia de economía 	
P11	Bloque General	opinion	Que opinión tiene sobre el dictar las emergencias en materia de salud 	Opinión sobre la emergencia en materia de salud 	
P12	Bloque General	opinion	Que opinión tiene sobre el dictar las emergencias en materia de seguridad 	Opinión sobre la emergencia en materia de seguridad 	
P13	Bloque General	opinion	Que opinión tiene sobre el dictar las emergencias en materia administrativa 	Opinión sobre la emergencia en materia administrativa	
P14	Bloque General	opinion	Que opinión tiene sobre el dictar las emergencias en materia energética 	Opinión sobre la emergencia en materia energética  	
P15	Bloque General	opinion	Que opinión tiene sobre el dictar las emergencias en materia ambiental  	Opinión sobre la emergencia en materia ambiental  	
P16	Bloque General	opinion	Que opinión tiene sobre el dictar las emergencias en materia de justicia  	Opinión sobre la emergencia en materia de justicia  	
P17	Bloque General	opinion	¿Usted que opinión tiene sobre la idea de privatizar YPF?	Opinión sobre la privatización de YPF	
P18	Bloque General	opinion	¿Usted que opinión tiene sobre la idea de privatizar el Arsat?	Opinión sobre la privatización de Arsat	
P19	Bloque General	opinion	¿Usted que opinión tiene sobre la idea de privalitzar Aerolíneas Argentinas?	Opinión sobre la privatización de Aerolíneas Argentinas	
P20	Bloque General	opinion	¿Usted que opinión tiene sobre la idea de privatizar AYSA?	Opinión sobre la privatización de AYSA	
P21	Bloque General	opinion	¿Usted que opinión tiene sobre la idea de privatizar medios públicos?	Opinión sobre la privatización de medios públicos	
P22	Bloque General	sino	¿Usted cree que se deben coparticipar impuestos como PAÍS u otro con los gobiernos provinciales? 	Opinión sobre la coparticipación de impuestos con los Gobs. Provinciales	
P23	Bloque General	sino	Podría indicarnos si está de acuerdo con la liberalización del precio los combustibles	Nivel de acuerdo con la liberalización de precios de combustibles	
P24	Bloque General	sino	Podría indicarnos si está de acuerdo con la liberalización del precio las prepagas 	Nivel de acuerdo con la liberalización de precios de las prepagas	
P25	Bloque General	sino	Podría indicarnos si está de acuerdo con la liberalización del precio las cuotas de los colegios	Nivel de acuerdo con la liberalización de las cuotas de los colegios	
P26	Bloque General	diverging	¿Si se hiciera un plebiscito y usted tuviera que votar por la ley de bases y puntos de partida para la libertad de los argentinos, como votaría?	Intención de voto ante un posible plesbicito	
