"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.264,0.269,0.258,0.263,0.227,0.276,0.377,0.308,0.246,0.247,0.262,0.203,0.417,0.022,0.543,0.064,0.283,0.246,6
"Buena",0.107,0.101,0.115,0.09,0.119,0.096,0.118,0.102,0.121,0.093,0.092,0.224,0.131,0,0.167,0.065,0.073,0.139,6
"Ni buena ni mala",0.073,0.059,0.089,0.009,0.082,0.129,0.066,0.041,0.094,0.075,0.083,0.102,0.041,0.006,0.113,0.045,0.077,0.07,6
"Mala",0.212,0.218,0.205,0.246,0.195,0.224,0.183,0.203,0.188,0.254,0.234,0.196,0.171,0.177,0.101,0.295,0.199,0.223,6
"Muy mala",0.327,0.35,0.302,0.392,0.34,0.271,0.254,0.325,0.326,0.329,0.323,0.247,0.24,0.651,0.072,0.503,0.348,0.308,6
"No sabe",0.017,0.003,0.031,0,0.037,0.004,0.002,0.021,0.025,0.002,0.006,0.028,0,0.144,0.004,0.028,0.02,0.014,6
"Positiva",0.371,0.37,0.373,0.353,0.346,0.372,0.495,0.41,0.367,0.34,0.354,0.427,0.548,0.022,0.71,0.129,0.356,0.385,4
"Neutra",0.073,0.059,0.089,0.009,0.082,0.129,0.066,0.041,0.094,0.075,0.083,0.102,0.041,0.006,0.113,0.045,0.077,0.07,4
"Negativa",0.539,0.568,0.507,0.638,0.535,0.495,0.437,0.528,0.514,0.583,0.557,0.443,0.411,0.828,0.173,0.798,0.547,0.531,4
"No sabe",0.017,0.003,0.031,0,0.037,0.004,0.002,0.021,0.025,0.002,0.006,0.028,0,0.144,0.004,0.028,0.02,0.014,4
