"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.244,0.238,0.251,0.235,0.252,0.236,0.25,0.291,0.229,0.222,0.392,0.14,0.043,0.051,0.317,0.191,0.266,0.224,6
"Buena",0.31,0.326,0.293,0.303,0.301,0.311,0.352,0.188,0.392,0.309,0.337,0.413,0.262,0.253,0.321,0.312,0.288,0.33,6
"Ni buena ni mala",0.313,0.307,0.319,0.263,0.319,0.362,0.293,0.374,0.26,0.33,0.21,0.339,0.438,0.436,0.268,0.341,0.311,0.315,6
"Mala",0.074,0.08,0.067,0.098,0.078,0.058,0.043,0.071,0.062,0.093,0.04,0.057,0.124,0.153,0.057,0.082,0.076,0.072,6
"Muy mala",0.042,0.039,0.046,0.101,0.032,0.011,0.028,0.066,0.037,0.028,0.016,0.03,0.111,0.045,0.026,0.053,0.04,0.044,6
"No sabe",0.017,0.01,0.024,0,0.018,0.022,0.034,0.01,0.02,0.018,0.005,0.021,0.022,0.062,0.011,0.021,0.019,0.015,6
"Positiva",0.554,0.564,0.544,0.538,0.553,0.547,0.602,0.479,0.621,0.531,0.729,0.553,0.305,0.304,0.638,0.503,0.554,0.554,4
"Neutra",0.313,0.307,0.319,0.263,0.319,0.362,0.293,0.374,0.26,0.33,0.21,0.339,0.438,0.436,0.268,0.341,0.311,0.315,4
"Negativa",0.116,0.119,0.113,0.199,0.11,0.069,0.071,0.137,0.099,0.121,0.056,0.087,0.235,0.198,0.083,0.135,0.116,0.116,4
"No sabe",0.017,0.01,0.024,0,0.018,0.022,0.034,0.01,0.02,0.018,0.005,0.021,0.022,0.062,0.011,0.021,0.019,0.015,4
