"var","categoria","Si","No","No sabe"
"P09","Siempre",0.313,0.23,0.19
"P09","Casi siempre",0.328,0.35,0.396
"P09","Casi nunca",0.236,0.342,0.237
"P09","Nunca, pero esta es una excepción",0.123,0.078,0.177
"P10","Muy buena",0.204,0.132,0.183
"P10","Buena",0.192,0.302,0.237
"P10","Ni buena ni mala",0.429,0.391,0.392
"P10","Mala",0.091,0.099,0.106
"P10","Muy mala",0.063,0.042,0.029
"P10","No sabe",0.021,0.034,0.053
"P11","Muy buena",0.291,0.212,0.206
"P11","Buena",0.245,0.342,0.382
"P11","Ni buena ni mala",0.328,0.304,0.317
"P11","Mala",0.068,0.082,0.071
"P11","Muy mala",0.053,0.041,0.005
"P11","No sabe",0.015,0.019,0.019
"P12","Muy de acuerdo",0.219,0.096,0.043
"P12","De acuerdo",0.191,0.206,0.25
"P12","Ni de acuerdo ni en desacuerdo",0.335,0.374,0.421
"P12","En desacuerdo",0.064,0.092,0.067
"P12","Muy en desacuerdo",0.052,0.097,0.015
"P12","No sabe",0.139,0.135,0.204
"P15","Mantenerla como en la actualidad aunque tenga que endeudarse la provincia",0.451,0.187,0.256
"P15","Negociar un nuevo acuerdo salarial qué pueda pagarse con los recursos de la provincia",0.364,0.481,0.441
"P15","Anularlo, porque es un privilegio que solo tienen los empleados estatales",0.104,0.246,0.136
"P15","No sabe",0.081,0.086,0.167
"P16","Muy de acuerdo",0.198,0.127,0.121
"P16","De acuerdo",0.146,0.158,0.12
"P16","Ni de acuerdo ni en desacuerdo",0.287,0.233,0.481
"P16","En desacuerdo",0.27,0.313,0.189
"P16","Muy en desacuerdo",0.068,0.136,0.049
"P16","No sabe",0.031,0.033,0.04
"P18","Proteger sus derechos ancestrales",0.618,0.01,0.1
"P18","Iniciar un proceso de negociación con la partes del conflicto",0.27,0.237,0.423
"P18","Exigir el desalojo del predio e iniciar luego un proceso de negociación",0.078,0.324,0.29
"P18","No negociar con usurpadores y proceder al desalojo de la propiedad",0.02,0.408,0.069
"P18","No sabe",0.014,0.021,0.118
"P19","Muy de acuerdo",0.483,0.455,0.36
"P19","De acuerdo",0.264,0.254,0.33
"P19","Ni de acuerdo ni en desacuerdo",0.129,0.146,0.191
"P19","En desacuerdo",0.045,0.074,0.04
"P19","Muy en desacuerdo",0.035,0.055,0.023
"P19","No sabe",0.044,0.016,0.056
"P20","Si",0.691,0.584,0.512
"P20","No",0.12,0.216,0.159
"P20","No sabe",0.189,0.2,0.329
"P21","Si",0.489,0.384,0.423
"P21","No",0.15,0.28,0.159
"P21","No sabe",0.361,0.336,0.418
"P24","Muy de acuerdo",0.151,0.526,0.178
"P24","De acuerdo",0.067,0.222,0.106
"P24","Ni de acuerdo ni en desacuerdo",0.152,0.131,0.164
"P24","En desacuerdo",0.292,0.061,0.299
"P24","Muy en desacuerdo",0.331,0.054,0.224
"P24","No sabe",0.007,0.006,0.029
"P25","Muy de acuerdo",0.163,0.498,0.132
"P25","De acuerdo",0.049,0.253,0.111
"P25","Ni de acuerdo ni en desacuerdo",0.107,0.118,0.197
"P25","En desacuerdo",0.275,0.055,0.292
"P25","Muy en desacuerdo",0.396,0.075,0.217
"P25","No sabe",0.01,0.001,0.051
"P26","Muy buena",0.257,0.171,0.228
"P26","Buena",0.253,0.295,0.268
"P26","Ni buena ni mala",0.349,0.377,0.331
"P26","Mala",0.083,0.089,0.107
"P26","Muy mala",0.051,0.045,0.043
"P26","No sabe",0.007,0.023,0.023
"P27","Muy buena",0.21,0.122,0.12
"P27","Buena",0.185,0.173,0.197
"P27","Ni buena ni mala",0.346,0.326,0.49
"P27","Mala",0.146,0.205,0.099
"P27","Muy mala",0.07,0.137,0.058
"P27","No sabe",0.043,0.037,0.036
"P28","Muy buena",0.123,0.071,0.105
"P28","Buena",0.117,0.111,0.155
"P28","Ni buena ni mala",0.285,0.186,0.351
"P28","Mala",0.3,0.351,0.278
"P28","Muy mala",0.167,0.249,0.092
"P28","No sabe",0.008,0.032,0.019
"P29","Muy buena",0.167,0.062,0.035
"P29","Buena",0.106,0.131,0.149
"P29","Ni buena ni mala",0.372,0.367,0.53
"P29","Mala",0.201,0.223,0.165
"P29","Muy mala",0.121,0.172,0.086
"P29","No sabe",0.033,0.045,0.035
"P30","Muy buena",0.275,0.068,0.15
"P30","Buena",0.239,0.141,0.266
"P30","Ni buena ni mala",0.288,0.243,0.413
"P30","Mala",0.139,0.261,0.086
"P30","Muy mala",0.051,0.24,0.062
"P30","No sabe",0.008,0.047,0.023
"P31","Muy buena",0.561,0.071,0.301
"P31","Buena",0.111,0.078,0.187
"P31","Ni buena ni mala",0.073,0.06,0.115
"P31","Mala",0.129,0.281,0.154
"P31","Muy mala",0.126,0.482,0.228
"P31","No sabe",0,0.028,0.015
"P32","Muy buena",0.128,0.202,0.028
"P32","Buena",0.029,0.195,0.114
"P32","Ni buena ni mala",0.085,0.253,0.194
"P32","Mala",0.268,0.197,0.312
"P32","Muy mala",0.487,0.144,0.337
"P32","No sabe",0.003,0.009,0.015
"P33","Muy buena",0.319,0.075,0.095
"P33","Buena",0.234,0.116,0.221
"P33","Ni buena ni mala",0.141,0.093,0.285
"P33","Mala",0.184,0.261,0.178
"P33","Muy mala",0.119,0.454,0.206
"P33","No sabe",0.003,0.001,0.015
"P34","Muy buena",0.186,0.505,0.222
"P34","Buena",0.063,0.211,0.142
"P34","Ni buena ni mala",0.097,0.092,0.19
"P34","Mala",0.221,0.063,0.186
"P34","Muy mala",0.433,0.129,0.238
"P34","No sabe",0,0,0.022
"P35","Muy buena",0.15,0.386,0.143
"P35","Buena",0.063,0.367,0.168
"P35","Ni buena ni mala",0.125,0.075,0.184
"P35","Mala",0.196,0.083,0.235
"P35","Muy mala",0.464,0.088,0.255
"P35","No sabe",0.002,0.001,0.015
"P36","Muy buena",0.152,0.266,0.112
"P36","Buena",0.041,0.261,0.134
"P36","Ni buena ni mala",0.193,0.302,0.267
"P36","Mala",0.201,0.077,0.195
"P36","Muy mala",0.394,0.084,0.257
"P36","No sabe",0.019,0.01,0.035
"P37","Muy buena",0.194,0.526,0.174
"P37","Buena",0.03,0.191,0.133
"P37","Ni buena ni mala",0.16,0.121,0.186
"P37","Mala",0.162,0.067,0.183
"P37","Muy mala",0.423,0.095,0.28
"P37","No sabe",0.031,0,0.044
"P38","Muy buena",0.129,0.177,0.086
"P38","Buena",0.08,0.294,0.16
"P38","Ni buena ni mala",0.338,0.357,0.463
"P38","Mala",0.224,0.097,0.142
"P38","Muy mala",0.183,0.068,0.1
"P38","No sabe",0.046,0.007,0.049
"P39","Muy buena",0.124,0.195,0.047
"P39","Buena",0.036,0.279,0.079
"P39","Ni buena ni mala",0.136,0.319,0.312
"P39","Mala",0.219,0.065,0.219
"P39","Muy mala",0.474,0.116,0.319
"P39","No sabe",0.011,0.026,0.024
"P40","Muy buena",0.105,0.132,0.038
"P40","Buena",0.065,0.218,0.114
"P40","Ni buena ni mala",0.263,0.4,0.372
"P40","Mala",0.169,0.078,0.175
"P40","Muy mala",0.332,0.097,0.169
"P40","No sabe",0.066,0.075,0.132
