"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.107,0.128,0.084,0.17,0.078,0.095,0.124,0.145,0.084,0.105,0.116,0.113,0.02,0.17,0.052,0.143,0.119,0.095,6
"Buena",0.153,0.173,0.132,0.243,0.125,0.121,0.153,0.145,0.17,0.136,0.16,0.225,0.052,0.098,0.053,0.239,0.159,0.147,6
"Ni buena ni mala",0.353,0.352,0.355,0.321,0.365,0.387,0.305,0.38,0.374,0.302,0.398,0.265,0.308,0.447,0.319,0.38,0.394,0.316,6
"Mala",0.123,0.093,0.154,0.097,0.109,0.165,0.138,0.101,0.15,0.104,0.086,0.139,0.192,0.147,0.175,0.078,0.107,0.138,6
"Muy mala",0.182,0.189,0.174,0.105,0.222,0.146,0.238,0.159,0.136,0.264,0.158,0.187,0.332,0.064,0.317,0.076,0.168,0.194,6
"No sabe",0.082,0.065,0.101,0.064,0.101,0.086,0.042,0.07,0.086,0.089,0.082,0.071,0.096,0.074,0.084,0.084,0.053,0.11,6
"Positiva",0.26,0.301,0.216,0.413,0.203,0.216,0.277,0.29,0.254,0.241,0.276,0.338,0.072,0.268,0.105,0.382,0.278,0.242,4
"Neutra",0.353,0.352,0.355,0.321,0.365,0.387,0.305,0.38,0.374,0.302,0.398,0.265,0.308,0.447,0.319,0.38,0.394,0.316,4
"Negativa",0.305,0.282,0.328,0.202,0.331,0.311,0.376,0.26,0.286,0.368,0.244,0.326,0.524,0.211,0.492,0.154,0.275,0.332,4
"No sabe",0.082,0.065,0.101,0.064,0.101,0.086,0.042,0.07,0.086,0.089,0.082,0.071,0.096,0.074,0.084,0.084,0.053,0.11,4
