"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.149,0.14,0.158,0.22,0.097,0.158,0.18,0.217,0.142,0.094,0.172,0.107,0.057,0.148,0.067,0.211,0.178,0.123,6
"Buena",0.129,0.127,0.131,0.206,0.088,0.108,0.172,0.074,0.149,0.153,0.114,0.21,0.094,0.173,0.04,0.204,0.107,0.149,6
"Ni buena ni mala",0.19,0.215,0.164,0.124,0.248,0.184,0.121,0.195,0.209,0.159,0.198,0.152,0.125,0.434,0.091,0.264,0.196,0.186,6
"Mala",0.239,0.232,0.247,0.192,0.264,0.257,0.207,0.263,0.266,0.178,0.241,0.279,0.26,0.082,0.322,0.179,0.224,0.252,6
"Muy mala",0.284,0.273,0.296,0.258,0.297,0.28,0.295,0.235,0.226,0.415,0.266,0.223,0.464,0.163,0.474,0.131,0.285,0.283,6
"No sabe",0.009,0.013,0.004,0,0.006,0.013,0.025,0.016,0.008,0.001,0.009,0.029,0,0,0.006,0.011,0.01,0.007,6
"Positiva",0.278,0.267,0.289,0.426,0.185,0.266,0.352,0.291,0.291,0.247,0.286,0.317,0.151,0.321,0.107,0.415,0.285,0.272,4
"Neutra",0.19,0.215,0.164,0.124,0.248,0.184,0.121,0.195,0.209,0.159,0.198,0.152,0.125,0.434,0.091,0.264,0.196,0.186,4
"Negativa",0.523,0.505,0.543,0.45,0.561,0.537,0.502,0.498,0.492,0.593,0.507,0.502,0.724,0.245,0.796,0.31,0.509,0.535,4
"No sabe",0.009,0.013,0.004,0,0.006,0.013,0.025,0.016,0.008,0.001,0.009,0.029,0,0,0.006,0.011,0.01,0.007,4
