"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.09,0.099,0.081,0.163,0.056,0.088,0.09,0.152,0.089,0.036,0.108,0.161,0.021,0,0.109,0.075,0.094,0.087,6
"Buena",0.126,0.111,0.143,0.137,0.096,0.162,0.152,0.105,0.148,0.117,0.086,0.405,0.11,0.018,0.149,0.118,0.103,0.148,6
"Ni buena ni mala",0.398,0.361,0.437,0.295,0.428,0.442,0.383,0.312,0.452,0.4,0.431,0.256,0.365,0.409,0.4,0.393,0.407,0.389,6
"Mala",0.206,0.252,0.156,0.237,0.203,0.173,0.224,0.211,0.182,0.233,0.217,0.092,0.254,0.26,0.202,0.209,0.218,0.195,6
"Muy mala",0.141,0.159,0.121,0.168,0.172,0.085,0.086,0.182,0.084,0.181,0.134,0.05,0.203,0.244,0.1,0.165,0.158,0.124,6
"No sabe",0.039,0.018,0.062,0,0.045,0.05,0.065,0.038,0.045,0.033,0.024,0.036,0.047,0.069,0.04,0.04,0.02,0.057,6
"Positiva",0.216,0.21,0.224,0.3,0.152,0.25,0.242,0.257,0.237,0.153,0.194,0.566,0.131,0.018,0.258,0.193,0.197,0.235,4
"Neutra",0.398,0.361,0.437,0.295,0.428,0.442,0.383,0.312,0.452,0.4,0.431,0.256,0.365,0.409,0.4,0.393,0.407,0.389,4
"Negativa",0.347,0.411,0.277,0.405,0.375,0.258,0.31,0.393,0.266,0.414,0.351,0.142,0.457,0.504,0.302,0.374,0.376,0.319,4
"No sabe",0.039,0.018,0.062,0,0.045,0.05,0.065,0.038,0.045,0.033,0.024,0.036,0.047,0.069,0.04,0.04,0.02,0.057,4
