"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","opciones"
"Muy buena",0.161,0.15,0.172,0.141,0.178,0.144,0.167,0.29,0.146,0.107,0.189,0.2,0.135,0.011,0.232,0.117,6
"Buena",0.249,0.228,0.271,0.126,0.24,0.332,0.306,0.137,0.303,0.251,0.28,0.348,0.298,0.034,0.319,0.211,6
"Ni buena ni mala",0.277,0.277,0.278,0.242,0.316,0.248,0.252,0.232,0.288,0.289,0.257,0.225,0.258,0.46,0.25,0.285,6
"Mala",0.192,0.214,0.169,0.231,0.165,0.206,0.2,0.185,0.173,0.217,0.172,0.186,0.112,0.339,0.121,0.237,6
"Muy mala",0.105,0.119,0.091,0.26,0.082,0.054,0.05,0.15,0.065,0.127,0.094,0.016,0.188,0.133,0.058,0.142,6
"No sabe",0.016,0.012,0.019,0,0.019,0.016,0.025,0.006,0.025,0.009,0.008,0.025,0.009,0.023,0.02,0.008,6
"Positiva",0.41,0.378,0.443,0.267,0.418,0.476,0.473,0.427,0.449,0.358,0.469,0.548,0.433,0.045,0.551,0.328,4
"Neutra",0.277,0.277,0.278,0.242,0.316,0.248,0.252,0.232,0.288,0.289,0.257,0.225,0.258,0.46,0.25,0.285,4
"Negativa",0.297,0.333,0.26,0.491,0.247,0.26,0.25,0.335,0.238,0.344,0.266,0.202,0.3,0.472,0.179,0.379,4
"No sabe",0.016,0.012,0.019,0,0.019,0.016,0.025,0.006,0.025,0.009,0.008,0.025,0.009,0.023,0.02,0.008,4
