"var","categoria","El Gobierno Nacional","El Gobierno Provincial","El Municipio","Todos los niveles de gobierno son igualmente responsables","No sabe"
"P04","Gran excedente habitual",0.011,0.015,0.02,0.006,0.003
"P04","Gran excedente excepcional",0.001,0.005,0.005,0.002,0
"P04","Pequeño excedente habitual",0.031,0.064,0.068,0.047,0.023
"P04","Pequeño excedente excepcional",0.026,0.066,0.066,0.056,0.034
"P04","Alcanza gastos familia",0.084,0.17,0.196,0.121,0.108
"P04","No alcanza gastos familia",0.142,0.169,0.169,0.162,0.111
"P04","Solo NBFamiliares",0.231,0.261,0.238,0.297,0.2
"P04","No alcanza NBFamiliares",0.466,0.236,0.23,0.298,0.481
"P04","No sabe",0.008,0.014,0.008,0.011,0.04
"P05","Si",0.303,0.161,0.132,0.204,0.231
"P05","No",0.697,0.839,0.868,0.796,0.769
"P06","Robo en vivienda, en su presencia",0.543,0.196,0.443,0.342,0.343
"P06","Robo en vivienda, en su ausencia",0.149,0.381,0.181,0.207,0.2
"P06","Robo de auto",0.067,0.083,0.055,0.092,0.005
"P06","Robo de moto",0.005,0.031,0.006,0.03,0.025
"P06","Robo de bicicleta",0.05,0.036,0.028,0.051,0.013
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.05,0.1,0.133,0.102,0.029
"P06","Otro tipo de delito a la propiedad",0.136,0.173,0.154,0.176,0.385
"P07","Muy seguro",0.2,0.144,0.179,0.098,0.147
"P07","Algo seguro",0.291,0.36,0.325,0.294,0.373
"P07","Seguro",0.074,0.13,0.173,0.117,0.113
"P07","Algo inseguro",0.163,0.179,0.187,0.224,0.167
"P07","Inseguro",0.169,0.128,0.101,0.162,0.067
"P07","Muy inseguro",0.103,0.059,0.035,0.105,0.133
"P08","Han aumentado en el último mes",0.555,0.379,0.238,0.408,0.234
"P08","Han disminuido en el ultimo mes",0.107,0.103,0.134,0.061,0.149
"P08","Se mantienen igual que el mes anterior",0.257,0.39,0.443,0.353,0.293
"P08","No sabe",0.081,0.128,0.185,0.178,0.324
"P09","Si",0.333,0.141,0.118,0.198,0.149
"P09","No",0.667,0.859,0.882,0.802,0.851
"P10","Hurto",0.387,0.458,0.388,0.344,0.196
"P10","Robo con violencia",0.287,0.238,0.204,0.314,0.364
"P10","Agresión física",0.059,0.055,0.082,0.088,0.246
"P10","Acoso verbal o intimidación",0.083,0.115,0.086,0.084,0.079
"P10","Otros delitos en la vía pública",0.184,0.134,0.24,0.17,0.115
"P11","Muy seguro",0.189,0.118,0.166,0.07,0.169
"P11","Algo seguro",0.325,0.33,0.356,0.281,0.42
"P11","Seguro",0.076,0.143,0.133,0.114,0.104
"P11","Algo inseguro",0.145,0.218,0.189,0.258,0.156
"P11","Inseguro",0.182,0.13,0.12,0.173,0.075
"P11","Muy inseguro",0.083,0.061,0.036,0.104,0.076
"P12","Han aumentado en el último mes",0.552,0.355,0.256,0.383,0.25
"P12","Han disminuido en el último mes",0.062,0.091,0.116,0.067,0.107
"P12","Se mantienen igual que el mes anterior",0.293,0.418,0.445,0.377,0.293
"P12","No sabe",0.093,0.136,0.183,0.173,0.35
"P13","Mayor presencia de policía en las calles",0.406,0.299,0.251,0.198,0.227
"P13","Presencia de Gendarmería en las calles",0.252,0.171,0.122,0.158,0.092
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.106,0.159,0.204,0.122,0.114
"P13","Más iluminación en espacios públicos",0.038,0.081,0.139,0.058,0.18
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.036,0.047,0.064,0.062,0.15
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.042,0.044,0.033,0.061,0.053
"P13","Todas las anteriores",0.099,0.155,0.137,0.282,0.05
"P13","No sabe",0.021,0.044,0.05,0.059,0.134
"P14","Mayor presencia de policía en las calles",0.474,0.257,0.204,0.163,0.246
"P14","Presencia de Gendarmería en las calles",0.178,0.248,0.147,0.145,0.063
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.084,0.11,0.263,0.105,0.109
"P14","Más iluminación en espacios públicos",0.025,0.06,0.082,0.083,0.044
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.032,0.058,0.049,0.051,0.157
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.025,0.052,0.036,0.062,0.039
"P14","Todas las anteriores",0.123,0.125,0.111,0.283,0.052
"P14","No sabe",0.059,0.09,0.108,0.108,0.29
