"var","categoria","Muy seguro","Algo seguro","Seguro","Algo inseguro","Inseguro","Muy inseguro"
"P04","Gran excedente habitual",0.036,0.01,0.013,0.002,0.004,0.014
"P04","Gran excedente excepcional",0.004,0.006,0.006,0.001,0.002,0.001
"P04","Pequeño excedente habitual",0.102,0.052,0.065,0.047,0.029,0.022
"P04","Pequeño excedente excepcional",0.063,0.051,0.074,0.062,0.035,0.01
"P04","Alcanza gastos familia",0.142,0.138,0.226,0.147,0.108,0.08
"P04","No alcanza gastos familia",0.144,0.17,0.141,0.16,0.15,0.183
"P04","Solo NBFamiliares",0.197,0.305,0.223,0.276,0.279,0.157
"P04","No alcanza NBFamiliares",0.304,0.258,0.223,0.297,0.381,0.523
"P04","No sabe",0.008,0.01,0.029,0.008,0.012,0.01
"P05","Si",0.159,0.133,0.079,0.159,0.323,0.485
"P05","No",0.841,0.867,0.921,0.841,0.677,0.515
"P06","Robo en vivienda, en su presencia",0.442,0.451,0.352,0.278,0.317,0.373
"P06","Robo en vivienda, en su ausencia",0.175,0.18,0.227,0.254,0.232,0.212
"P06","Robo de auto",0.011,0.082,0.034,0.07,0.115,0.124
"P06","Robo de moto",0.011,0.027,0.017,0.039,0.011,0.029
"P06","Robo de bicicleta",0.023,0.021,0.018,0.053,0.057,0.063
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.097,0.073,0.139,0.123,0.095,0.031
"P06","Otro tipo de delito a la propiedad",0.241,0.166,0.213,0.183,0.173,0.168
"P07","Muy seguro",0.553,0.123,0.117,0.035,0.041,0.071
"P07","Algo seguro",0.253,0.563,0.304,0.235,0.143,0.03
"P07","Seguro",0.087,0.109,0.432,0.103,0.057,0.017
"P07","Algo inseguro",0.03,0.126,0.104,0.485,0.226,0.051
"P07","Inseguro",0.037,0.054,0.033,0.117,0.432,0.264
"P07","Muy inseguro",0.04,0.025,0.01,0.025,0.101,0.567
"P08","Han aumentado en el último mes",0.273,0.293,0.157,0.414,0.618,0.734
"P08","Han disminuido en el ultimo mes",0.16,0.136,0.087,0.061,0.042,0.06
"P08","Se mantienen igual que el mes anterior",0.404,0.382,0.528,0.356,0.241,0.169
"P08","No sabe",0.163,0.189,0.228,0.169,0.099,0.037
"P09","Si",0.193,0.071,0.101,0.156,0.351,0.536
"P09","No",0.807,0.929,0.899,0.844,0.649,0.464
"P10","Hurto",0.638,0.278,0.403,0.446,0.347,0.309
"P10","Robo con violencia",0.144,0.505,0.115,0.142,0.233,0.42
"P10","Agresión física",0.055,0.052,0.296,0.085,0.027,0.087
"P10","Acoso verbal o intimidación",0.057,0.059,0.101,0.232,0.084,0.066
"P10","Otros delitos en la vía pública",0.106,0.106,0.085,0.095,0.309,0.118
"P12","Han aumentado en el último mes",0.358,0.275,0.12,0.367,0.569,0.728
"P12","Han disminuido en el último mes",0.129,0.138,0.058,0.047,0.034,0.031
"P12","Se mantienen igual que el mes anterior",0.353,0.399,0.629,0.35,0.303,0.166
"P12","No sabe",0.16,0.188,0.193,0.236,0.094,0.075
"P13","Mayor presencia de policía en las calles",0.354,0.288,0.283,0.229,0.242,0.145
"P13","Presencia de Gendarmería en las calles",0.13,0.142,0.085,0.173,0.201,0.253
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.155,0.201,0.17,0.116,0.082,0.055
"P13","Más iluminación en espacios públicos",0.106,0.122,0.1,0.066,0.038,0.012
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.049,0.042,0.099,0.071,0.057,0.028
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.029,0.043,0.047,0.063,0.068,0.049
"P13","Todas las anteriores",0.102,0.114,0.154,0.233,0.254,0.396
"P13","No sabe",0.075,0.048,0.062,0.049,0.058,0.062
"P14","Mayor presencia de policía en las calles",0.308,0.243,0.223,0.209,0.255,0.227
"P14","Presencia de Gendarmería en las calles",0.169,0.162,0.15,0.209,0.171,0.143
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.165,0.155,0.167,0.121,0.076,0.049
"P14","Más iluminación en espacios públicos",0.085,0.074,0.093,0.059,0.056,0.038
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.046,0.057,0.101,0.043,0.039,0.028
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.048,0.04,0.043,0.06,0.057,0.058
"P14","Todas las anteriores",0.068,0.138,0.121,0.198,0.283,0.377
"P14","No sabe",0.111,0.131,0.102,0.101,0.063,0.08
"P15","El Gobierno Nacional",0.218,0.142,0.089,0.094,0.169,0.151
"P15","El Gobierno Provincial",0.243,0.256,0.296,0.25,0.214,0.195
"P15","El Municipio",0.259,0.21,0.211,0.165,0.15,0.088
"P15","Todos los niveles de gobierno son igualmente responsables",0.226,0.342,0.371,0.464,0.448,0.529
"P15","No sabe",0.054,0.05,0.033,0.027,0.019,0.037
