"var","categoria","Han aumentado en el último mes","Han disminuido en el último mes","Se mantienen igual que el mes anterior","No sabe"
"P04","Gran excedente habitual",0.008,0.02,0.009,0.012
"P04","Gran excedente excepcional",0.001,0.006,0.004,0.004
"P04","Pequeño excedente habitual",0.038,0.05,0.067,0.063
"P04","Pequeño excedente excepcional",0.033,0.052,0.072,0.062
"P04","Alcanza gastos familia",0.088,0.154,0.192,0.166
"P04","No alcanza gastos familia",0.159,0.175,0.153,0.177
"P04","Solo NBFamiliares",0.253,0.281,0.258,0.258
"P04","No alcanza NBFamiliares",0.414,0.243,0.232,0.24
"P04","No sabe",0.006,0.019,0.013,0.018
"P05","Si",0.302,0.15,0.116,0.143
"P05","No",0.698,0.85,0.884,0.857
"P06","Robo en vivienda, en su presencia",0.37,0.502,0.303,0.356
"P06","Robo en vivienda, en su ausencia",0.214,0.207,0.216,0.245
"P06","Robo de auto",0.077,0.016,0.095,0.085
"P06","Robo de moto",0.035,0,0.02,0.003
"P06","Robo de bicicleta",0.047,0.023,0.028,0.081
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.083,0.043,0.146,0.046
"P06","Otro tipo de delito a la propiedad",0.174,0.209,0.192,0.184
"P07","Muy seguro",0.092,0.279,0.158,0.136
"P07","Algo seguro",0.238,0.407,0.346,0.386
"P07","Seguro",0.07,0.139,0.166,0.167
"P07","Algo inseguro",0.225,0.063,0.198,0.197
"P07","Inseguro",0.219,0.062,0.101,0.085
"P07","Muy inseguro",0.156,0.05,0.031,0.029
"P08","Han aumentado en el último mes",0.73,0.197,0.17,0.185
"P08","Han disminuido en el ultimo mes",0.07,0.432,0.067,0.061
"P08","Se mantienen igual que el mes anterior",0.132,0.279,0.653,0.251
"P08","No sabe",0.068,0.092,0.11,0.503
"P09","Si",0.327,0.118,0.09,0.126
"P09","No",0.673,0.882,0.91,0.874
"P10","Hurto",0.365,0.273,0.425,0.478
"P10","Robo con violencia",0.3,0.312,0.209,0.167
"P10","Agresión física",0.084,0.124,0.061,0.042
"P10","Acoso verbal o intimidación",0.091,0.111,0.104,0.161
"P10","Otros delitos en la vía pública",0.16,0.18,0.201,0.152
"P11","Muy seguro",0.119,0.187,0.113,0.112
"P11","Algo seguro",0.237,0.517,0.33,0.342
"P11","Seguro",0.041,0.086,0.207,0.139
"P11","Algo inseguro",0.215,0.12,0.196,0.292
"P11","Inseguro",0.237,0.062,0.121,0.082
"P11","Muy inseguro",0.151,0.028,0.033,0.033
"P13","Mayor presencia de policía en las calles",0.372,0.249,0.208,0.168
"P13","Presencia de Gendarmería en las calles",0.206,0.309,0.095,0.121
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.067,0.126,0.246,0.087
"P13","Más iluminación en espacios públicos",0.04,0.074,0.078,0.203
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.042,0.047,0.065,0.079
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.046,0.039,0.052,0.06
"P13","Todas las anteriores",0.191,0.104,0.195,0.191
"P13","No sabe",0.036,0.052,0.061,0.091
"P14","Mayor presencia de policía en las calles",0.311,0.283,0.199,0.165
"P14","Presencia de Gendarmería en las calles",0.176,0.172,0.169,0.168
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.1,0.164,0.152,0.131
"P14","Más iluminación en espacios públicos",0.056,0.092,0.074,0.074
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.035,0.052,0.065,0.066
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.046,0.051,0.055,0.044
"P14","Todas las anteriores",0.212,0.096,0.181,0.151
"P14","No sabe",0.064,0.09,0.105,0.201
"P15","El Gobierno Nacional",0.207,0.103,0.106,0.08
"P15","El Gobierno Provincial",0.237,0.272,0.268,0.208
"P15","El Municipio",0.13,0.263,0.217,0.213
"P15","Todos los niveles de gobierno son igualmente responsables",0.401,0.313,0.38,0.417
"P15","No sabe",0.025,0.049,0.029,0.082
