"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P08","Inflación",0.317,0.311,0.362,0.278
"P08","Desempleo",0.056,0.09,0.096,0.061
"P08","Corrupción",0.375,0.374,0.198,0.238
"P08","Inseguridad",0.134,0.082,0.092,0.141
"P08","Precio del dólar",0.024,0.038,0.04,0.051
"P08","Pobreza",0.04,0.04,0.09,0.104
"P08","Narcotráfico",0.019,0.017,0.022,0.022
"P08","Tarifas",0.011,0.004,0.01,0.023
"P08","Otro",0.021,0.035,0.068,0.039
"P08","No sabe",0.003,0.009,0.022,0.043
"P12","Sin deuda",0.318,0.271,0.301,0.247
"P12","Menos de 10%",0.176,0.17,0.15,0.123
"P12","Entre 10 y 20%",0.133,0.155,0.14,0.175
"P12","Entre 20 y 30%",0.09,0.112,0.099,0.076
"P12","Entre 30 y 40%",0.094,0.08,0.089,0.077
"P12","Mas del 40%",0.158,0.179,0.171,0.201
"P12","No sabe",0.031,0.033,0.05,0.101
"P13","Gran excedente habitual",0.008,0.001,0.01,0.012
"P13","Gran excedente excepcional",0.007,0.005,0.011,0.01
"P13","Pequeño excedente habitual",0.061,0.052,0.081,0.044
"P13","Pequeño excedente excepcional",0.051,0.076,0.066,0.027
"P13","Alcanza gastos familia",0.121,0.145,0.134,0.077
"P13","No alcanza gastos familia",0.152,0.144,0.16,0.203
"P13","Solo NBFamiliares",0.26,0.272,0.232,0.227
"P13","No alcanza NBFamiliares",0.329,0.295,0.289,0.36
"P13","No sabe",0.011,0.01,0.017,0.04
"P14","Muy buena",0.063,0.061,0.044,0.034
"P14","Buena",0.142,0.151,0.161,0.094
"P14","Ni buena ni mala",0.406,0.389,0.428,0.413
"P14","Mala",0.259,0.298,0.24,0.289
"P14","Muy mala",0.104,0.09,0.117,0.128
"P14","No sabe",0.026,0.011,0.01,0.042
"P15","Mejor",0.07,0.085,0.127,0.084
"P15","Igual",0.124,0.17,0.311,0.18
"P15","Peor",0.756,0.695,0.51,0.655
"P15","No sabe",0.05,0.05,0.052,0.081
"P16","Mejor",0.061,0.06,0.129,0.096
"P16","Igual",0.168,0.232,0.284,0.206
"P16","Peor",0.683,0.591,0.444,0.451
"P16","No sabe",0.088,0.117,0.143,0.247
"P17","Muy buena",0.099,0.075,0.051,0.076
"P17","Buena",0.048,0.039,0.085,0.049
"P17","Ni buena ni mala",0.042,0.065,0.202,0.142
"P17","Mala",0.222,0.277,0.312,0.277
"P17","Muy mala",0.583,0.537,0.333,0.417
"P17","No sabe",0.006,0.007,0.017,0.039
"P18","Mejor",0.029,0.046,0.096,0.063
"P18","Igual",0.061,0.083,0.264,0.096
"P18","Peor",0.857,0.816,0.577,0.737
"P18","No sabe",0.053,0.055,0.063,0.104
"P19","Mejor",0.041,0.059,0.133,0.047
"P19","Igual",0.106,0.138,0.254,0.145
"P19","Peor",0.778,0.719,0.497,0.59
"P19","No sabe",0.075,0.084,0.116,0.218
"P20","Muy buena",0.084,0.108,0.077,0.063
"P20","Buena",0.03,0.051,0.142,0.056
"P20","Ni buena ni mala",0.047,0.105,0.277,0.229
"P20","Mala",0.13,0.164,0.223,0.212
"P20","Muy mala",0.695,0.569,0.264,0.388
"P20","No sabe",0.014,0.003,0.017,0.052
"P22","Muy buena",0.024,0.044,0.049,0.019
"P22","Buena",0.021,0.023,0.114,0.04
"P22","Ni buena ni mala",0.065,0.117,0.259,0.183
"P22","Mala",0.143,0.186,0.275,0.266
"P22","Muy mala",0.728,0.622,0.268,0.415
"P22","No sabe",0.019,0.008,0.035,0.077
"P23","Muy buena",0.03,0.03,0.076,0.027
"P23","Buena",0.027,0.032,0.196,0.061
"P23","Ni buena ni mala",0.069,0.185,0.261,0.208
"P23","Mala",0.222,0.22,0.19,0.267
"P23","Muy mala",0.62,0.523,0.255,0.344
"P23","No sabe",0.032,0.01,0.022,0.093
"P24","Muy buena",0.025,0.014,0.035,0.03
"P24","Buena",0.02,0.032,0.127,0.055
"P24","Ni buena ni mala",0.055,0.105,0.251,0.151
"P24","Mala",0.154,0.212,0.248,0.22
"P24","Muy mala",0.733,0.621,0.309,0.48
"P24","No sabe",0.013,0.016,0.03,0.064
"P25","Frente de Todos y el peronismo",0.07,0.059,0.429,0.111
"P25","Cambiemos",0.589,0.238,0.056,0.105
"P25","Liberales",0.156,0.368,0.211,0.17
"P25","Izquierda",0.032,0.044,0.083,0.092
"P25","No sabe",0.153,0.291,0.221,0.522
"P28","A Daniel Scioli",0.352,0.131,0.128,0.101
"P28","A Sergio Massa",0.181,0.429,0.251,0.434
"P28","A algún candidato del peronismo",0.098,0.196,0.139,0.28
"P28","A algún candidato del kirchnerismo",0.369,0.244,0.482,0.185
"P30","A Daniel Scioli",0.187,0.177,0.109,0.181
"P30","A Sergio Massa",0.219,0.356,0.164,0.157
"P30","A algún candidato del peronismo",0.102,0.183,0.131,0.168
"P30","A Cristina Fernández de Kirchner",0.492,0.284,0.596,0.494
"P31","A Horacio Rodriguez Larreta",0.185,0.384,0.576,0.408
"P31","A Patricia Bullrich",0.764,0.378,0.076,0.388
"P31","A Facundo Manes",0.027,0.148,0.23,0.087
"P31","A Gerardo Morales",0.024,0.09,0.118,0.117
"P40","Lo votaría",0.211,0.041,0.161,0.035
"P40","Puede que lo vote",0.048,0.264,0.231,0.142
"P40","Nunca lo votaría",0.707,0.639,0.531,0.347
"P40","No sabe",0.034,0.056,0.077,0.476
"P41","Lo votaría",0.25,0.359,0.19,0.223
"P41","Puede que lo vote",0.261,0.221,0.057,0.136
"P41","Nunca lo votaría",0.425,0.352,0.708,0.285
"P41","No sabe",0.064,0.068,0.045,0.356
"P42","Lo votaría",0.19,0.17,0.061,0.084
"P42","Puede que lo vote",0.33,0.31,0.107,0.138
"P42","Nunca lo votaría",0.411,0.438,0.759,0.356
"P42","No sabe",0.069,0.082,0.073,0.422
"P46","Muy buena",0.06,0.039,0.072,0.054
"P46","Buena",0.04,0.078,0.125,0.069
"P46","Ni buena ni mala",0.082,0.104,0.307,0.219
"P46","Mala",0.14,0.179,0.219,0.192
"P46","Muy mala",0.673,0.591,0.263,0.373
"P46","No sabe",0.005,0.009,0.014,0.093
"P47","Muy buena",0.091,0.077,0.379,0.151
"P47","Buena",0.048,0.068,0.12,0.064
"P47","Ni buena ni mala",0.054,0.092,0.132,0.155
"P47","Mala",0.104,0.113,0.086,0.16
"P47","Muy mala",0.699,0.636,0.268,0.408
"P47","No sabe",0.004,0.014,0.015,0.062
"P48","Muy buena",0.349,0.127,0.036,0.079
"P48","Buena",0.256,0.198,0.043,0.107
"P48","Ni buena ni mala",0.213,0.356,0.167,0.297
"P48","Mala",0.085,0.164,0.257,0.254
"P48","Muy mala",0.097,0.151,0.491,0.16
"P48","No sabe",0,0.004,0.006,0.103
"P49","Muy buena",0.105,0.071,0.05,0.071
"P49","Buena",0.279,0.214,0.071,0.094
"P49","Ni buena ni mala",0.316,0.315,0.255,0.367
"P49","Mala",0.145,0.167,0.253,0.176
"P49","Muy mala",0.132,0.189,0.347,0.149
"P49","No sabe",0.023,0.044,0.024,0.143
"P50","Muy buena",0.046,0.034,0.093,0.027
"P50","Buena",0.049,0.096,0.19,0.071
"P50","Ni buena ni mala",0.108,0.198,0.311,0.275
"P50","Mala",0.181,0.18,0.166,0.208
"P50","Muy mala",0.609,0.477,0.213,0.292
"P50","No sabe",0.007,0.015,0.027,0.127
"P51","Muy buena",0.267,0.135,0.04,0.063
"P51","Buena",0.276,0.24,0.06,0.129
"P51","Ni buena ni mala",0.244,0.336,0.176,0.321
"P51","Mala",0.087,0.162,0.288,0.2
"P51","Muy mala",0.106,0.112,0.403,0.146
"P51","No sabe",0.02,0.015,0.033,0.141
"P52","Muy buena",0.052,0.032,0.298,0.042
"P52","Buena",0.04,0.05,0.152,0.088
"P52","Ni buena ni mala",0.073,0.145,0.174,0.252
"P52","Mala",0.121,0.136,0.112,0.135
"P52","Muy mala",0.697,0.594,0.242,0.337
"P52","No sabe",0.017,0.043,0.022,0.146
"P54","Muy buena",0.033,0.023,0.09,0.045
"P54","Buena",0.041,0.058,0.175,0.071
"P54","Ni buena ni mala",0.169,0.238,0.356,0.302
"P54","Mala",0.185,0.176,0.149,0.136
"P54","Muy mala",0.551,0.468,0.203,0.284
"P54","No sabe",0.021,0.037,0.027,0.162
"P57","Muy buena",0.147,0.273,0.15,0.212
"P57","Buena",0.197,0.177,0.064,0.086
"P57","Ni buena ni mala",0.34,0.276,0.124,0.272
"P57","Mala",0.14,0.123,0.172,0.141
"P57","Muy mala",0.143,0.133,0.458,0.14
"P57","No sabe",0.033,0.018,0.032,0.149
"P58","Muy buena",0.583,0.16,0.044,0.079
"P58","Buena",0.23,0.375,0.031,0.127
"P58","Ni buena ni mala",0.088,0.313,0.142,0.41
"P58","Mala",0.034,0.076,0.225,0.097
"P58","Muy mala",0.06,0.057,0.534,0.117
"P58","No sabe",0.005,0.019,0.024,0.17
"P59","Muy buena",0.156,0.12,0.058,0.06
"P59","Buena",0.209,0.165,0.099,0.1
"P59","Ni buena ni mala",0.375,0.391,0.336,0.331
"P59","Mala",0.108,0.106,0.157,0.093
"P59","Muy mala",0.09,0.088,0.211,0.133
"P59","No sabe",0.062,0.13,0.139,0.283
"P60","Muy buena",0.044,0.044,0.248,0.05
"P60","Buena",0.047,0.064,0.138,0.068
"P60","Ni buena ni mala",0.197,0.276,0.241,0.259
"P60","Mala",0.215,0.175,0.082,0.127
"P60","Muy mala",0.423,0.305,0.167,0.217
"P60","No sabe",0.074,0.136,0.124,0.279
"P61","Muy buena",0.037,0.045,0.2,0.041
"P61","Buena",0.03,0.03,0.168,0.07
"P61","Ni buena ni mala",0.058,0.09,0.205,0.158
"P61","Mala",0.122,0.123,0.111,0.124
"P61","Muy mala",0.732,0.665,0.274,0.422
"P61","No sabe",0.021,0.047,0.042,0.185
"P62","Muy buena",0.017,0.009,0.066,0.017
"P62","Buena",0.036,0.019,0.136,0.036
"P62","Ni buena ni mala",0.137,0.227,0.334,0.283
