"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Inflación",0.321,0.328,0.314,0.302,0.334,0.333,0.3,0.271,0.323,0.379,0.363,0.316,0.305,0.311,0.322,0.286,0.333
"Desempleo",0.085,0.079,0.09,0.116,0.078,0.07,0.071,0.105,0.094,0.047,0.116,0.051,0.098,0.08,0.12,0.077,0.074
"Corrupción",0.272,0.305,0.241,0.248,0.266,0.271,0.325,0.266,0.267,0.286,0.168,0.388,0.263,0.277,0.277,0.328,0.257
"Inseguridad",0.111,0.1,0.122,0.071,0.111,0.13,0.155,0.132,0.109,0.088,0.101,0.122,0.148,0.115,0.07,0.073,0.133
"Precio del dólar",0.035,0.032,0.037,0.061,0.031,0.026,0.015,0.034,0.04,0.027,0.041,0.02,0.052,0.028,0.058,0.046,0.028
"Pobreza",0.073,0.052,0.093,0.094,0.078,0.056,0.048,0.081,0.07,0.068,0.103,0.034,0.051,0.074,0.082,0.079,0.066
"Narcotráfico",0.023,0.02,0.025,0.027,0.016,0.024,0.029,0.032,0.019,0.017,0.018,0.015,0.026,0.028,0.016,0.022,0.022
"Tarifas",0.011,0.01,0.013,0.014,0.011,0.013,0.008,0.011,0.011,0.012,0.011,0.01,0.002,0.011,0.009,0.01,0.014
"Otro",0.047,0.052,0.042,0.046,0.046,0.061,0.032,0.04,0.043,0.062,0.056,0.034,0.043,0.049,0.026,0.05,0.054
"No sabe",0.022,0.022,0.023,0.021,0.029,0.016,0.017,0.028,0.024,0.014,0.023,0.01,0.012,0.027,0.02,0.029,0.019
