"var","categoria","Si","No"
"P08","Inflación",0.348,0.352
"P08","Desempleo",0.095,0.069
"P08","Corrupción",0.232,0.317
"P08","Inseguridad",0.111,0.101
"P08","Precio del dólar",0.033,0.034
"P08","Pobreza",0.078,0.053
"P08","Narcotráfico",0.02,0.014
"P08","Tarifas",0.007,0.007
"P08","Otro",0.061,0.039
"P08","No sabe",0.015,0.014
"P12","Sin deuda",0.296,0.295
"P12","Menos de 10%",0.154,0.166
"P12","Entre 10 y 20%",0.146,0.138
"P12","Entre 20 y 30%",0.09,0.105
"P12","Entre 30 y 40%",0.095,0.076
"P12","Mas del 40%",0.176,0.168
"P12","No sabe",0.043,0.052
"P13","Gran excedente habitual",0.008,0.009
"P13","Gran excedente excepcional",0.013,0.011
"P13","Pequeño excedente habitual",0.087,0.068
"P13","Pequeño excedente excepcional",0.073,0.06
"P13","Alcanza gastos familia",0.105,0.137
"P13","No alcanza gastos familia",0.158,0.137
"P13","Solo NBFamiliares",0.223,0.266
"P13","No alcanza NBFamiliares",0.321,0.295
"P13","No sabe",0.012,0.017
"P14","Muy buena",0.065,0.043
"P14","Buena",0.167,0.147
"P14","Ni buena ni mala",0.376,0.428
"P14","Mala",0.26,0.256
"P14","Muy mala",0.118,0.104
"P14","No sabe",0.014,0.022
"P15","Mejor",0.123,0.099
"P15","Igual",0.241,0.224
"P15","Peor",0.58,0.611
"P15","No sabe",0.056,0.066
"P16","Mejor",0.121,0.079
"P16","Igual",0.26,0.22
"P16","Peor",0.503,0.58
"P16","No sabe",0.116,0.121
"P17","Muy buena",0.073,0.079
"P17","Buena",0.079,0.056
"P17","Ni buena ni mala",0.123,0.136
"P17","Mala",0.264,0.262
"P17","Muy mala",0.453,0.451
"P17","No sabe",0.008,0.016
"P18","Mejor",0.084,0.058
"P18","Igual",0.186,0.157
"P18","Peor",0.684,0.718
"P18","No sabe",0.046,0.067
"P19","Mejor",0.103,0.074
"P19","Igual",0.179,0.187
"P19","Peor",0.607,0.637
"P19","No sabe",0.111,0.102
"P20","Muy buena",0.077,0.086
"P20","Buena",0.093,0.08
"P20","Ni buena ni mala",0.178,0.17
"P20","Mala",0.185,0.183
