"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.037,0.04,0.034,0.04,0.027,0.04,0.05,0.062,0.023,0.028,0.07,0.011,0.026,0.02,0.037,0.008,0.055,6
"Buena",0.076,0.071,0.081,0.048,0.054,0.116,0.114,0.084,0.068,0.077,0.144,0.024,0.048,0.054,0.045,0.07,0.109,6
"Ni buena ni mala",0.255,0.252,0.257,0.238,0.3,0.245,0.189,0.259,0.247,0.263,0.356,0.152,0.275,0.229,0.322,0.292,0.241,6
"Mala",0.123,0.129,0.118,0.075,0.129,0.12,0.188,0.135,0.118,0.12,0.1,0.158,0.132,0.127,0.122,0.121,0.122,6
"Muy mala",0.34,0.372,0.309,0.311,0.333,0.373,0.353,0.265,0.363,0.392,0.15,0.53,0.379,0.379,0.255,0.297,0.352,6
"No sabe",0.169,0.136,0.201,0.288,0.157,0.106,0.106,0.195,0.181,0.12,0.18,0.125,0.14,0.191,0.219,0.212,0.121,6
"Positiva",0.113,0.111,0.115,0.088,0.081,0.156,0.164,0.146,0.091,0.105,0.214,0.035,0.074,0.074,0.082,0.078,0.164,4
"Neutra",0.255,0.252,0.257,0.238,0.3,0.245,0.189,0.259,0.247,0.263,0.356,0.152,0.275,0.229,0.322,0.292,0.241,4
"Negativa",0.463,0.501,0.427,0.386,0.462,0.493,0.541,0.4,0.481,0.512,0.25,0.688,0.511,0.506,0.377,0.418,0.474,4
"No sabe",0.169,0.136,0.201,0.288,0.157,0.106,0.106,0.195,0.181,0.12,0.18,0.125,0.14,0.191,0.219,0.212,0.121,4
"Positiva",0.22,0.227,0.213,0.186,0.195,0.283,0.241,0.253,0.196,0.217,0.435,0.058,0.136,0.16,0.198,0.243,0.276,2
"Negativa",0.611,0.637,0.586,0.526,0.648,0.611,0.653,0.552,0.623,0.663,0.384,0.817,0.724,0.648,0.582,0.545,0.603,2
"No sabe",0.169,0.136,0.201,0.288,0.157,0.106,0.106,0.195,0.181,0.12,0.181,0.125,0.14,0.192,0.22,0.212,0.121,2
