"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.108,0.105,0.112,0.099,0.104,0.136,0.097,0.136,0.094,0.099,0.22,0.023,0.038,0.071,0.084,0.125,0.149,6
"Buena",0.095,0.094,0.095,0.08,0.093,0.092,0.123,0.116,0.094,0.07,0.19,0.024,0.034,0.082,0.095,0.119,0.101,6
"Ni buena ni mala",0.139,0.123,0.156,0.162,0.154,0.124,0.093,0.156,0.143,0.115,0.226,0.046,0.142,0.128,0.179,0.146,0.13,6
"Mala",0.118,0.11,0.125,0.125,0.114,0.104,0.135,0.131,0.118,0.103,0.107,0.124,0.158,0.106,0.158,0.132,0.108,6
"Muy mala",0.483,0.518,0.449,0.422,0.489,0.517,0.513,0.377,0.496,0.586,0.199,0.754,0.548,0.552,0.407,0.433,0.467,6
"No sabe",0.057,0.05,0.063,0.112,0.046,0.027,0.039,0.084,0.055,0.027,0.058,0.029,0.08,0.061,0.077,0.045,0.045,6
"Positiva",0.203,0.199,0.207,0.179,0.197,0.228,0.22,0.252,0.188,0.169,0.41,0.047,0.072,0.153,0.179,0.244,0.25,4
"Neutra",0.139,0.123,0.156,0.162,0.154,0.124,0.093,0.156,0.143,0.115,0.226,0.046,0.142,0.128,0.179,0.146,0.13,4
"Negativa",0.601,0.628,0.574,0.547,0.603,0.621,0.648,0.508,0.614,0.689,0.306,0.878,0.706,0.658,0.565,0.565,0.575,4
"No sabe",0.057,0.05,0.063,0.112,0.046,0.027,0.039,0.084,0.055,0.027,0.058,0.029,0.08,0.061,0.077,0.045,0.045,4
"Positiva",0.273,0.254,0.291,0.246,0.277,0.304,0.263,0.319,0.258,0.243,0.554,0.059,0.128,0.216,0.25,0.369,0.319,2
"Negativa",0.67,0.696,0.646,0.642,0.677,0.668,0.698,0.597,0.687,0.73,0.388,0.912,0.792,0.723,0.673,0.586,0.636,2
"No sabe",0.057,0.05,0.063,0.112,0.046,0.028,0.039,0.084,0.055,0.027,0.058,0.029,0.08,0.061,0.077,0.045,0.045,2
