"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.07,0.074,0.066,0.099,0.058,0.054,0.076,0.092,0.068,0.047,0.058,0.076,0.126,0.078,0.066,0.031,0.071,6
"Buena",0.063,0.071,0.056,0.043,0.059,0.071,0.093,0.092,0.053,0.042,0.089,0.043,0.064,0.049,0.042,0.064,0.084,6
"Ni buena ni mala",0.138,0.134,0.141,0.131,0.122,0.16,0.157,0.158,0.134,0.119,0.24,0.048,0.103,0.113,0.146,0.176,0.149,6
"Mala",0.282,0.266,0.297,0.283,0.291,0.272,0.274,0.303,0.276,0.266,0.332,0.236,0.272,0.274,0.343,0.314,0.257,6
"Muy mala",0.424,0.437,0.412,0.418,0.441,0.426,0.389,0.318,0.453,0.509,0.254,0.589,0.417,0.47,0.373,0.386,0.414,6
"No sabe",0.023,0.018,0.028,0.026,0.029,0.017,0.011,0.037,0.016,0.017,0.027,0.008,0.018,0.016,0.03,0.029,0.025,6
"Positiva",0.133,0.145,0.122,0.142,0.117,0.125,0.169,0.184,0.121,0.089,0.147,0.119,0.19,0.127,0.108,0.095,0.155,4
"Neutra",0.138,0.134,0.141,0.131,0.122,0.16,0.157,0.158,0.134,0.119,0.24,0.048,0.103,0.113,0.146,0.176,0.149,4
"Negativa",0.706,0.703,0.709,0.701,0.732,0.698,0.663,0.621,0.729,0.775,0.586,0.825,0.689,0.744,0.716,0.7,0.671,4
"No sabe",0.023,0.018,0.028,0.026,0.029,0.017,0.011,0.037,0.016,0.017,0.027,0.008,0.018,0.016,0.03,0.029,0.025,4
