"var","categoria","Mejor","Igual","Peor","No sabe"
"P08","Inflación",0.323,0.346,0.331,0.243
"P08","Desempleo",0.096,0.103,0.078,0.072
"P08","Corrupción",0.199,0.206,0.307,0.265
"P08","Inseguridad",0.119,0.115,0.107,0.149
"P08","Precio del dólar",0.052,0.037,0.032,0.041
"P08","Pobreza",0.078,0.074,0.068,0.106
"P08","Narcotráfico",0.028,0.017,0.021,0.039
"P08","Tarifas",0.02,0.011,0.01,0.017
"P08","Otro",0.067,0.066,0.032,0.023
"P08","No sabe",0.018,0.025,0.014,0.045
"P12","Sin deuda",0.409,0.397,0.248,0.215
"P12","Menos de 10%",0.168,0.21,0.125,0.134
"P12","Entre 10 y 20%",0.113,0.138,0.16,0.078
"P12","Entre 20 y 30%",0.096,0.082,0.092,0.197
"P12","Entre 30 y 40%",0.067,0.067,0.1,0.085
"P12","Mas del 40%",0.11,0.081,0.215,0.154
"P12","No sabe",0.037,0.025,0.06,0.137
"P13","Gran excedente habitual",0.035,0.01,0.006,0
"P13","Gran excedente excepcional",0.012,0.01,0.008,0.044
"P13","Pequeño excedente habitual",0.112,0.078,0.046,0.064
"P13","Pequeño excedente excepcional",0.099,0.086,0.036,0.059
"P13","Alcanza gastos familia",0.135,0.194,0.089,0.121
"P13","No alcanza gastos familia",0.13,0.113,0.173,0.176
"P13","Solo NBFamiliares",0.206,0.289,0.238,0.142
"P13","No alcanza NBFamiliares",0.251,0.206,0.388,0.303
"P13","No sabe",0.02,0.014,0.016,0.091
"P14","Muy buena",0.091,0.048,0.049,0.011
"P14","Buena",0.172,0.301,0.084,0.039
"P14","Ni buena ni mala",0.607,0.468,0.373,0.226
"P14","Mala",0.054,0.131,0.318,0.557
"P14","Muy mala",0.053,0.042,0.156,0.066
"P14","No sabe",0.023,0.01,0.02,0.101
"P16","Mejor",0.295,0.144,0.041,0.127
"P16","Igual",0.276,0.474,0.136,0.17
"P16","Peor",0.249,0.196,0.696,0.394
"P16","No sabe",0.18,0.186,0.127,0.309
"P17","Muy buena",0.145,0.036,0.059,0.21
"P17","Buena",0.165,0.117,0.024,0.096
"P17","Ni buena ni mala",0.209,0.305,0.066,0.129
"P17","Mala",0.269,0.314,0.273,0.282
"P17","Muy mala",0.19,0.194,0.562,0.216
"P17","No sabe",0.022,0.034,0.016,0.067
"P18","Mejor",0.199,0.096,0.036,0.068
"P18","Igual",0.22,0.408,0.065,0.145
"P18","Peor",0.501,0.417,0.844,0.664
"P18","No sabe",0.08,0.079,0.055,0.123
"P19","Mejor",0.233,0.144,0.035,0.069
"P19","Igual",0.223,0.358,0.12,0.201
"P19","Peor",0.425,0.348,0.736,0.557
"P19","No sabe",0.119,0.15,0.109,0.173
"P20","Muy buena",0.102,0.062,0.08,0.156
"P20","Buena",0.152,0.179,0.034,0.135
"P20","Ni buena ni mala",0.255,0.329,0.124,0.178
"P20","Mala",0.224,0.218,0.189,0.155
"P20","Muy mala",0.218,0.196,0.552,0.297
"P20","No sabe",0.049,0.016,0.021,0.079
"P22","Muy buena",0.074,0.053,0.029,0.045
"P22","Buena",0.144,0.152,0.022,0.061
"P22","Ni buena ni mala",0.236,0.325,0.113,0.202
"P22","Mala",0.23,0.233,0.229,0.216
"P22","Muy mala",0.245,0.194,0.582,0.384
"P22","No sabe",0.071,0.043,0.025,0.092
"P23","Muy buena",0.119,0.085,0.028,0.051
"P23","Buena",0.163,0.247,0.051,0.075
"P23","Ni buena ni mala",0.239,0.29,0.14,0.27
"P23","Mala",0.185,0.175,0.24,0.2
