"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco"
"P05","Tiene Decidido que va a ir a votar.",0.917,0.863,0.819,0.935,0.677,0.891
"P05","Tiene dudas sobre si va a ir a  votar",0.062,0.112,0.149,0.065,0.271,0.045
"P05","Tiene Decidido que no va a ir a votar",0.021,0.025,0.032,0,0.052,0.064
"P06","Mucho",0.559,0.484,0.459,0.45,0.531,0.382
"P06","Bastante",0.275,0.351,0.31,0.346,0.289,0.328
"P06","Poco",0.086,0.118,0.155,0.105,0.154,0.193
"P06","Nada",0.071,0.047,0.047,0.019,0.026,0.052
"P06","No sabe",0.009,0,0.029,0.08,0,0.045
"P07","Siempre",0.26,0.213,0.273,0.368,0.176,0.112
"P07","Casi siempre",0.325,0.405,0.299,0.252,0.332,0.326
"P07","Casi nunca",0.269,0.249,0.319,0.193,0.296,0.431
"P07","Nunca, pero esta es una excepción",0.146,0.133,0.109,0.187,0.196,0.131
"P14","Totalmente seguro.",0.834,0.711,0.687,0.704,0.58,0.729
"P14","Bastante seguro",0.058,0.127,0.114,0.171,0.069,0.115
"P14","Algo seguro",0.04,0.117,0.144,0.061,0.16,0.018
"P14","Para nada seguro",0.068,0.045,0.055,0.064,0.191,0.138
"P18","Si",0.343,0.432,0.344,0.925,0.417,0.724
"P18","No",0.657,0.568,0.656,0.075,0.583,0.276
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.203,0.607,0.573,0.358,0.257,0.615
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.133,0.305,0.173,0.173,0.131,0.195
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.447,0.045,0.102,0.288,0.303,0.13
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.076,0.004,0.038,0.145,0.042,0.016
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.064,0.011,0.002,0.006,0.203,0.044
"P22","No sabe",0.077,0.028,0.112,0.03,0.064,0
"P23","No estaba enterado del tema",0.154,0.242,0.18,0.226,0.117,0.049
"P23","Un tema de la vida privada de él",0.26,0.087,0.16,0.188,0.198,0.125
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.496,0.145,0.218,0.395,0.291,0.151
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.015,0.199,0.086,0.056,0.134,0.158
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.031,0.312,0.326,0.132,0.233,0.378
"P23","No sabe",0.044,0.015,0.03,0.003,0.027,0.139
"P24","Ha aumentado significativamente",0.201,0.118,0.106,0.22,0.025,0.058
"P24","Ha aumentado ligeramente",0.235,0.175,0.17,0.211,0.301,0.264
"P24","Se mantiene igual",0.345,0.241,0.337,0.248,0.261,0.096
"P24","Ha disminuido ligeramente",0.142,0.197,0.144,0.13,0.166,0.193
"P24","Ha disminuido significativamente",0.077,0.269,0.243,0.191,0.247,0.389
"P25","No, ninguna dificultad",0.536,0.346,0.26,0.56,0.252,0.297
"P25","Alguna dificultad ocasional",0.317,0.329,0.387,0.206,0.295,0.202
"P25","Sí, dificultades frecuentes",0.147,0.325,0.353,0.234,0.453,0.501
"P26","Sí, absolutamente",0.752,0.396,0.365,0.489,0.66,0.407
"P26","Sí, en cierta medida",0.214,0.353,0.308,0.255,0.323,0.145
"P26","No, en absoluto",0.034,0.251,0.327,0.256,0.017,0.448
"P27","Reducir la inflación",0.43,0.397,0.533,0.495,0.5,0.416
"P27","Implementar reformas fiscales",0.131,0.097,0.108,0.062,0.145,0.107
"P27","Establecer políticas de control de precios",0.295,0.078,0.025,0.181,0.142,0.045
"P27","Reducir el gasto público",0.071,0.383,0.278,0.231,0.139,0.425
"P27","Estimular la inversión extranjera",0.04,0.045,0.056,0.031,0.074,0
"P27","Aumentar los subsidios a los servicios públicos",0.033,0,0,0,0,0.007
"P28","Muy positiva",0.451,0.197,0.171,0.199,0.198,0.23
"P28","Positiva",0.236,0.175,0.222,0.241,0.311,0.105
"P28","Neutral",0.141,0.331,0.275,0.455,0.253,0.294
"P28","Algo negativa",0.03,0.108,0.074,0.028,0.084,0.093
"P28","Negativa",0.048,0.112,0.169,0.014,0.072,0.199
"P28","No sabe",0.094,0.077,0.089,0.063,0.082,0.079
"P29","Muy positiva",0.732,0.214,0.214,0.358,0.266,0.284
"P29","Positiva",0.127,0.19,0.266,0.36,0.261,0.118
"P29","Neutral",0.023,0.257,0.277,0.182,0.357,0.192
"P29","Algo negativa",0.023,0.125,0.095,0.051,0.021,0.025
"P29","Negativa",0.066,0.162,0.13,0.027,0.084,0.329
"P29","No sabe",0.029,0.052,0.018,0.022,0.011,0.052
"P30","Muy positiva",0.498,0.181,0.19,0.214,0.227,0.167
"P30","Positiva",0.304,0.208,0.135,0.292,0.223,0.16
"P30","Neutral",0.078,0.243,0.327,0.257,0.353,0.166
"P30","Algo negativa",0.035,0.072,0.118,0.102,0.124,0.142
"P30","Negativa",0.054,0.21,0.145,0.085,0.036,0.299
"P30","No sabe",0.031,0.086,0.085,0.05,0.037,0.066
"P31","Muy positiva",0.732,0.26,0.397,0.673,0.437,0.369
"P31","Positiva",0.103,0.26,0.23,0.076,0.156,0.112
"P31","Neutral",0.074,0.175,0.215,0.097,0.136,0.075
"P31","Algo negativa",0.017,0.096,0.091,0.056,0.256,0.229
"P31","Negativa",0.048,0.19,0.058,0.073,0.003,0.182
"P31","No sabe",0.026,0.019,0.009,0.025,0.012,0.033
"P32","Muy positiva",0.682,0.285,0.314,0.618,0.355,0.441
"P32","Positiva",0.171,0.279,0.217,0.121,0.248,0.118
"P32","Neutral",0.024,0.25,0.196,0.135,0.18,0.135
"P32","Algo negativa",0.009,0.049,0.15,0.023,0.1,0.119
"P32","Negativa",0.048,0.106,0.102,0.017,0.024,0.155
"P32","No sabe",0.066,0.031,0.021,0.086,0.093,0.032
"P33","Muy buena",0.192,0.121,0.229,0.231,0.186,0.045
"P33","Buena",0.284,0.157,0.184,0.398,0.203,0.253
"P33","Ni buena ni mala",0.419,0.477,0.313,0.277,0.378,0.329
"P33","Mala",0.076,0.139,0.139,0.011,0.16,0.087
"P33","Muy mala",0.023,0.073,0.119,0.02,0.073,0.271
"P33","No sabe",0.006,0.033,0.016,0.063,0,0.015
"P34","Muy buena",0.253,0.057,0.07,0.079,0.101,0.079
"P34","Buena",0.365,0.17,0.183,0.292,0.107,0.144
"P34","Ni buena ni mala",0.225,0.267,0.387,0.441,0.255,0.36
"P34","Mala",0.106,0.238,0.177,0.102,0.274,0.142
"P34","Muy mala",0.043,0.233,0.173,0.086,0.236,0.275
"P34","No sabe",0.008,0.035,0.01,0,0.027,0
"P35","Muy buena",0.105,0.053,0.06,0.097,0.094,0
"P35","Buena",0.118,0.118,0.122,0.329,0.013,0.064
"P35","Ni buena ni mala",0.359,0.272,0.309,0.327,0.124,0.113
"P35","Mala",0.213,0.32,0.223,0.141,0.526,0.246
"P35","Muy mala",0.195,0.214,0.281,0.106,0.221,0.577
"P35","No sabe",0.01,0.023,0.005,0,0.022,0
"P36","Muy buena",0.144,0.059,0.111,0.164,0.081,0.033
"P36","Buena",0.167,0.21,0.083,0.401,0.062,0.247
"P36","Ni buena ni mala",0.371,0.342,0.417,0.215,0.222,0.244
"P36","Mala",0.174,0.239,0.163,0.091,0.275,0.151
"P36","Muy mala",0.109,0.12,0.206,0.117,0.316,0.317
"P36","No sabe",0.035,0.03,0.02,0.012,0.044,0.008
"P37","Muy buena",0.052,0.007,0.065,0.082,0.068,0.018
"P37","Buena",0.086,0.09,0.058,0.098,0.019,0.036
