"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.928,0.857,0.843,0.661,0.93,0.418,0.394
"P05","Tiene dudas sobre si va a ir a  votar",0.06,0.095,0.136,0.275,0,0.427,0.434
"P05","Tiene Decidido que no va a ir a votar",0.012,0.048,0.021,0.064,0.07,0.155,0.172
"P06","Mucho",0.611,0.399,0.453,0.514,0.37,0.212,0.276
"P06","Bastante",0.259,0.369,0.331,0.336,0.376,0.073,0.153
"P06","Poco",0.077,0.18,0.151,0.07,0.245,0.372,0.208
"P06","Nada",0.043,0.023,0.047,0.036,0.009,0.291,0.363
"P06","No sabe",0.01,0.029,0.018,0.044,0,0.052,0
"P07","Siempre",0.266,0.2,0.266,0.261,0.454,0.209,0.336
"P07","Casi siempre",0.355,0.368,0.275,0.256,0.225,0.073,0.152
"P07","Casi nunca",0.248,0.279,0.312,0.339,0.227,0.615,0.284
"P07","Nunca, pero esta es una excepción",0.131,0.153,0.147,0.144,0.094,0.103,0.228
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.988,0,0,0,0,0,0
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,0.95,0,0,0,0,0
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0,0,0.993,0,0,0,0
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.012,0.05,0.007,0.004,0.007,0.089,0.025
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0.996,0,0,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,0.993,0,0
"P11","En blanco",0,0,0,0,0,0.911,0
"P11","No sabe",0,0,0,0,0,0,0.975
"P14","Totalmente seguro.",0.836,0.706,0.696,0.472,0.669,0.534,0.377
"P14","Bastante seguro",0.064,0.129,0.122,0.122,0.137,0.025,0.099
"P14","Algo seguro",0.047,0.106,0.115,0.216,0.041,0.01,0.161
"P14","Para nada seguro",0.053,0.059,0.067,0.19,0.153,0.431,0.363
"P18","Si",0.515,0.437,0.424,0.359,0.467,0.752,0.631
"P18","No",0.485,0.563,0.576,0.641,0.533,0.248,0.369
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.338,0.028,0.11,0.069,0.144,0.112,0.289
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.072,0.42,0.104,0.045,0.148,0,0.1
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.146,0.115,0.245,0.082,0.378,0.26,0.013
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.271,0.116,0.249,0.308,0.06,0.448,0.056
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.104,0.084,0.072,0.277,0.126,0,0
"P19","En blanco",0.023,0.135,0.099,0.045,0.144,0.136,0
"P19","No sabe",0.046,0.102,0.121,0.174,0,0.044,0.542
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.142,0.579,0.694,0.296,0.255,0.159,0.353
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.135,0.337,0.152,0.119,0.426,0.19,0.08
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.5,0.043,0.05,0.331,0.276,0.017,0.075
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.102,0.003,0.034,0.03,0,0.301,0.033
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.067,0.021,0.007,0.149,0.043,0.041,0.027
"P22","No sabe",0.054,0.017,0.063,0.075,0,0.292,0.432
"P23","No estaba enterado del tema",0.16,0.226,0.166,0.063,0.075,0.296,0.491
"P23","Un tema de la vida privada de él",0.278,0.078,0.125,0.203,0.315,0.341,0.057
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.491,0.2,0.205,0.326,0.109,0.017,0.21
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.021,0.171,0.098,0.104,0.3,0.085,0.138
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.015,0.309,0.373,0.267,0.138,0.16,0.069
"P23","No sabe",0.035,0.016,0.033,0.037,0.063,0.101,0.035
"P24","Ha aumentado significativamente",0.233,0.06,0.119,0.015,0.063,0.086,0.201
"P24","Ha aumentado ligeramente",0.264,0.214,0.153,0.212,0.23,0.116,0.245
"P24","Se mantiene igual",0.338,0.238,0.274,0.33,0.163,0.309,0.244
"P24","Ha disminuido ligeramente",0.113,0.207,0.161,0.215,0.338,0.04,0.046
"P24","Ha disminuido significativamente",0.052,0.281,0.293,0.228,0.206,0.449,0.264
"P25","No, ninguna dificultad",0.573,0.333,0.277,0.198,0.222,0.185,0.531
"P25","Alguna dificultad ocasional",0.301,0.384,0.311,0.292,0.225,0.603,0.076
"P25","Sí, dificultades frecuentes",0.126,0.283,0.412,0.51,0.553,0.212,0.393
"P26","Sí, absolutamente",0.723,0.338,0.386,0.523,0.463,0.833,0.75
"P26","Sí, en cierta medida",0.211,0.397,0.282,0.419,0.081,0.041,0.158
"P26","No, en absoluto",0.066,0.265,0.332,0.058,0.456,0.126,0.092
"P27","Reducir la inflación",0.48,0.37,0.485,0.464,0.66,0.254,0.63
"P27","Implementar reformas fiscales",0.118,0.138,0.089,0.172,0.139,0,0
"P27","Establecer políticas de control de precios",0.285,0.076,0.032,0.094,0,0.56,0.096
"P27","Reducir el gasto público",0.052,0.367,0.345,0.17,0.201,0.186,0.253
"P27","Estimular la inversión extranjera",0.039,0.049,0.047,0.1,0,0,0.021
"P27","Aumentar los subsidios a los servicios públicos",0.026,0,0.002,0,0,0,0
"P28","Muy positiva",0.41,0.135,0.164,0.155,0.507,0.124,0.491
"P28","Positiva",0.244,0.183,0.193,0.342,0.315,0.539,0.108
"P28","Neutral",0.193,0.367,0.324,0.265,0.034,0.172,0.17
"P28","Algo negativa",0.034,0.099,0.082,0.058,0.042,0,0.071
"P28","Negativa",0.044,0.136,0.142,0.101,0.064,0.124,0.02
"P28","No sabe",0.075,0.08,0.095,0.079,0.038,0.041,0.14
"P29","Muy positiva",0.685,0.146,0.217,0.113,0.588,0.119,0.62
"P29","Positiva",0.188,0.214,0.235,0.278,0.052,0.716,0.15
"P29","Neutral",0.053,0.271,0.287,0.417,0.179,0,0.099
"P29","Algo negativa",0.009,0.138,0.093,0.031,0.043,0,0.054
"P29","Negativa",0.042,0.181,0.152,0.12,0.138,0.042,0.044
"P29","No sabe",0.023,0.05,0.016,0.041,0,0.123,0.033
"P30","Muy positiva",0.485,0.104,0.163,0.159,0.367,0.025,0.416
"P30","Positiva",0.287,0.203,0.167,0.225,0.082,0.691,0.147
"P30","Neutral",0.121,0.297,0.301,0.399,0.192,0,0.084
"P30","Algo negativa",0.024,0.102,0.126,0.153,0.162,0.061,0.134
"P30","Negativa",0.052,0.223,0.172,0.006,0.158,0.104,0.044
"P30","No sabe",0.031,0.071,0.071,0.058,0.039,0.119,0.175
"P31","Muy positiva",0.743,0.212,0.422,0.414,0.579,0.184,0.579
"P31","Positiva",0.105,0.246,0.22,0.076,0.122,0.18,0.108
