"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Tiene Decidido que va a ir a votar.",0.823,0.839,0.824,0.762
"P05","Tiene dudas sobre si va a ir a  votar",0.11,0.146,0.117,0.13
"P05","Tiene Decidido que no va a ir a votar",0.067,0.015,0.059,0.108
"P06","Mucho",0.711,0.422,0.325,0.328
"P06","Bastante",0.134,0.473,0.314,0.231
"P06","Poco",0.062,0.074,0.295,0.204
"P06","Nada",0.052,0.031,0.062,0.191
"P06","No sabe",0.041,0,0.004,0.046
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.352,0.399,0.288,0.315
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.146,0.223,0.172,0.163
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.291,0.26,0.314,0.295
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.014,0.012,0.021,0.047
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.085,0.069,0.099,0.084
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.038,0.015,0.017,0.014
"P11","En blanco",0.014,0.001,0.043,0.015
"P11","No sabe",0.06,0.021,0.046,0.067
"P14","Totalmente seguro.",0.789,0.706,0.681,0.67
"P14","Bastante seguro",0.047,0.176,0.081,0.068
"P14","Algo seguro",0.117,0.057,0.129,0.064
"P14","Para nada seguro",0.047,0.061,0.109,0.198
"P18","Si",0.484,0.493,0.461,0.39
"P18","No",0.516,0.507,0.539,0.61
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.252,0.205,0.113,0.161
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.173,0.161,0.094,0.142
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.128,0.183,0.229,0.065
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.364,0.184,0.134,0.294
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.031,0.117,0.104,0.154
"P19","En blanco",0.019,0.078,0.133,0.025
"P19","No sabe",0.033,0.072,0.193,0.159
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.446,0.34,0.453,0.472
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.106,0.244,0.168,0.21
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.258,0.28,0.192,0.162
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.034,0.059,0.087,0.022
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.049,0.035,0.034,0.078
"P22","No sabe",0.107,0.042,0.066,0.056
"P23","No estaba enterado del tema",0.265,0.126,0.168,0.145
"P23","Un tema de la vida privada de él",0.133,0.235,0.147,0.209
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.269,0.299,0.336,0.349
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.051,0.149,0.077,0.066
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.221,0.165,0.245,0.226
"P23","No sabe",0.061,0.026,0.027,0.005
"P24","Ha aumentado significativamente",0.183,0.142,0.09,0.142
"P24","Ha aumentado ligeramente",0.174,0.292,0.178,0.165
"P24","Se mantiene igual",0.285,0.259,0.366,0.225
"P24","Ha disminuido ligeramente",0.137,0.154,0.172,0.165
"P24","Ha disminuido significativamente",0.221,0.153,0.194,0.303
"P25","No, ninguna dificultad",0.442,0.375,0.259,0.604
"P25","Alguna dificultad ocasional",0.277,0.348,0.405,0.138
"P25","Sí, dificultades frecuentes",0.281,0.277,0.336,0.258
"P26","Sí, absolutamente",0.532,0.505,0.607,0.418
"P26","Sí, en cierta medida",0.232,0.325,0.206,0.391
"P26","No, en absoluto",0.236,0.17,0.187,0.191
"P27","Reducir la inflación",0.535,0.425,0.497,0.36
"P27","Implementar reformas fiscales",0.102,0.152,0.091,0.07
"P27","Establecer políticas de control de precios",0.098,0.169,0.169,0.119
"P27","Reducir el gasto público",0.185,0.222,0.189,0.382
"P27","Estimular la inversión extranjera",0.063,0.021,0.049,0.067
"P27","Aumentar los subsidios a los servicios públicos",0.017,0.011,0.005,0.002
"P28","Muy positiva",0.334,0.286,0.198,0.216
"P28","Positiva",0.235,0.256,0.235,0.1
"P28","Neutral",0.195,0.268,0.345,0.239
"P28","Algo negativa",0.054,0.058,0.08,0.067
"P28","Negativa",0.115,0.045,0.069,0.249
"P28","No sabe",0.067,0.087,0.073,0.129
"P29","Muy positiva",0.43,0.391,0.386,0.286
"P29","Positiva",0.165,0.247,0.212,0.25
"P29","Neutral",0.175,0.21,0.235,0.12
"P29","Algo negativa",0.034,0.046,0.097,0.089
