"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco"
"P05","Tiene Decidido que va a ir a votar.",0.901,0.904,0.886,0.914,0.948,0.955
"P05","Tiene dudas sobre si va a ir a  votar",0.054,0.079,0.082,0.086,0.052,0.015
"P05","Tiene Decidido que no va a ir a votar",0.045,0.017,0.032,0,0,0.03
"P06","Mucho",0.585,0.572,0.552,0.489,0.636,0.463
"P06","Bastante",0.328,0.301,0.253,0.336,0.134,0.358
"P06","Poco",0.029,0.062,0.156,0.126,0.22,0.105
"P06","Nada",0.058,0.065,0.012,0.01,0.01,0.059
"P06","No sabe",0,0,0.027,0.039,0,0.015
"P07","Siempre",0.306,0.267,0.169,0.407,0.075,0.067
"P07","Casi siempre",0.389,0.414,0.347,0.284,0.453,0.385
"P07","Casi nunca",0.211,0.198,0.369,0.163,0.282,0.495
"P07","Nunca, pero esta es una excepción",0.094,0.121,0.115,0.146,0.19,0.053
"P14","Totalmente seguro.",0.846,0.767,0.736,0.726,0.71,0.92
"P14","Bastante seguro",0.076,0.073,0.044,0.183,0.115,0.046
"P14","Algo seguro",0.008,0.076,0.182,0.058,0.085,0
"P14","Para nada seguro",0.07,0.084,0.038,0.033,0.09,0.034
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.38,0.63,0.493,0.381,0.243,0.632
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.068,0.219,0.158,0.129,0.137,0.115
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.352,0.087,0.192,0.293,0.293,0.17
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.027,0.009,0,0.157,0.055,0.021
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.085,0.007,0,0.002,0.272,0.062
"P22","No sabe",0.088,0.048,0.157,0.038,0,0
"P23","No estaba enterado del tema",0.263,0.324,0.215,0.173,0.067,0.025
"P23","Un tema de la vida privada de él",0.158,0.031,0.106,0.18,0.216,0
