"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.889,0.908,0.885,0.924,0.955,0.953,0.894
"P05","Tiene dudas sobre si va a ir a  votar",0.06,0.073,0.077,0.076,0.045,0.015,0.106
"P05","Tiene Decidido que no va a ir a votar",0.051,0.019,0.038,0,0,0.032,0
"P06","Mucho",0.608,0.593,0.532,0.492,0.636,0.484,0.499
"P06","Bastante",0.295,0.293,0.273,0.326,0.145,0.328,0.354
"P06","Poco",0.032,0.065,0.165,0.129,0.219,0.11,0.075
"P06","Nada",0.065,0.049,0.014,0.011,0,0.062,0.046
"P06","No sabe",0,0,0.016,0.042,0,0.016,0.026
"P07","Siempre",0.343,0.305,0.196,0.403,0.081,0.07,0.082
"P07","Casi siempre",0.398,0.408,0.401,0.292,0.446,0.403,0.254
"P07","Casi nunca",0.154,0.166,0.355,0.149,0.278,0.484,0.477
"P07","Nunca, pero esta es una excepción",0.105,0.121,0.048,0.156,0.195,0.043,0.187
"P14","Totalmente seguro.",0.866,0.835,0.785,0.746,0.729,0.952,0.48
"P14","Bastante seguro",0.061,0.054,0.053,0.179,0.125,0.048,0.121
"P14","Algo seguro",0.005,0.039,0.139,0.062,0.093,0,0.2
"P14","Para nada seguro",0.068,0.072,0.023,0.013,0.053,0,0.199
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.387,0.663,0.512,0.358,0.218,0.614,0.46
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.056,0.236,0.162,0.139,0.138,0.121,0.105
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.381,0.053,0.22,0.314,0.292,0.178,0.136
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.031,0.01,0,0.164,0.059,0.022,0.009
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.046,0,0,0.002,0.293,0.065,0.098
"P22","No sabe",0.099,0.038,0.106,0.023,0,0,0.192
"P23","No estaba enterado del tema",0.298,0.297,0.261,0.163,0.071,0.026,0.149
"P23","Un tema de la vida privada de él",0.179,0.035,0.129,0.193,0.229,0,0
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.391,0.11,0.192,0.454,0.39,0.232,0.403
