"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.927,0.849,0.842,1,0.66,0.93,0.361,0.379
"P05","Tiene dudas sobre si va a ir a  votar",0.061,0.1,0.137,0,0.276,0,0.469,0.445
"P05","Tiene Decidido que no va a ir a votar",0.012,0.051,0.021,0,0.064,0.07,0.17,0.176
"P06","Mucho",0.612,0.414,0.456,0.229,0.512,0.373,0.204,0.283
"P06","Bastante",0.256,0.372,0.326,0.438,0.337,0.372,0.011,0.149
"P06","Poco",0.078,0.19,0.153,0.026,0.071,0.246,0.408,0.213
"P06","Nada",0.044,0.024,0.047,0.039,0.036,0.009,0.32,0.355
"P06","No sabe",0.01,0,0.018,0.268,0.044,0,0.057,0
"P07","Siempre",0.266,0.211,0.261,0.178,0.262,0.458,0.201,0.345
"P07","Casi siempre",0.358,0.382,0.277,0.181,0.253,0.219,0.011,0.147
"P07","Casi nunca",0.243,0.276,0.314,0.306,0.341,0.229,0.675,0.292
"P07","Nunca, pero esta es una excepción",0.133,0.131,0.148,0.335,0.144,0.094,0.113,0.216
"P14","Totalmente seguro.",0.837,0.71,0.7,0.643,0.469,0.666,0.515,0.355
"P14","Bastante seguro",0.065,0.134,0.123,0.055,0.122,0.138,0,0.102
"P14","Algo seguro",0.045,0.113,0.116,0.035,0.217,0.042,0.011,0.167
"P14","Para nada seguro",0.053,0.043,0.061,0.267,0.192,0.154,0.474,0.376
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.143,0.594,0.691,0.253,0.296,0.258,0.187,0.354
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.135,0.318,0.153,0.594,0.119,0.42,0.071,0.055
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.498,0.044,0.05,0.119,0.331,0.279,0,0.078
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.103,0.003,0.035,0,0.03,0,0.353,0.035
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.066,0.023,0.007,0.034,0.149,0.043,0.047,0.028
"P22","No sabe",0.055,0.018,0.064,0,0.075,0,0.342,0.45
"P23","No estaba enterado del tema",0.161,0.202,0.167,0.465,0.063,0.076,0.242,0.513
"P23","Un tema de la vida privada de él",0.278,0.078,0.126,0.196,0.203,0.308,0.352,0.029
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.491,0.208,0.207,0.101,0.326,0.111,0,0.22
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.021,0.178,0.099,0.029,0.104,0.303,0.099,0.129
