"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.789,0.799,0.848,0.587,0.492,0.567,0.269
"P26","Bastante seguro",0.114,0.083,0.057,0.07,0.069,0.036,0.066
"P26","Algo seguro",0.06,0.068,0.063,0.149,0.093,0.099,0.05
"P26","Para nada seguro",0.037,0.05,0.032,0.194,0.346,0.298,0.615
"P27","Tiene Decidido que va a ir a votar",0.929,0.969,0.948,0.848,0.809,0.794,0.383
"P27","Tiene dudas sobre si va a ir a  votar",0.055,0.019,0.051,0.051,0.017,0.067,0.534
"P27","Tiene Decidido que no va a ir a votar",0.016,0.012,0.001,0.101,0.174,0.139,0.083
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.897,0.256,0.206,0.567,0.195,0.163,0.121
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.696,0.332,0.143,0.178,0.383,0
"P28","En blanco",0.025,0.013,0.259,0.183,0.337,0.197,0.535
"P28","No sabe",0.036,0.035,0.203,0.107,0.29,0.257,0.344
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.186,0.801,0.123,0.284,0.196,0.102,0.116
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.092,0.783,0.264,0.133,0.411,0.206
"P29","En blanco",0.474,0.045,0.057,0.282,0.438,0.106,0.382
"P29","No sabe",0.282,0.062,0.037,0.17,0.233,0.381,0.296
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.82,0.243,0.162,0.378,0.144,0.092,0.114
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.321,0.809,0.23,0.17,0.437,0.203
"P30","En blanco",0.042,0.242,0.015,0.149,0.449,0.149,0.356
"P30","No sabe",0.053,0.194,0.014,0.243,0.237,0.322,0.327
"P38","Inflación",0.429,0.303,0.303,0.479,0.171,0.198,0.237
"P38","Desempleo",0.102,0.039,0.043,0.13,0,0.025,0.057
"P38","Corrupción",0.137,0.452,0.437,0.229,0.438,0.507,0.314
"P38","Inseguridad",0.117,0.14,0.1,0.054,0.391,0.045,0.238
"P38","Precio del dólar",0.071,0,0.022,0,0,0,0
"P38","Pobreza",0.075,0.045,0.041,0.06,0,0.102,0.103
"P38","Narcotráfico",0.007,0.004,0.025,0,0,0.043,0.051
"P38","Tarifas",0.005,0.011,0,0,0,0,0
"P38","Otro",0.046,0.005,0.017,0.008,0,0.08,0
"P38","No sabe",0.011,0.001,0.012,0.04,0,0,0
