clave	texto
encuesta_especial	Posicionamiento Político y Preferencias Electorales: Elecciones Presidenciales, a Gobernador e Intendente - Merlo, Octubre 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	12/10/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Municipio de Merlo
ficha_Estratificación	Parque Gral. San Martín, Merlo y San Antonio de Padua, Mariano Acosta, Libertad y Pontevedra.
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Aleatorio simple
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 06/10/2023 al 10/10/2023 abarcando 1.087 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 2.97 %
