"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","No sabe"
"P06","Muy buena",0.407,0.458,0,0.011
"P06","Buena",0.259,0.214,0.28,0.086
"P06","Ni buena ni mala",0.241,0.253,0.218,0.422
"P06","Mala",0.044,0.035,0.229,0.078
"P06","Muy mala",0.022,0.032,0.273,0.297
"P06","No sabe",0.027,0.008,0,0.106
"P07","Muy buena",0.128,0.047,0,0.153
"P07","Buena",0.045,0.121,0.182,0.042
"P07","Ni buena ni mala",0.417,0.203,0.245,0.419
"P07","Mala",0.134,0.108,0.259,0.09
"P07","Muy mala",0.111,0.136,0.207,0.104
"P07","No sabe",0.165,0.385,0.107,0.192
"P08","Muy buena",0.354,0.506,0.012,0
"P08","Buena",0.195,0.245,0.165,0.126
"P08","Ni buena ni mala",0.252,0.202,0.376,0.46
"P08","Mala",0.08,0,0.085,0.127
"P08","Muy mala",0.062,0.032,0.31,0.181
"P08","No sabe",0.057,0.015,0.052,0.106
"P09","Muy buena",0.167,0,0,0
"P09","Buena",0.087,0.126,0,0.018
"P09","Ni buena ni mala",0.353,0.49,0.669,0.461
"P09","Mala",0.164,0.159,0.098,0.069
"P09","Muy mala",0.097,0.018,0.127,0.095
"P09","No sabe",0.132,0.207,0.106,0.357
"P10","Muy buena",0.094,0.092,0.248,0.089
"P10","Buena",0.206,0.172,0.051,0.359
"P10","Ni buena ni mala",0.238,0.39,0.154,0.235
"P10","Mala",0.225,0.116,0.213,0.118
"P10","Muy mala",0.161,0.175,0.319,0.092
"P10","No sabe",0.076,0.055,0.015,0.107
"P11","Muy buena",0.051,0.06,0,0.004
"P11","Buena",0.065,0.073,0.03,0.187
"P11","Ni buena ni mala",0.388,0.241,0.554,0.154
"P11","Mala",0.151,0.214,0.052,0.059
"P11","Muy mala",0.102,0.046,0.238,0.096
"P11","No sabe",0.243,0.366,0.126,0.5
"P12","Muy buena",0.14,0.038,0.102,0
"P12","Buena",0.121,0.04,0.414,0.108
"P12","Ni buena ni mala",0.419,0.356,0.267,0.237
"P12","Mala",0.051,0.009,0.058,0.054
"P12","Muy mala",0.026,0,0.037,0.047
"P12","No sabe",0.243,0.557,0.122,0.554
"P13","Muy buena",0.136,0.033,0.114,0
"P13","Buena",0.055,0.054,0.013,0.018
"P13","Ni buena ni mala",0.468,0.369,0.558,0.159
"P13","Mala",0.023,0,0.012,0.032
"P13","Muy mala",0.04,0,0.048,0.065
"P13","No sabe",0.278,0.544,0.255,0.726
"P14","La seguridad",0.157,0.067,0,0
"P14","El tránsito",0.013,0.015,0.076,0.098
"P14","El arreglo de las calles",0.26,0.36,0.264,0.244
"P14","El estado de las escuelas y la educación",0.049,0.047,0.112,0.09
"P14","El sistema de salud",0.115,0.079,0.01,0.089
"P14","El deporte y la cultura",0.191,0.256,0.092,0.132
"P14","La obra pública",0.092,0.086,0.113,0.061
"P14","La luminaria",0.042,0,0.079,0.104
"P14","No sabe",0.081,0.09,0.254,0.182
"P15","La seguridad",0.437,0.275,0.548,0.618
"P15","El tránsito",0.151,0.033,0,0.013
"P15","El arreglo de las calles",0.165,0.244,0.224,0.054
"P15","El estado de las escuelas y la educación",0.02,0,0,0.102
"P15","El sistema de salud",0.04,0.28,0.195,0.144
"P15","El deporte y la cultura",0.008,0.07,0.011,0
"P15","La obra pública",0.039,0,0,0.012
"P15","La luminaria",0.032,0.032,0.01,0.015
"P15","No sabe",0.108,0.066,0.012,0.042
"P16","Agua corriente y cloacas",0.446,0.425,0.306,0.529
"P16","Energía eléctrica",0.143,0.044,0.081,0.035
"P16","Red de gas natural",0.062,0.115,0.058,0.122
"P16","Recolección de residuos",0.221,0.27,0.357,0.041
"P16","Ninguno",0.128,0.146,0.198,0.273
"P17","Los robos",0.536,0.425,0.607,0.504
"P17","El narcotráfico",0.126,0.124,0.035,0.038
"P17","La ausencia de patrulleros y personal policial",0.174,0.39,0.192,0.387
"P17","Otro",0.075,0.061,0.058,0.066
"P17","Ninguno",0.089,0,0.108,0.005
"P18","Muy buena",0.272,0.009,0.012,0.092
"P18","Buena",0.228,0.345,0.062,0.16
"P18","Ni buena ni mala",0.267,0.329,0.338,0.282
"P18","Mala",0.118,0.243,0.122,0.144
"P18","Muy mala",0.088,0.039,0.371,0.196
"P18","No sabe",0.027,0.035,0.095,0.126
"P19","Muy buena",0.272,0.146,0,0.024
"P19","Buena",0.241,0.347,0.195,0.155
"P19","Ni buena ni mala",0.284,0.341,0.211,0.271
"P19","Mala",0.112,0.088,0.427,0.192
"P19","Muy mala",0.045,0.039,0.07,0.161
"P19","No sabe",0.046,0.039,0.097,0.197
"P22","Muy buena",0.418,0.46,0.274,0.114
"P22","Buena",0.21,0.287,0.308,0.446
"P22","Ni buena ni mala",0.172,0.089,0.24,0.132
"P22","Mala",0.039,0.104,0.131,0.146
"P22","Muy mala",0.126,0.06,0.047,0.162
"P22","No sabe",0.035,0,0,0
"P23","Muy buena",0.079,0.034,0.038,0.168
"P23","Buena",0.011,0.018,0,0
"P23","Ni buena ni mala",0.017,0.026,0,0.018
"P23","Mala",0.272,0.247,0.101,0.201
"P23","Muy mala",0.614,0.675,0.861,0.613
"P23","No sabe",0.007,0,0,0
"P24","Muy buena",0.743,0.73,0.841,0.514
"P24","Buena",0.07,0.132,0.108,0.171
"P24","Ni buena ni mala",0.029,0.035,0,0.035
"P24","Mala",0.084,0.049,0.051,0.005
"P24","Muy mala",0.066,0.054,0,0.275
"P24","No sabe",0.008,0,0,0
"P25","Muy buena",0.096,0,0,0.026
"P25","Buena",0.045,0.018,0.196,0.231
"P25","Ni buena ni mala",0.149,0.428,0.143,0.133
"P25","Mala",0.28,0.252,0.215,0.186
"P25","Muy mala",0.38,0.245,0.446,0.413
"P25","No sabe",0.05,0.057,0,0.011
"P26","Muy buena",0.242,0.156,0.206,0.117
"P26","Buena",0.262,0.271,0.24,0.174
"P26","Ni buena ni mala",0.263,0.387,0.31,0.41
"P26","Mala",0.116,0.103,0.161,0.031
"P26","Muy mala",0.096,0.083,0.068,0.182
"P26","No sabe",0.021,0,0.015,0.086
"P27","Muy buena",0.063,0.059,0,0.01
"P27","Buena",0.006,0.018,0,0.023
"P27","Ni buena ni mala",0.117,0.064,0.035,0.25
"P27","Mala",0.297,0.255,0.156,0.165
"P27","Muy mala",0.486,0.604,0.809,0.552
"P27","No sabe",0.031,0,0,0
"P28","Muy buena",0.144,0.095,0.063,0.01
"P28","Buena",0.033,0.058,0.038,0.094
"P28","Ni buena ni mala",0.094,0.281,0.087,0.189
"P28","Mala",0.195,0.083,0.068,0.057
"P28","Muy mala",0.508,0.392,0.707,0.554
"P28","No sabe",0.026,0.091,0.037,0.096
