"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.124,0.138,0.111,0.148,0.121,0.092,0.129,0.195,0.074,0.078,6
"Buena",0.143,0.115,0.168,0.141,0.126,0.147,0.189,0.134,0.158,0.121,6
"Ni buena ni mala",0.333,0.304,0.361,0.335,0.333,0.389,0.238,0.293,0.378,0.311,6
"Mala",0.102,0.127,0.079,0.054,0.136,0.123,0.076,0.092,0.091,0.16,6
"Muy mala",0.099,0.131,0.069,0.098,0.127,0.055,0.091,0.085,0.083,0.184,6
"No sabe",0.199,0.185,0.212,0.224,0.157,0.194,0.277,0.201,0.216,0.146,6
"Positiva",0.267,0.253,0.279,0.289,0.247,0.239,0.318,0.329,0.232,0.199,4
"Neutra",0.333,0.304,0.361,0.335,0.333,0.389,0.238,0.293,0.378,0.311,4
"Negativa",0.201,0.258,0.148,0.152,0.263,0.178,0.167,0.177,0.174,0.344,4
"No sabe",0.199,0.185,0.212,0.224,0.157,0.194,0.277,0.201,0.216,0.146,4
