"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P06","Muy buena",0.142,0.229,0.192,0.007,0.208,0.185,0.156,0.126,0.135
"P06","Buena",0.135,0.168,0.193,0.05,0.116,0.045,0.048,0.126,0.074
"P06","Ni buena ni mala",0.271,0.283,0.18,0.441,0.272,0.317,0.395,0.159,0.207
"P06","Mala",0.16,0.035,0.148,0.287,0.079,0.086,0.18,0.172,0.139
"P06","Muy mala",0.262,0.247,0.215,0.212,0.305,0.232,0.13,0.353,0.317
"P06","No sabe",0.03,0.038,0.072,0.003,0.02,0.135,0.091,0.064,0.128
"P07","Muy buena",0.116,0.086,0.097,0.005,0.027,0.034,0.156,0.064,0.096
"P07","Buena",0.145,0.119,0.24,0.139,0.271,0.016,0.07,0.025,0.051
"P07","Ni buena ni mala",0.349,0.484,0.309,0.473,0.366,0.29,0.323,0.183,0.283
"P07","Mala",0.128,0.2,0.038,0.085,0.004,0.214,0.193,0.218,0.091
"P07","Muy mala",0.086,0.016,0.065,0.207,0.148,0.342,0.119,0.255,0.149
"P07","No sabe",0.176,0.095,0.251,0.091,0.184,0.104,0.139,0.255,0.33
"P08","Muy buena",0.11,0.25,0.155,0,0.174,0.267,0.056,0.097,0.065
"P08","Buena",0.12,0.16,0.146,0.051,0.124,0.009,0.144,0.085,0.092
"P08","Ni buena ni mala",0.306,0.3,0.249,0.391,0.292,0.178,0.337,0.125,0.195
"P08","Mala",0.137,0.036,0.144,0.311,0.039,0.171,0.076,0.103,0.127
"P08","Muy mala",0.262,0.061,0.166,0.181,0.283,0.312,0.34,0.461,0.253
"P08","No sabe",0.065,0.193,0.14,0.066,0.088,0.063,0.047,0.129,0.268
"P09","Muy buena",0.062,0.109,0.031,0,0.015,0.06,0.059,0,0.035
"P09","Buena",0.099,0.026,0.141,0.116,0.101,0.037,0.089,0.049,0.131
"P09","Ni buena ni mala",0.35,0.393,0.403,0.163,0.476,0.431,0.366,0.271,0.269
