"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","opciones"
"Muy buena",0.085,0.094,0.077,0.065,0.073,0.113,0.117,0.105,0.079,0.056,6
"Buena",0.114,0.076,0.15,0.116,0.115,0.129,0.083,0.119,0.116,0.096,6
"Ni buena ni mala",0.257,0.234,0.278,0.292,0.247,0.239,0.241,0.238,0.276,0.248,6
"Mala",0.198,0.192,0.204,0.143,0.21,0.229,0.228,0.208,0.192,0.193,6
"Muy mala",0.222,0.269,0.178,0.19,0.267,0.195,0.197,0.185,0.211,0.339,6
"No sabe",0.124,0.135,0.113,0.194,0.088,0.095,0.134,0.145,0.126,0.068,6
"Positiva",0.199,0.17,0.227,0.181,0.188,0.242,0.2,0.224,0.195,0.152,4
"Neutra",0.257,0.234,0.278,0.292,0.247,0.239,0.241,0.238,0.276,0.248,4
"Negativa",0.42,0.461,0.382,0.333,0.477,0.424,0.425,0.393,0.403,0.532,4
"No sabe",0.124,0.135,0.113,0.194,0.088,0.095,0.134,0.145,0.126,0.068,4
