"var","categoria","Si","No","No sabe"
"P04","Gran excedente habitual",0.013,0.009,0.027
"P04","Gran excedente excepcional",0.008,0,0
"P04","Pequeño excedente habitual",0.054,0.05,0.032
"P04","Pequeño excedente excepcional",0.052,0.082,0.043
"P04","Alcanza gastos familia",0.156,0.121,0.121
"P04","No alcanza gastos familia",0.122,0.2,0.21
"P04","Solo NBFamiliares",0.29,0.223,0.273
"P04","No alcanza NBFamiliares",0.292,0.312,0.263
"P04","No sabe",0.013,0.003,0.031
"P05","Sin deuda",0.304,0.294,0.279
"P05","Menos de 10%",0.18,0.172,0.157
"P05","Entre 10 y 20%",0.144,0.168,0.179
"P05","Entre 20 y 30%",0.104,0.102,0.12
"P05","Entre 30 y 40%",0.091,0.078,0.1
"P05","Mas del 40%",0.148,0.17,0.115
"P05","No sabe",0.029,0.016,0.05
"P06","Mucho",0.199,0.189,0.103
"P06","Algo",0.46,0.386,0.377
"P06","Poco",0.228,0.23,0.339
"P06","Nada",0.113,0.195,0.181
"P07","La nación",0.428,0.336,0.265
"P07","La provincia",0.195,0.247,0.186
"P07","El municipio",0.226,0.257,0.237
"P07","No sabe",0.151,0.16,0.312
"P08","La nación",0.185,0.168,0.13
"P08","La provincia",0.206,0.203,0.141
"P08","El municipio",0.542,0.574,0.521
"P08","No sabe",0.067,0.055,0.208
"P09","La nación",0.39,0.302,0.25
"P09","La provincia",0.295,0.321,0.243
"P09","El municipio",0.26,0.302,0.308
"P09","No sabe",0.055,0.075,0.199
"P10","La nación",0.402,0.39,0.348
"P10","La provincia",0.341,0.33,0.327
"P10","El municipio",0.18,0.197,0.111
"P10","No sabe",0.077,0.083,0.214
"P11","La nación",0.458,0.459,0.364
"P11","La provincia",0.333,0.36,0.328
"P11","El municipio",0.111,0.114,0.11
"P11","No sabe",0.098,0.067,0.198
"P12","Si",0.197,0.193,0.097
"P12","No",0.803,0.807,0.903
"P13","Si",0.092,0.088,0.096
"P13","No",0.742,0.763,0.541
"P13","No sabe",0.166,0.149,0.363
"P14","La falta de gestión de los residuos",0.211,0.168,0.118
"P14","La contaminación del agua",0.286,0.391,0.163
"P14","Los incendios descontrolados",0.182,0.16,0.35
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.248,0.207,0.166
"P14","No sabe",0.073,0.074,0.203
"P16","Estaría de acuerdo con esta medida",0.321,0.124,0.074
"P16","No estaría de acuerdo con esta medida",0.581,0.779,0.52
"P16","No sabe",0.098,0.097,0.406
"P17","Si",0.426,0.531,0.288
"P17","No",0.415,0.377,0.405
"P17","No sabe",0.159,0.092,0.307
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.174,0.398,0.183
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.724,0.501,0.566
"P18","No sabe",0.102,0.101,0.251
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.23,0.381,0.217
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.658,0.533,0.472
"P19","No sabe",0.112,0.086,0.311
"P20","Las montañas",0.184,0.294,0.184
"P20","El campo",0.385,0.324,0.259
"P20","El agua",0.054,0.083,0.118
"P20","El aire",0.062,0.073,0.031
"P20","Los bosques",0.016,0.017,0.016
"P20","Los humedales",0.019,0.022,0.017
"P20","No sabe",0.28,0.187,0.375
"P21","El desempleo",0.06,0.078,0.042
"P21","La corrupción",0.339,0.389,0.357
"P21","La inseguridad",0.11,0.106,0.109
"P21","La inflación",0.276,0.265,0.236
"P21","El precio del dólar",0.029,0.004,0.035
"P21","La pobreza",0.061,0.04,0.057
"P21","El narcotráfico",0.052,0.053,0.097
"P21","Las tarifas",0.017,0.022,0.006
"P21","Otro",0.048,0.042,0.012
"P21","No sabe",0.008,0.001,0.049
"P24","Si",0.755,0.616,0.543
"P24","No",0.117,0.243,0.121
"P24","No sabe",0.128,0.141,0.336
"P25","Mucho",0.79,0.588,0.534
"P25","Algo",0.142,0.245,0.262
"P25","Poco",0.055,0.084,0.1
"P25","Nada",0.013,0.083,0.104
