"var","categoria","Estaría de acuerdo con la explotación de recursos naturales","No estaría de acuerdo con la explotación de recursos naturales","No sabe"
"P04","Gran excedente habitual",0.041,0.004,0.023
"P04","Gran excedente excepcional",0.011,0.001,0
"P04","Pequeño excedente habitual",0.088,0.04,0.045
"P04","Pequeño excedente excepcional",0.075,0.054,0.057
"P04","Alcanza gastos familia",0.148,0.141,0.097
"P04","No alcanza gastos familia",0.152,0.143,0.191
"P04","Solo NBFamiliares",0.207,0.312,0.267
"P04","No alcanza NBFamiliares",0.274,0.293,0.267
"P04","No sabe",0.004,0.012,0.053
"P05","Sin deuda",0.313,0.278,0.323
"P05","Menos de 10%",0.191,0.189,0.137
"P05","Entre 10 y 20%",0.174,0.148,0.165
"P05","Entre 20 y 30%",0.091,0.115,0.092
"P05","Entre 30 y 40%",0.084,0.083,0.107
"P05","Mas del 40%",0.122,0.161,0.126
"P05","No sabe",0.025,0.026,0.05
"P06","Mucho",0.174,0.188,0.159
"P06","Algo",0.422,0.477,0.251
"P06","Poco",0.245,0.213,0.375
"P06","Nada",0.159,0.122,0.215
"P07","La nación",0.393,0.402,0.27
"P07","La provincia",0.187,0.223,0.184
"P07","El municipio",0.267,0.224,0.259
"P07","No sabe",0.153,0.151,0.287
"P08","La nación",0.157,0.191,0.173
"P08","La provincia",0.184,0.21,0.162
"P08","El municipio",0.593,0.536,0.477
"P08","No sabe",0.066,0.063,0.188
"P09","La nación",0.31,0.391,0.296
"P09","La provincia",0.313,0.281,0.271
"P09","El municipio",0.318,0.267,0.224
"P09","No sabe",0.059,0.061,0.209
"P10","La nación",0.392,0.413,0.261
"P10","La provincia",0.351,0.328,0.384
"P10","El municipio",0.197,0.173,0.097
"P10","No sabe",0.06,0.086,0.258
"P11","La nación",0.441,0.473,0.301
"P11","La provincia",0.372,0.341,0.293
"P11","El municipio",0.122,0.109,0.115
"P11","No sabe",0.065,0.077,0.291
"P12","Si",0.213,0.197,0.089
"P12","No",0.787,0.803,0.911
"P13","Si",0.119,0.1,0.057
"P13","No",0.713,0.752,0.566
"P13","No sabe",0.168,0.148,0.377
"P14","La falta de gestión de los residuos",0.25,0.158,0.182
"P14","La contaminación del agua",0.248,0.336,0.206
"P14","Los incendios descontrolados",0.218,0.203,0.197
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.181,0.256,0.176
"P14","No sabe",0.103,0.047,0.239
"P15","Si",0.558,0.693,0.532
"P15","No",0.325,0.197,0.142
"P15","No sabe",0.117,0.11,0.326
"P16","Estaría de acuerdo con esta medida",0.238,0.275,0.149
"P16","No estaría de acuerdo con esta medida",0.676,0.616,0.485
"P16","No sabe",0.086,0.109,0.366
"P17","Si",0.731,0.356,0.306
"P17","No",0.183,0.525,0.244
"P17","No sabe",0.086,0.119,0.45
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.594,0.093,0.12
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.335,0.849,0.378
"P18","No sabe",0.071,0.058,0.502
"P20","Las montañas",0.416,0.145,0.085
"P20","El campo",0.321,0.404,0.192
"P20","El agua",0.048,0.044,0.223
"P20","El aire",0.034,0.074,0.05
"P20","Los bosques",0.012,0.017,0.019
"P20","Los humedales",0.024,0.02,0.009
"P20","No sabe",0.145,0.296,0.422
"P21","El desempleo",0.053,0.071,0.034
"P21","La corrupción",0.389,0.364,0.232
"P21","La inseguridad",0.112,0.109,0.103
"P21","La inflación",0.276,0.256,0.307
"P21","El precio del dólar",0.029,0.024,0.015
"P21","La pobreza",0.058,0.053,0.061
"P21","El narcotráfico",0.035,0.06,0.099
"P21","Las tarifas",0.013,0.015,0.027
"P21","Otro",0.028,0.045,0.056
"P21","No sabe",0.007,0.003,0.066
"P24","Si",0.651,0.758,0.499
"P24","No",0.208,0.121,0.127
"P24","No sabe",0.141,0.121,0.374
"P25","Mucho",0.569,0.8,0.592
"P25","Algo",0.262,0.147,0.168
"P25","Poco",0.099,0.039,0.134
"P25","Nada",0.07,0.014,0.106
