"var","categoria","La nación","La provincia","El municipio","No sabe"
"P04","Gran excedente habitual",0.013,0,0.016,0.024
"P04","Gran excedente excepcional",0.001,0,0.008,0.012
"P04","Pequeño excedente habitual",0.022,0.021,0.07,0.032
"P04","Pequeño excedente excepcional",0.041,0.038,0.076,0.013
"P04","Alcanza gastos familia",0.114,0.128,0.149,0.151
"P04","No alcanza gastos familia",0.149,0.131,0.151,0.131
"P04","Solo NBFamiliares",0.267,0.29,0.259,0.318
"P04","No alcanza NBFamiliares",0.376,0.388,0.259,0.291
"P04","No sabe",0.017,0.004,0.012,0.028
"P05","Sin deuda",0.324,0.253,0.299,0.344
"P05","Menos de 10%",0.133,0.188,0.182,0.197
"P05","Entre 10 y 20%",0.156,0.153,0.148,0.139
"P05","Entre 20 y 30%",0.074,0.123,0.11,0.095
"P05","Entre 30 y 40%",0.076,0.105,0.095,0.034
"P05","Mas del 40%",0.2,0.151,0.143,0.149
"P05","No sabe",0.037,0.027,0.023,0.042
"P06","Mucho",0.233,0.195,0.163,0.138
"P06","Algo",0.381,0.479,0.428,0.262
"P06","Poco",0.208,0.201,0.266,0.298
"P06","Nada",0.178,0.125,0.143,0.302
"P07","La nación",0.735,0.384,0.302,0.107
"P07","La provincia",0.108,0.386,0.183,0.108
"P07","El municipio",0.089,0.145,0.337,0.096
"P07","No sabe",0.068,0.085,0.178,0.689
"P09","La nación",0.754,0.293,0.258,0.162
"P09","La provincia",0.139,0.511,0.3,0.09
"P09","El municipio",0.095,0.136,0.401,0.119
"P09","No sabe",0.012,0.06,0.041,0.629
"P10","La nación",0.729,0.437,0.306,0.205
"P10","La provincia",0.173,0.425,0.364,0.166
"P10","El municipio",0.061,0.096,0.243,0.085
"P10","No sabe",0.037,0.042,0.087,0.544
"P11","La nación",0.696,0.436,0.38,0.259
"P11","La provincia",0.171,0.38,0.394,0.206
"P11","El municipio",0.064,0.098,0.149,0.074
"P11","No sabe",0.069,0.086,0.077,0.461
"P12","Si",0.233,0.214,0.163,0.116
"P12","No",0.767,0.786,0.837,0.884
"P13","Si",0.074,0.097,0.088,0.135
"P13","No",0.779,0.747,0.714,0.467
"P13","No sabe",0.147,0.156,0.198,0.398
"P14","La falta de gestión de los residuos",0.232,0.231,0.173,0.106
"P14","La contaminación del agua",0.36,0.375,0.264,0.142
"P14","Los incendios descontrolados",0.18,0.191,0.211,0.184
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.158,0.145,0.262,0.297
"P14","No sabe",0.07,0.058,0.09,0.271
"P15","Si",0.674,0.663,0.627,0.501
"P15","No",0.218,0.234,0.237,0.147
"P15","No sabe",0.108,0.103,0.136,0.352
"P16","Estaría de acuerdo con esta medida",0.315,0.272,0.216,0.18
"P16","No estaría de acuerdo con esta medida",0.59,0.643,0.638,0.477
"P16","No sabe",0.095,0.085,0.146,0.343
"P17","Si",0.418,0.395,0.46,0.346
"P17","No",0.452,0.445,0.398,0.257
"P17","No sabe",0.13,0.16,0.142,0.397
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.244,0.2,0.233,0.197
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.66,0.667,0.663,0.52
"P18","No sabe",0.096,0.133,0.104,0.283
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.229,0.245,0.286,0.215
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.642,0.644,0.596,0.473
"P19","No sabe",0.129,0.111,0.118,0.312
"P20","Las montañas",0.244,0.2,0.201,0.195
"P20","El campo",0.337,0.426,0.351,0.24
"P20","El agua",0.07,0.069,0.073,0.044
"P20","El aire",0.037,0.044,0.076,0.047
"P20","Los bosques",0.009,0.025,0.013,0.03
"P20","Los humedales",0.03,0.009,0.021,0.011
"P20","No sabe",0.273,0.227,0.265,0.433
"P21","El desempleo",0.086,0.065,0.052,0.064
"P21","La corrupción",0.391,0.401,0.34,0.237
"P21","La inseguridad",0.134,0.107,0.094,0.163
"P21","La inflación",0.209,0.247,0.296,0.262
"P21","El precio del dólar",0.009,0.027,0.026,0.039
"P21","La pobreza",0.029,0.033,0.074,0.044
"P21","El narcotráfico",0.084,0.055,0.047,0.091
"P21","Las tarifas",0.002,0.02,0.021,0.006
"P21","Otro",0.055,0.043,0.036,0.046
"P21","No sabe",0.001,0.002,0.014,0.048
"P24","Si",0.712,0.71,0.721,0.443
"P24","No",0.141,0.151,0.139,0.183
"P24","No sabe",0.147,0.139,0.14,0.374
"P25","Mucho",0.777,0.726,0.711,0.523
"P25","Algo",0.115,0.212,0.191,0.185
"P25","Poco",0.084,0.04,0.063,0.125
"P25","Nada",0.024,0.022,0.035,0.167
