"var","categoria","Mucho","Algo","Poco","Nada"
"P04","Gran excedente habitual",0.017,0.018,0.003,0.049
"P04","Gran excedente excepcional",0.001,0,0.036,0
"P04","Pequeño excedente habitual",0.044,0.087,0.027,0.031
"P04","Pequeño excedente excepcional",0.052,0.089,0.069,0.093
"P04","Alcanza gastos familia",0.136,0.169,0.129,0.096
"P04","No alcanza gastos familia",0.147,0.128,0.243,0.18
"P04","Solo NBFamiliares",0.288,0.299,0.23,0.156
"P04","No alcanza NBFamiliares",0.3,0.208,0.239,0.336
"P04","No sabe",0.015,0.002,0.024,0.059
"P05","Sin deuda",0.301,0.235,0.27,0.518
"P05","Menos de 10%",0.166,0.26,0.187,0.066
"P05","Entre 10 y 20%",0.148,0.19,0.243,0.118
"P05","Entre 20 y 30%",0.111,0.08,0.097,0.086
"P05","Entre 30 y 40%",0.099,0.057,0.114,0
"P05","Mas del 40%",0.148,0.14,0.082,0.183
"P05","No sabe",0.027,0.038,0.007,0.029
"P06","Mucho",0.194,0.16,0.127,0.152
"P06","Algo",0.449,0.443,0.382,0.148
"P06","Poco",0.238,0.278,0.264,0.248
"P06","Nada",0.119,0.119,0.227,0.452
"P07","La nación",0.404,0.34,0.32,0.285
"P07","La provincia",0.194,0.258,0.2,0.169
"P07","El municipio",0.252,0.211,0.235,0.221
"P07","No sabe",0.15,0.191,0.245,0.325
"P08","La nación",0.197,0.114,0.226,0.106
"P08","La provincia",0.199,0.228,0.116,0.106
"P08","El municipio",0.545,0.575,0.509,0.461
"P08","No sabe",0.059,0.083,0.149,0.327
"P09","La nación",0.371,0.344,0.3,0.221
"P09","La provincia",0.286,0.268,0.301,0.277
"P09","El municipio",0.291,0.293,0.227,0.14
"P09","No sabe",0.052,0.095,0.172,0.362
"P10","La nación",0.416,0.372,0.262,0.174
"P10","La provincia",0.33,0.343,0.437,0.235
"P10","El municipio",0.178,0.162,0.076,0.251
"P10","No sabe",0.076,0.123,0.225,0.34
"P11","La nación",0.48,0.381,0.359,0.193
"P11","La provincia",0.333,0.365,0.311,0.328
"P11","El municipio",0.114,0.14,0.06,0.171
"P11","No sabe",0.073,0.114,0.27,0.308
"P12","Si",0.19,0.202,0.117,0.173
"P12","No",0.81,0.798,0.883,0.827
"P13","Si",0.091,0.122,0.168,0.15
"P13","No",0.754,0.674,0.603,0.43
"P13","No sabe",0.155,0.204,0.229,0.42
"P14","La falta de gestión de los residuos",0.19,0.132,0.21,0.154
"P14","La contaminación del agua",0.306,0.295,0.288,0.12
"P14","Los incendios descontrolados",0.205,0.225,0.231,0.168
"P14","El uso desmedido de fertilizantes y químicos para los cultivos",0.236,0.256,0.183,0.093
"P14","No sabe",0.063,0.092,0.088,0.465
"P15","Si",0.717,0.505,0.525,0.209
"P15","No",0.179,0.295,0.27,0.441
"P15","No sabe",0.104,0.2,0.205,0.35
"P16","Estaría de acuerdo con esta medida",0.265,0.212,0.226,0.113
"P16","No estaría de acuerdo con esta medida",0.613,0.666,0.543,0.533
"P16","No sabe",0.122,0.122,0.231,0.354
"P17","Si",0.412,0.567,0.504,0.515
"P17","No",0.455,0.309,0.224,0.085
"P17","No sabe",0.133,0.124,0.272,0.4
"P18","Estaría de acuerdo con la explotación de recursos naturales",0.168,0.344,0.422,0.466
"P18","No estaría de acuerdo con la explotación de recursos naturales",0.729,0.524,0.355,0.338
"P18","No sabe",0.103,0.132,0.223,0.196
"P19","Estaría de acuerdo con la explotación de recursos naturales",0.212,0.384,0.39,0.453
"P19","No estaría de acuerdo con la explotación de recursos naturales",0.678,0.493,0.346,0.204
"P19","No sabe",0.11,0.123,0.264,0.343
"P20","Las montañas",0.19,0.274,0.257,0.211
"P20","El campo",0.362,0.39,0.339,0.066
"P20","El agua",0.059,0.071,0.153,0.078
"P20","El aire",0.075,0.028,0.008,0.041
"P20","Los bosques",0.015,0.013,0.026,0.024
"P20","Los humedales",0.012,0.013,0.049,0.142
"P20","No sabe",0.287,0.211,0.168,0.438
"P21","El desempleo",0.073,0.036,0.032,0.04
"P21","La corrupción",0.365,0.37,0.253,0.21
"P21","La inseguridad",0.098,0.162,0.147,0.065
"P21","La inflación",0.255,0.232,0.405,0.416
"P21","El precio del dólar",0.026,0.011,0.031,0.01
"P21","La pobreza",0.043,0.097,0.037,0.094
"P21","El narcotráfico",0.066,0.05,0.03,0.028
"P21","Las tarifas",0.019,0.012,0.013,0
"P21","Otro",0.048,0.026,0.03,0.042
"P21","No sabe",0.007,0.004,0.022,0.095
"P24","Si",0.812,0.533,0.231,0.187
"P24","No",0.079,0.282,0.329,0.384
"P24","No sabe",0.109,0.185,0.44,0.429
