"var","categoria","Sí, he sido víctima","No, no he sido víctima","No sabe"
"P01","Empleado en relación de dependencia",0.292,0.278,0.205
"P01","Jubilado o pensionado",0.214,0.278,0.268
"P01","Desempleado",0.251,0.198,0.295
"P01","Monotributista o autónomo",0.153,0.136,0.118
"P01","Empresario",0.022,0.019,0.009
"P01","Estudiante",0.021,0.022,0.019
"P01","Otro",0.047,0.069,0.086
"P02","Menos de $50.000 mensuales",0.428,0.418,0.628
"P02","Entre $50.000 y $100.000 mensuales",0.234,0.248,0.197
"P02","Entre $100.000 y $150.000 mensuales",0.145,0.162,0.086
"P02","Entre $150.000 y $200.000 mensuales",0.085,0.073,0.043
"P02","Entre $200.000 y $250.000 mensuales",0.033,0.039,0.011
"P02","Entre $250.000 y $300.000 mensuales",0.019,0.016,0.022
"P02","Más de $300.000",0.056,0.044,0.013
"P03","Si, tengo",0.185,0.112,0.098
"P03","No, no tengo",0.815,0.888,0.902
"P04","Si",0.335,0.252,0.278
"P04","No",0.665,0.748,0.722
"P05","Si",0.216,0.145,0.108
"P05","No",0.784,0.855,0.892
"P06","Si",0.324,0.262,0.39
"P06","No",0.676,0.738,0.61
"P07","Si, lo tomaría",0.26,0.173,0.098
"P07","Probablemente si",0.327,0.266,0.292
"P07","Probablemente no",0.16,0.245,0.203
"P07","No. no lo tomaría",0.215,0.248,0.269
"P07","No sabe",0.038,0.068,0.138
"P08","Si",0.519,0.518,0.326
"P08","No",0.481,0.482,0.674
"P09","1",0.343,0.358,0.27
"P09","2",0.173,0.141,0.132
"P09","3",0.044,0.048,0.036
"P09","4",0.031,0.025,0.034
"P09","5",0.121,0.141,0.109
"P09","6",0.025,0.024,0.032
"P09","7",0.029,0.019,0.022
"P09","8",0.025,0.038,0.026
"P09","9",0.209,0.206,0.339
"P10","Muy convenientes",0.089,0.058,0.044
"P10","Bastante convenientes",0.056,0.052,0.024
"P10","Algo convenientes",0.128,0.113,0.08
"P10","Poco convenientes",0.19,0.226,0.202
"P10","Nada convenientes",0.412,0.392,0.347
"P10","No sabe",0.125,0.159,0.303
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.245,0.182,0.115
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.561,0.586,0.445
"P11","No sabe",0.194,0.232,0.44
"P12","Si",0.682,0.649,0.454
"P12","No",0.318,0.351,0.546
"P13","Banco Publico o cooperativo",0.528,0.551,0.522
"P13","Banco privado",0.417,0.39,0.325
"P13","No sabe",0.055,0.059,0.153
"P14","Banco Nacion",0.429,0.413,0.343
"P14","Banco Provincia",0.213,0.273,0.247
"P14","Banco Ciudad",0.025,0.042,0.05
"P14","Bancor, Banco de Cordoba",0.044,0.035,0.031
"P14","Nuevo Banco de Santa Fe",0.002,0.012,0.031
"P14","Credicoop",0.038,0.042,0.02
"P14","Otro",0.249,0.183,0.278
"P15","Santander",0.136,0.201,0.225
"P15","Galicia",0.265,0.221,0.309
"P15","Macro",0.14,0.1,0.138
"P15","Frances",0.144,0.106,0.041
"P15","ICBC",0.084,0.074,0.047
"P15","Patagonia",0.02,0.048,0.012
"P15","No sabe",0.211,0.25,0.228
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.294,0.271,0.141
