"var","categoria","Porque son mas seguras","Porque los costos del servicio son menores","Porque tienen mas clientes adheridos","Porque la calidad de la aplicación","Por la calidad de la atención al cliente","Por la eficiencia en la solución de reclamos","No sabe"
"P01","Empleado en relación de dependencia",0.324,0.313,0.322,0.331,0.255,0.188,0.185
"P01","Jubilado o pensionado",0.194,0.166,0.204,0.119,0.255,0.248,0.371
"P01","Desempleado",0.272,0.245,0.213,0.238,0.327,0.188,0.264
"P01","Monotributista o autónomo",0.117,0.16,0.154,0.162,0.061,0.139,0.093
"P01","Empresario",0.013,0.021,0.02,0.026,0.001,0.073,0.011
"P01","Estudiante",0.024,0.027,0.026,0.049,0.031,0.014,0.009
"P01","Otro",0.056,0.068,0.061,0.075,0.07,0.15,0.067
"P02","Menos de $50.000 mensuales",0.482,0.446,0.458,0.429,0.572,0.334,0.524
"P02","Entre $50.000 y $100.000 mensuales",0.207,0.242,0.225,0.205,0.19,0.332,0.227
"P02","Entre $100.000 y $150.000 mensuales",0.169,0.136,0.157,0.18,0.128,0.136,0.125
"P02","Entre $150.000 y $200.000 mensuales",0.052,0.09,0.058,0.065,0.011,0.124,0.054
"P02","Entre $200.000 y $250.000 mensuales",0.032,0.028,0.043,0.055,0.028,0.012,0.021
"P02","Entre $250.000 y $300.000 mensuales",0.02,0.02,0.01,0.026,0.004,0.015,0.015
"P02","Más de $300.000",0.038,0.038,0.049,0.04,0.067,0.047,0.034
"P03","Si, tengo",0.135,0.151,0.141,0.088,0.134,0.11,0.094
"P03","No, no tengo",0.865,0.849,0.859,0.912,0.866,0.89,0.906
"P04","Si",0.366,0.27,0.289,0.243,0.04,0.324,0.22
"P04","No",0.634,0.73,0.711,0.757,0.96,0.676,0.78
"P05","Si",0.165,0.187,0.157,0.182,0.185,0.194,0.118
"P05","No",0.835,0.813,0.843,0.818,0.815,0.806,0.882
"P06","Si",0.35,0.212,0.263,0.239,0.447,0.411,0.196
"P06","No",0.65,0.788,0.737,0.761,0.553,0.589,0.804
"P07","Si, lo tomaría",0.193,0.235,0.184,0.232,0.13,0.078,0.101
"P07","Probablemente si",0.294,0.326,0.302,0.245,0.279,0.321,0.242
"P07","Probablemente no",0.241,0.218,0.206,0.237,0.244,0.146,0.251
"P07","No. no lo tomaría",0.218,0.171,0.21,0.214,0.261,0.401,0.31
"P07","No sabe",0.054,0.05,0.098,0.072,0.086,0.054,0.096
"P08","Si",0.501,0.466,0.491,0.517,0.383,0.538,0.387
"P08","No",0.499,0.534,0.509,0.483,0.617,0.462,0.613
"P09","1",0.391,0.309,0.313,0.324,0.255,0.279,0.322
"P09","2",0.131,0.17,0.148,0.123,0.19,0.092,0.152
"P09","3",0.046,0.05,0.048,0.06,0.06,0.052,0.034
"P09","4",0.02,0.021,0.034,0.048,0.022,0.027,0.024
"P09","5",0.126,0.15,0.137,0.167,0.17,0.113,0.111
"P09","6",0.015,0.026,0.035,0.014,0.023,0.061,0.018
"P09","7",0.022,0.026,0.027,0.028,0.01,0.067,0.02
"P09","8",0.031,0.045,0.028,0.03,0.022,0.063,0.032
"P09","9",0.218,0.203,0.23,0.206,0.248,0.246,0.287
"P10","Muy convenientes",0.099,0.086,0.082,0.044,0.04,0.019,0.04
"P10","Bastante convenientes",0.085,0.071,0.046,0.038,0.058,0.028,0.029
"P10","Algo convenientes",0.119,0.135,0.147,0.133,0.104,0.134,0.074
"P10","Poco convenientes",0.227,0.211,0.214,0.256,0.235,0.13,0.175
"P10","Nada convenientes",0.357,0.406,0.341,0.368,0.381,0.485,0.423
"P10","No sabe",0.113,0.091,0.17,0.161,0.182,0.204,0.259
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.194,0.17,0.174,0.222,0.193,0.214,0.138
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.589,0.61,0.578,0.538,0.498,0.58,0.469
"P11","No sabe",0.217,0.22,0.248,0.24,0.309,0.206,0.393
"P12","Si",0.654,0.596,0.597,0.732,0.6,0.567,0.516
"P12","No",0.346,0.404,0.403,0.268,0.4,0.433,0.484
"P13","Banco Publico o cooperativo",0.629,0.54,0.456,0.509,0.519,0.522,0.524
"P13","Banco privado",0.286,0.378,0.477,0.42,0.392,0.455,0.364
"P13","No sabe",0.085,0.082,0.067,0.071,0.089,0.023,0.112
"P14","Banco Nacion",0.562,0.371,0.421,0.32,0.407,0.393,0.359
"P14","Banco Provincia",0.241,0.26,0.22,0.291,0.345,0.238,0.253
"P14","Banco Ciudad",0.026,0.027,0.046,0.06,0.017,0.043,0.038
"P14","Bancor, Banco de Cordoba",0.044,0.026,0.031,0.039,0.008,0.042,0.035
"P14","Nuevo Banco de Santa Fe",0.008,0.026,0.002,0.013,0,0,0.005
"P14","Credicoop",0.021,0.036,0.029,0.066,0.034,0.071,0.042
"P14","Otro",0.098,0.254,0.251,0.211,0.189,0.213,0.268
"P15","Santander",0.165,0.216,0.224,0.121,0.108,0.111,0.21
"P15","Galicia",0.244,0.269,0.271,0.239,0.373,0.134,0.191
"P15","Macro",0.087,0.088,0.053,0.185,0.189,0.174,0.128
"P15","Frances",0.112,0.12,0.085,0.15,0.057,0.227,0.065
"P15","ICBC",0.074,0.049,0.104,0.071,0.029,0.104,0.049
"P15","Patagonia",0.053,0.038,0.043,0.029,0,0.006,0.05
"P15","No sabe",0.265,0.22,0.22,0.205,0.244,0.244,0.307
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.682,0.236,0.086,0.183,0.31,0.193,0.08
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.199,0.651,0.459,0.669,0.451,0.599,0.135
"P16","No sabe",0.119,0.113,0.455,0.148,0.239,0.208,0.785
"P18","Si, las conozco",0.541,0.37,0.29,0.418,0.493,0.417,0.206
"P18","No, no las conozco",0.459,0.63,0.71,0.582,0.507,0.583,0.794
"P19","Si",0.633,0.589,0.518,0.722,0.495,0.53,0.201
"P19","No",0.367,0.411,0.482,0.278,0.505,0.47,0.799
"P20","MODO",0.308,0.204,0.088,0.134,0.173,0.134,0.127
"P20","Cuenta DNI",0.217,0.129,0.093,0.153,0.076,0.125,0.104
"P20","Mercado de Pago",0.273,0.513,0.622,0.484,0.469,0.483,0.423
"P20","Ualá",0.016,0.027,0.004,0.051,0.04,0.031,0.034
"P20","Brubank",0.02,0.014,0.036,0.022,0.006,0.012,0.022
"P20","Naranja X",0.011,0.012,0.019,0.038,0.143,0.008,0.01
"P20","Otra",0.155,0.101,0.138,0.118,0.093,0.207,0.28
"P21","Para pagar en comercios con el celular",0.464,0.335,0.357,0.503,0.45,0.371,0.382
"P21","Para transferir / enviar o recibir dinero de terceros",0.334,0.293,0.334,0.275,0.232,0.375,0.263
"P21","Para usarla para trabajar / cobrar / vender",0.096,0.218,0.176,0.082,0.183,0.141,0.132
"P21","Para pagar servicios",0.087,0.099,0.052,0.095,0.056,0.064,0.134
"P21","Para extraer dinero sin tarjeta",0.008,0.019,0.019,0.017,0.015,0.007,0.025
"P21","Para recargar el celular / tarjeta de transporte",0.011,0.036,0.062,0.028,0.064,0.042,0.064
"P22","Usas más efectivo que antes",0.159,0.121,0.054,0.076,0.052,0.154,0.089
"P22","Usas la misma cantidad de efectivo que antes",0.294,0.313,0.254,0.255,0.272,0.244,0.35
"P22","Usas menos efectivo que antes",0.547,0.566,0.692,0.669,0.676,0.602,0.561
"P23","Tener mayor control de tus gastos",0.414,0.436,0.311,0.455,0.536,0.482,0.319
"P23","Tener igual control de tus gastos",0.461,0.423,0.509,0.464,0.272,0.499,0.509
"P23","Tener menor control de tus gastos",0.125,0.141,0.18,0.081,0.192,0.019,0.172
"P24","Muy de acuerdo",0.408,0.427,0.353,0.374,0.4,0.264,0.2
"P24","De acuerdo",0.271,0.266,0.184,0.256,0.242,0.261,0.286
"P24","Algo de acuerdo",0.214,0.192,0.269,0.225,0.158,0.312,0.237
"P24","Poco de acuerdo",0.046,0.062,0.118,0.077,0.045,0.103,0.14
"P24","Nada de acuerdo",0.061,0.053,0.076,0.068,0.155,0.06,0.137
"P25","Deberían mantenerse y ampliarse aún mas",0.422,0.377,0.337,0.39,0.31,0.401,0.188
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.466,0.478,0.478,0.471,0.442,0.429,0.421
"P25","Deberian limitarse a los estrictamente necesarios",0.069,0.075,0.09,0.069,0.135,0.071,0.131
"P25","Deberian eliminarse y volverse a la situación anterior",0.043,0.07,0.095,0.07,0.113,0.099,0.26
"P26","Sí, compraría",0.225,0.255,0.161,0.269,0.213,0.271,0.091
"P26","No, no tengo suficiente información",0.488,0.472,0.508,0.434,0.512,0.391,0.473
"P26","No, me resulta una inversión riesgosa",0.117,0.108,0.113,0.12,0.102,0.122,0.097
"P26","No, me parece una inversión poco confiable",0.063,0.07,0.095,0.075,0.039,0.11,0.11
"P26","No me interesa",0.107,0.095,0.123,0.102,0.134,0.106,0.229
"P27","Si",0.257,0.317,0.229,0.372,0.185,0.274,0.141
"P27","No",0.743,0.683,0.771,0.628,0.815,0.726,0.859
"P28","Muy seguro",0.323,0.281,0.196,0.304,0.13,0.178,0.094
"P28","Bastante seguro",0.314,0.328,0.33,0.261,0.311,0.378,0.19
"P28","Seguro",0.191,0.176,0.222,0.248,0.207,0.163,0.153
"P28","Poco seguro",0.081,0.089,0.081,0.087,0.076,0.048,0.101
"P28","Nada seguro",0.019,0.049,0.06,0.034,0.115,0.061,0.106
"P28","No hago operaciones online",0.072,0.077,0.111,0.066,0.161,0.172,0.356
