"var","categoria","La falta de visión de largo plazo para el desarrollo productivo regional","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional","La ausencia de evaluaciones de impacto productivo de los programas a implementar","No sabe"
"P01","Empleado en relación de dependencia",0.33,0.306,0.23,0.238
"P01","Jubilado o pensionado",0.22,0.237,0.322,0.291
"P01","Desempleado",0.173,0.233,0.19,0.244
"P01","Monotributista o autónomo",0.182,0.122,0.138,0.108
"P01","Empresario",0.031,0.013,0.019,0.008
"P01","Estudiante",0.014,0.02,0.03,0.013
"P01","Otro",0.05,0.069,0.071,0.098
"P02","Menos de $50.000 mensuales",0.35,0.385,0.378,0.501
"P02","Entre $50.000 y $100.000 mensuales",0.244,0.234,0.311,0.217
"P02","Entre $100.000 y $150.000 mensuales",0.172,0.183,0.149,0.147
"P02","Entre $150.000 y $200.000 mensuales",0.108,0.082,0.058,0.059
"P02","Entre $200.000 y $250.000 mensuales",0.044,0.053,0.034,0.028
"P02","Entre $250.000 y $300.000 mensuales",0.026,0.012,0.018,0.01
"P02","Más de $300.000",0.056,0.051,0.052,0.038
"P03","Si, tengo",0.139,0.138,0.121,0.101
"P03","No, no tengo",0.861,0.862,0.879,0.899
"P04","Si",0.391,0.375,0.295,0.206
"P04","No",0.609,0.625,0.705,0.794
"P05","Si",0.152,0.134,0.199,0.138
"P05","No",0.848,0.866,0.801,0.862
"P06","Si",0.33,0.235,0.212,0.215
"P06","No",0.67,0.765,0.788,0.785
"P07","Si, lo tomaría",0.281,0.186,0.174,0.127
"P07","Probablemente si",0.257,0.289,0.27,0.267
"P07","Probablemente no",0.187,0.227,0.302,0.206
"P07","No. no lo tomaría",0.236,0.218,0.228,0.282
"P07","No sabe",0.039,0.08,0.026,0.118
"P08","Si",0.615,0.543,0.569,0.41
"P08","No",0.385,0.457,0.431,0.59
"P09","1",0.384,0.349,0.363,0.329
"P09","2",0.164,0.181,0.141,0.117
"P09","3",0.043,0.034,0.056,0.058
"P09","4",0.028,0.039,0.023,0.02
"P09","5",0.124,0.138,0.123,0.136
"P09","6",0.021,0.024,0.04,0.027
"P09","7",0.031,0.011,0.011,0.024
"P09","8",0.034,0.034,0.04,0.025
"P09","9",0.171,0.19,0.203,0.264
"P10","Muy convenientes",0.075,0.08,0.063,0.051
"P10","Bastante convenientes",0.056,0.052,0.036,0.045
"P10","Algo convenientes",0.123,0.114,0.117,0.097
"P10","Poco convenientes",0.216,0.237,0.245,0.17
"P10","Nada convenientes",0.425,0.418,0.423,0.373
"P10","No sabe",0.105,0.099,0.116,0.264
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.278,0.187,0.163,0.136
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.553,0.654,0.679,0.477
"P11","No sabe",0.169,0.159,0.158,0.387
"P12","Si",0.71,0.638,0.644,0.611
"P12","No",0.29,0.362,0.356,0.389
"P13","Banco Publico o cooperativo",0.513,0.555,0.62,0.554
"P13","Banco privado",0.446,0.395,0.355,0.353
"P13","No sabe",0.041,0.05,0.025,0.093
"P14","Banco Nacion",0.399,0.429,0.412,0.404
"P14","Banco Provincia",0.201,0.264,0.267,0.325
"P14","Banco Ciudad",0.04,0.029,0.07,0.022
"P14","Bancor, Banco de Cordoba",0.04,0.064,0.022,0.034
"P14","Nuevo Banco de Santa Fe",0.014,0.01,0.003,0.014
"P14","Credicoop",0.034,0.061,0.068,0.025
"P14","Otro",0.272,0.143,0.158,0.176
"P15","Santander",0.226,0.149,0.168,0.188
"P15","Galicia",0.275,0.203,0.241,0.236
"P15","Macro",0.075,0.098,0.122,0.114
"P15","Frances",0.13,0.129,0.114,0.11
"P15","ICBC",0.055,0.079,0.087,0.064
"P15","Patagonia",0.014,0.038,0.105,0.039
"P15","No sabe",0.225,0.304,0.163,0.249
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.263,0.336,0.252,0.226
