"var","categoria","Para pagar en comercios con el celular","Para transferir / enviar o recibir dinero de terceros","Para usarla para trabajar / cobrar / vender","Para pagar servicios","Para extraer dinero sin tarjeta","Para recargar el celular / tarjeta de transporte"
"P01","Empleado en relación de dependencia",0.381,0.255,0.238,0.233,0.48,0.158
"P01","Jubilado o pensionado",0.234,0.159,0.128,0.143,0.153,0.292
"P01","Desempleado",0.163,0.303,0.281,0.342,0.201,0.228
"P01","Monotributista o autónomo",0.119,0.153,0.261,0.169,0.108,0.168
"P01","Empresario",0.022,0.006,0.031,0.031,0.037,0.005
"P01","Estudiante",0.025,0.028,0.027,0.014,0,0.052
"P01","Otro",0.056,0.096,0.034,0.068,0.021,0.097
"P02","Menos de $50.000 mensuales",0.363,0.445,0.462,0.471,0.398,0.526
"P02","Entre $50.000 y $100.000 mensuales",0.246,0.224,0.191,0.262,0.407,0.216
"P02","Entre $100.000 y $150.000 mensuales",0.183,0.158,0.164,0.143,0.097,0.2
"P02","Entre $150.000 y $200.000 mensuales",0.085,0.053,0.104,0.041,0.062,0.019
"P02","Entre $200.000 y $250.000 mensuales",0.041,0.047,0.024,0.035,0.007,0.009
"P02","Entre $250.000 y $300.000 mensuales",0.028,0.013,0.016,0.011,0,0.005
"P02","Más de $300.000",0.054,0.06,0.039,0.037,0.029,0.025
"P03","Si, tengo",0.131,0.113,0.145,0.066,0.022,0.169
"P03","No, no tengo",0.869,0.887,0.855,0.934,0.978,0.831
"P04","Si",0.393,0.331,0.294,0.534,0,0.469
"P04","No",0.607,0.669,0.706,0.466,1,0.531
"P05","Si",0.178,0.175,0.135,0.166,0.318,0.255
"P05","No",0.822,0.825,0.865,0.834,0.682,0.745
"P06","Si",0.322,0.176,0.253,0.2,0.235,0.463
"P06","No",0.678,0.824,0.747,0.8,0.765,0.537
"P07","Si, lo tomaría",0.251,0.17,0.252,0.244,0.243,0.179
"P07","Probablemente si",0.245,0.265,0.364,0.276,0.307,0.124
"P07","Probablemente no",0.195,0.26,0.134,0.19,0.135,0.317
"P07","No. no lo tomaría",0.248,0.256,0.188,0.234,0.266,0.316
"P07","No sabe",0.061,0.049,0.062,0.056,0.049,0.064
"P08","Si",0.611,0.467,0.438,0.59,0.348,0.359
"P08","No",0.389,0.533,0.562,0.41,0.652,0.641
"P09","1",0.377,0.331,0.377,0.325,0.393,0.286
"P09","2",0.107,0.129,0.117,0.069,0.065,0.302
"P09","3",0.056,0.055,0.041,0.088,0.037,0.082
"P09","4",0.036,0.017,0.027,0.041,0,0.02
"P09","5",0.138,0.184,0.111,0.149,0.199,0.135
"P09","6",0.03,0.021,0.059,0.01,0.035,0
"P09","7",0.021,0.032,0.038,0.044,0,0
"P09","8",0.035,0.03,0.013,0.054,0.013,0.023
"P09","9",0.2,0.201,0.217,0.22,0.258,0.152
"P10","Muy convenientes",0.075,0.064,0.084,0.023,0.09,0.124
"P10","Bastante convenientes",0.05,0.034,0.053,0.062,0.026,0.02
"P10","Algo convenientes",0.093,0.132,0.141,0.071,0.304,0.134
"P10","Poco convenientes",0.22,0.224,0.19,0.215,0.241,0.168
"P10","Nada convenientes",0.44,0.364,0.38,0.49,0.266,0.334
"P10","No sabe",0.122,0.182,0.152,0.139,0.073,0.22
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.216,0.201,0.162,0.133,0.086,0.186
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.62,0.535,0.632,0.582,0.555,0.406
"P11","No sabe",0.164,0.264,0.206,0.285,0.359,0.408
"P12","Si",0.781,0.745,0.549,0.698,0.607,0.724
"P12","No",0.219,0.255,0.451,0.302,0.393,0.276
"P13","Banco Publico o cooperativo",0.557,0.579,0.521,0.475,0.21,0.467
"P13","Banco privado",0.391,0.36,0.428,0.466,0.79,0.451
"P13","No sabe",0.052,0.061,0.051,0.059,0,0.082
"P14","Banco Nacion",0.471,0.5,0.48,0.401,0.42,0.516
"P14","Banco Provincia",0.275,0.266,0.17,0.286,0.162,0.086
"P14","Banco Ciudad",0.062,0.026,0.008,0.04,0,0.023
"P14","Bancor, Banco de Cordoba",0.017,0.016,0.114,0.051,0,0.075
"P14","Nuevo Banco de Santa Fe",0.014,0.015,0.028,0.007,0,0
"P14","Credicoop",0.027,0.046,0.011,0.026,0,0
"P14","Otro",0.134,0.131,0.189,0.189,0.418,0.3
"P15","Santander",0.192,0.148,0.127,0.165,0.625,0.258
"P15","Galicia",0.222,0.293,0.446,0.197,0.117,0.086
"P15","Macro",0.099,0.064,0.119,0.219,0.087,0.059
"P15","Frances",0.119,0.105,0.097,0.097,0.084,0.061
"P15","ICBC",0.055,0.076,0.109,0.019,0,0
"P15","Patagonia",0.041,0.053,0.004,0.053,0.01,0.053
"P15","No sabe",0.272,0.261,0.098,0.25,0.077,0.483
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.397,0.406,0.211,0.289,0.335,0.164
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.452,0.449,0.645,0.503,0.545,0.5
"P16","No sabe",0.151,0.145,0.144,0.208,0.12,0.336
"P17","Porque son mas seguras",0.312,0.301,0.179,0.262,0.146,0.081
"P17","Porque los costos del servicio son menores",0.221,0.258,0.398,0.291,0.313,0.263
"P17","Porque tienen mas clientes adheridos",0.12,0.151,0.165,0.079,0.159,0.234
"P17","Porque la calidad de la aplicación",0.162,0.119,0.073,0.137,0.135,0.102
"P17","Por la calidad de la atención al cliente",0.039,0.027,0.044,0.022,0.033,0.062
"P17","Por la eficiencia en la solución de reclamos",0.023,0.031,0.024,0.017,0.011,0.028
"P17","No sabe",0.123,0.113,0.117,0.192,0.203,0.23
"P18","Si, las conozco",0.459,0.519,0.63,0.503,0.438,0.589
"P18","No, no las conozco",0.541,0.481,0.37,0.497,0.562,0.411
"P20","MODO",0.231,0.214,0.105,0.118,0.285,0.135
"P20","Cuenta DNI",0.15,0.209,0.068,0.084,0.112,0.105
"P20","Mercado de Pago",0.413,0.39,0.683,0.539,0.274,0.199
"P20","Ualá",0.021,0.026,0.026,0.048,0.024,0.027
"P20","Brubank",0.009,0.025,0.018,0.044,0.062,0.066
"P20","Naranja X",0.006,0.027,0.027,0.024,0.054,0.099
"P20","Otra",0.17,0.109,0.073,0.143,0.189,0.369
"P22","Usas más efectivo que antes",0.171,0.053,0.071,0.079,0.159,0.122
"P22","Usas la misma cantidad de efectivo que antes",0.22,0.38,0.296,0.27,0.288,0.48
"P22","Usas menos efectivo que antes",0.609,0.567,0.633,0.651,0.553,0.398
"P23","Tener mayor control de tus gastos",0.432,0.443,0.303,0.362,0.355,0.315
"P23","Tener igual control de tus gastos",0.445,0.452,0.489,0.479,0.529,0.443
"P23","Tener menor control de tus gastos",0.123,0.105,0.208,0.159,0.116,0.242
"P24","Muy de acuerdo",0.387,0.397,0.324,0.311,0.365,0.286
"P24","De acuerdo",0.243,0.261,0.316,0.248,0.165,0.159
"P24","Algo de acuerdo",0.226,0.21,0.198,0.263,0.265,0.223
"P24","Poco de acuerdo",0.076,0.068,0.082,0.088,0.07,0.16
"P24","Nada de acuerdo",0.068,0.064,0.08,0.09,0.135,0.172
"P25","Deberían mantenerse y ampliarse aún mas",0.482,0.475,0.361,0.341,0.546,0.293
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.406,0.391,0.438,0.532,0.328,0.492
"P25","Deberian limitarse a los estrictamente necesarios",0.071,0.09,0.093,0.069,0.094,0.111
"P25","Deberian eliminarse y volverse a la situación anterior",0.041,0.044,0.108,0.058,0.032,0.104
"P26","Sí, compraría",0.281,0.238,0.256,0.15,0.169,0.344
"P26","No, no tengo suficiente información",0.416,0.465,0.393,0.538,0.58,0.292
"P26","No, me resulta una inversión riesgosa",0.127,0.135,0.094,0.119,0.039,0.161
"P26","No, me parece una inversión poco confiable",0.084,0.053,0.14,0.095,0.088,0.021
"P26","No me interesa",0.092,0.109,0.117,0.098,0.124,0.182
"P27","Si",0.363,0.275,0.319,0.294,0.253,0.281
"P27","No",0.637,0.725,0.681,0.706,0.747,0.719
"P28","Muy seguro",0.373,0.314,0.315,0.269,0.28,0.153
"P28","Bastante seguro",0.318,0.34,0.321,0.302,0.29,0.18
"P28","Seguro",0.215,0.232,0.26,0.247,0.091,0.326
"P28","Poco seguro",0.055,0.053,0.054,0.124,0.08,0.059
"P28","Nada seguro",0.016,0.013,0.012,0.035,0.13,0.146
"P28","No hago operaciones online",0.023,0.048,0.038,0.023,0.129,0.136
"P29","Sí, he sido víctima",0.221,0.174,0.232,0.174,0.237,0.231
"P29","No, no he sido víctima",0.738,0.748,0.671,0.73,0.55,0.59
"P29","No sabe",0.041,0.078,0.097,0.096,0.213,0.179
"P30","Estafa por redes sociales",0.313,0.38,0.148,0.267,0.523,0.172
"P30","Estafa telefónica",0.145,0.163,0.261,0.129,0.342,0.36
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.14,0.072,0.132,0.091,0,0
"P30","Virus",0.002,0.024,0.094,0,0.05,0.029
"P30","Otros",0.4,0.361,0.365,0.513,0.085,0.439
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.248,0.216,0.179,0.235,0.167,0.196
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.327,0.338,0.368,0.291,0.115,0.231
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.271,0.275,0.282,0.334,0.482,0.363
"P31","No sabe",0.154,0.171,0.171,0.14,0.236,0.21
"P32","Si, he limitado las operaciones",0.179,0.16,0.161,0.229,0.337,0.132
"P32","He limitado parcialmente",0.229,0.237,0.22,0.269,0.201,0.298
"P32","No, continúo operando igual que siempre",0.592,0.603,0.619,0.502,0.462,0.57
"P33","1",0.255,0.249,0.233,0.249,0.384,0.309
"P33","2",0.096,0.129,0.132,0.07,0.109,0.084
"P33","3",0.136,0.125,0.247,0.091,0.131,0.309
"P33","4",0.053,0.056,0.055,0.121,0.067,0.028
"P33","5",0.204,0.162,0.15,0.27,0.022,0.071
"P33","6",0.042,0.036,0.067,0.058,0.118,0.017
"P33","7",0.053,0.053,0.015,0.027,0.074,0.085
"P33","8",0.045,0.039,0.014,0.029,0,0.013
"P33","9",0.116,0.151,0.087,0.085,0.095,0.084
"P34","1",0.253,0.303,0.277,0.279,0.226,0.396
"P34","2",0.121,0.09,0.126,0.1,0.059,0.039
"P34","3",0.091,0.072,0.063,0.094,0.052,0.093
"P34","4",0.084,0.089,0.083,0.143,0.064,0
"P34","5",0.248,0.182,0.195,0.208,0.424,0.117
"P34","6",0.037,0.05,0.067,0.059,0.031,0.018
"P34","7",0.038,0.048,0.032,0.02,0,0.061
"P34","8",0.038,0.048,0.024,0.027,0.013,0.021
"P34","9",0.09,0.118,0.133,0.07,0.131,0.255
"P35","1",0.24,0.229,0.214,0.183,0.191,0.258
"P35","2",0.088,0.059,0.089,0.086,0.082,0.085
"P35","3",0.032,0.032,0.015,0.092,0.024,0.047
"P35","4",0.035,0.026,0.093,0.097,0,0.017
"P35","5",0.148,0.189,0.176,0.117,0.311,0.167
"P35","6",0.044,0.04,0.042,0.034,0.092,0
"P35","7",0.03,0.079,0.027,0.056,0.073,0.021
"P35","8",0.114,0.07,0.024,0.077,0.088,0.019
"P35","9",0.269,0.276,0.32,0.258,0.139,0.386
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.369,0.264,0.378,0.201,0.046,0.405
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.204,0.245,0.225,0.287,0.159,0.111
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.215,0.239,0.146,0.244,0.122,0.232
"P36","No sabe",0.212,0.252,0.251,0.268,0.673,0.252
"P37","Muy buena",0.077,0.125,0.073,0.039,0.071,0.144
"P37","Buena",0.142,0.143,0.07,0.133,0.172,0.189
"P37","Ni buena ni mala",0.144,0.177,0.197,0.222,0.123,0.126
"P37","Mala",0.139,0.161,0.171,0.189,0.06,0.078
"P37","Muy mala",0.493,0.373,0.47,0.411,0.574,0.364
"P37","No sabe",0.005,0.021,0.019,0.006,0,0.099
"P38","Gran excedente habitual",0.011,0.011,0.002,0,0.013,0.013
"P38","Gran excedente excepcional",0.007,0.014,0.001,0.016,0,0.036
"P38","Pequeño excedente habitual",0.072,0.09,0.062,0.038,0.016,0.141
"P38","Pequeño excedente excepcional",0.078,0.071,0.076,0.049,0.025,0.032
"P38","Alcanza gastos familia",0.198,0.139,0.13,0.146,0.17,0.033
"P38","No alcanza gastos familia",0.188,0.14,0.253,0.097,0.412,0.16
"P38","Solo NBFamiliares",0.216,0.244,0.191,0.289,0.141,0.197
"P38","No alcanza NBFamiliares",0.224,0.272,0.27,0.36,0.2,0.383
"P38","No sabe",0.006,0.019,0.015,0.005,0.023,0.005
"P39","Mejor",0.115,0.145,0.136,0.062,0.136,0.048
"P39","Igual",0.246,0.282,0.167,0.383,0.191,0.13
"P39","Peor",0.553,0.505,0.522,0.46,0.658,0.64
"P39","No sabe",0.086,0.068,0.175,0.095,0.015,0.182
