"var","categoria","Tener mayor control de tus gastos","Tener igual control de tus gastos","Tener menor control de tus gastos"
"P01","Empleado en relación de dependencia",0.291,0.308,0.325
"P01","Jubilado o pensionado",0.171,0.192,0.171
"P01","Desempleado",0.274,0.211,0.236
"P01","Monotributista o autónomo",0.148,0.169,0.178
"P01","Empresario",0.021,0.021,0.016
"P01","Estudiante",0.033,0.024,0.02
"P01","Otro",0.062,0.075,0.054
"P02","Menos de $50.000 mensuales",0.446,0.391,0.452
"P02","Entre $50.000 y $100.000 mensuales",0.225,0.243,0.209
"P02","Entre $100.000 y $150.000 mensuales",0.167,0.169,0.154
"P02","Entre $150.000 y $200.000 mensuales",0.057,0.082,0.1
"P02","Entre $200.000 y $250.000 mensuales",0.039,0.04,0.028
"P02","Entre $250.000 y $300.000 mensuales",0.017,0.02,0.02
"P02","Más de $300.000",0.049,0.055,0.037
"P03","Si, tengo",0.119,0.107,0.159
"P03","No, no tengo",0.881,0.893,0.841
"P04","Si",0.333,0.318,0.39
"P04","No",0.667,0.682,0.61
"P05","Si",0.185,0.16,0.161
"P05","No",0.815,0.84,0.839
"P06","Si",0.189,0.305,0.421
"P06","No",0.811,0.695,0.579
"P07","Si, lo tomaría",0.234,0.224,0.19
"P07","Probablemente si",0.258,0.289,0.274
"P07","Probablemente no",0.21,0.211,0.159
"P07","No. no lo tomaría",0.226,0.236,0.324
"P07","No sabe",0.072,0.04,0.053
"P08","Si",0.495,0.554,0.528
"P08","No",0.505,0.446,0.472
"P09","1",0.354,0.351,0.356
"P09","2",0.113,0.104,0.159
"P09","3",0.054,0.057,0.052
"P09","4",0.036,0.027,0.02
"P09","5",0.158,0.147,0.145
"P09","6",0.015,0.048,0.005
"P09","7",0.027,0.029,0.019
"P09","8",0.026,0.045,0.021
"P09","9",0.217,0.192,0.223
"P10","Muy convenientes",0.075,0.048,0.091
"P10","Bastante convenientes",0.073,0.034,0.035
"P10","Algo convenientes",0.112,0.122,0.101
"P10","Poco convenientes",0.23,0.2,0.212
"P10","Nada convenientes",0.364,0.436,0.463
"P10","No sabe",0.146,0.16,0.098
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.182,0.196,0.224
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.642,0.564,0.516
"P11","No sabe",0.176,0.24,0.26
"P12","Si",0.762,0.726,0.61
"P12","No",0.238,0.274,0.39
"P13","Banco Publico o cooperativo",0.592,0.49,0.586
"P13","Banco privado",0.356,0.448,0.363
"P13","No sabe",0.052,0.062,0.051
"P14","Banco Nacion",0.512,0.455,0.429
"P14","Banco Provincia",0.251,0.259,0.227
"P14","Banco Ciudad",0.036,0.046,0.052
"P14","Bancor, Banco de Cordoba",0.034,0.04,0.014
"P14","Nuevo Banco de Santa Fe",0.021,0.011,0.011
"P14","Credicoop",0.017,0.048,0.031
"P14","Otro",0.129,0.141,0.236
"P15","Santander",0.203,0.169,0.139
"P15","Galicia",0.233,0.237,0.359
"P15","Macro",0.107,0.119,0.059
"P15","Frances",0.075,0.137,0.045
"P15","ICBC",0.047,0.084,0.015
"P15","Patagonia",0.058,0.035,0.016
"P15","No sabe",0.277,0.219,0.367
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.372,0.354,0.31
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.495,0.468,0.497
"P16","No sabe",0.133,0.178,0.193
"P17","Porque son mas seguras",0.281,0.277,0.251
"P17","Porque los costos del servicio son menores",0.288,0.247,0.275
"P17","Porque tienen mas clientes adheridos",0.103,0.149,0.177
"P17","Porque la calidad de la aplicación",0.146,0.132,0.077
"P17","Por la calidad de la atención al cliente",0.049,0.022,0.052
"P17","Por la eficiencia en la solución de reclamos",0.03,0.028,0.003
"P17","No sabe",0.103,0.145,0.165
"P18","Si, las conozco",0.524,0.459,0.579
"P18","No, no las conozco",0.476,0.541,0.421
"P20","MODO",0.207,0.19,0.217
"P20","Cuenta DNI",0.154,0.149,0.108
