"var","categoria","No intervenir y quien tomó el crédito debe hacerse cargo","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos","No sabe"
"P01","Empleado en relación de dependencia",0.297,0.313,0.198
"P01","Jubilado o pensionado",0.2,0.231,0.26
"P01","Desempleado",0.237,0.229,0.35
"P01","Monotributista o autónomo",0.169,0.132,0.079
"P01","Empresario",0.029,0.015,0.011
"P01","Estudiante",0.021,0.018,0.028
"P01","Otro",0.047,0.062,0.074
"P02","Menos de $50.000 mensuales",0.414,0.452,0.58
"P02","Entre $50.000 y $100.000 mensuales",0.206,0.247,0.189
"P02","Entre $100.000 y $150.000 mensuales",0.163,0.152,0.129
"P02","Entre $150.000 y $200.000 mensuales",0.08,0.067,0.038
"P02","Entre $200.000 y $250.000 mensuales",0.049,0.031,0.017
"P02","Entre $250.000 y $300.000 mensuales",0.019,0.018,0.015
"P02","Más de $300.000",0.069,0.033,0.032
"P03","Si, tengo",0.11,0.132,0.103
"P03","No, no tengo",0.89,0.868,0.897
"P04","Si",0.249,0.269,0.22
"P04","No",0.751,0.731,0.78
"P05","Si",0.128,0.192,0.099
"P05","No",0.872,0.808,0.901
"P06","Si",0.288,0.275,0.253
"P06","No",0.712,0.725,0.747
"P07","Si, lo tomaría",0.225,0.182,0.086
"P07","Probablemente si",0.265,0.302,0.287
"P07","Probablemente no",0.213,0.209,0.272
"P07","No. no lo tomaría",0.245,0.24,0.257
"P07","No sabe",0.052,0.067,0.098
"P08","Si",0.513,0.521,0.238
"P08","No",0.487,0.479,0.762
"P09","1",0.272,0.382,0.241
"P09","2",0.153,0.131,0.2
"P09","3",0.046,0.043,0.04
"P09","4",0.014,0.033,0.022
"P09","5",0.128,0.134,0.132
"P09","6",0.026,0.026,0.015
"P09","7",0.033,0.02,0.02
"P09","8",0.042,0.035,0.031
"P09","9",0.286,0.196,0.299
"P10","Muy convenientes",0.127,0.061,0.044
"P10","Bastante convenientes",0.055,0.06,0.036
"P10","Algo convenientes",0.093,0.104,0.144
"P10","Poco convenientes",0.199,0.225,0.172
"P10","Nada convenientes",0.421,0.431,0.285
"P10","No sabe",0.105,0.119,0.319
"P12","Si",0.716,0.626,0.53
"P12","No",0.284,0.374,0.47
"P13","Banco Publico o cooperativo",0.476,0.553,0.568
"P13","Banco privado",0.447,0.384,0.294
"P13","No sabe",0.077,0.063,0.138
"P14","Banco Nacion",0.475,0.395,0.422
"P14","Banco Provincia",0.214,0.272,0.211
"P14","Banco Ciudad",0.046,0.031,0.035
"P14","Bancor, Banco de Cordoba",0.022,0.037,0.044
"P14","Nuevo Banco de Santa Fe",0.013,0.013,0.007
"P14","Credicoop",0.037,0.042,0.031
"P14","Otro",0.193,0.21,0.25
"P15","Santander",0.162,0.207,0.161
"P15","Galicia",0.285,0.191,0.273
"P15","Macro",0.088,0.12,0.129
"P15","Frances",0.125,0.111,0.068
"P15","ICBC",0.07,0.062,0.064
"P15","Patagonia",0.019,0.045,0.058
"P15","No sabe",0.251,0.264,0.247
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.258,0.287,0.173
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.445,0.349,0.341
"P16","No sabe",0.297,0.364,0.486
"P17","Porque son mas seguras",0.222,0.212,0.151
"P17","Porque los costos del servicio son menores",0.212,0.239,0.167
"P17","Porque tienen mas clientes adheridos",0.134,0.139,0.115
"P17","Porque la calidad de la aplicación",0.115,0.087,0.075
"P17","Por la calidad de la atención al cliente",0.034,0.027,0.033
"P17","Por la eficiencia en la solución de reclamos",0.025,0.022,0.015
"P17","No sabe",0.258,0.274,0.444
"P18","Si, las conozco",0.437,0.349,0.312
"P18","No, no las conozco",0.563,0.651,0.688
"P19","Si",0.537,0.516,0.373
"P19","No",0.463,0.484,0.627
"P20","MODO",0.227,0.194,0.166
"P20","Cuenta DNI",0.13,0.16,0.122
"P20","Mercado de Pago",0.453,0.443,0.442
"P20","Ualá",0.031,0.022,0.029
"P20","Brubank",0.007,0.028,0.014
"P20","Naranja X",0.016,0.022,0.019
"P20","Otra",0.136,0.131,0.208
"P21","Para pagar en comercios con el celular",0.456,0.432,0.298
"P21","Para transferir / enviar o recibir dinero de terceros",0.316,0.278,0.358
"P21","Para usarla para trabajar / cobrar / vender",0.123,0.159,0.135
"P21","Para pagar servicios",0.063,0.091,0.116
"P21","Para extraer dinero sin tarjeta",0.007,0.015,0.026
"P21","Para recargar el celular / tarjeta de transporte",0.035,0.025,0.067
"P22","Usas más efectivo que antes",0.133,0.111,0.09
"P22","Usas la misma cantidad de efectivo que antes",0.292,0.272,0.351
"P22","Usas menos efectivo que antes",0.575,0.617,0.559
"P23","Tener mayor control de tus gastos",0.38,0.441,0.329
"P23","Tener igual control de tus gastos",0.462,0.439,0.507
"P23","Tener menor control de tus gastos",0.158,0.12,0.164
