"var","categoria","MODO","Cuenta DNI","Mercado de Pago","Ualá","Brubank","Naranja X","Otra"
"P01","Empleado en relación de dependencia",0.34,0.322,0.342,0.171,0.299,0.154,0.189
"P01","Jubilado o pensionado",0.215,0.285,0.124,0.083,0.011,0.119,0.287
"P01","Desempleado",0.182,0.189,0.249,0.398,0.443,0.508,0.261
"P01","Monotributista o autónomo",0.119,0.121,0.186,0.163,0.184,0.125,0.148
"P01","Empresario",0.015,0.005,0.025,0.007,0.056,0,0.023
"P01","Estudiante",0.034,0.008,0.029,0.047,0,0.027,0.013
"P01","Otro",0.095,0.07,0.045,0.131,0.007,0.067,0.079
"P02","Menos de $50.000 mensuales",0.405,0.381,0.397,0.647,0.626,0.566,0.446
"P02","Entre $50.000 y $100.000 mensuales",0.211,0.29,0.241,0.134,0.149,0.14,0.231
"P02","Entre $100.000 y $150.000 mensuales",0.175,0.17,0.166,0.175,0.123,0.236,0.173
"P02","Entre $150.000 y $200.000 mensuales",0.074,0.082,0.074,0.026,0.043,0.044,0.064
"P02","Entre $200.000 y $250.000 mensuales",0.032,0.037,0.044,0.005,0.043,0.014,0.039
"P02","Entre $250.000 y $300.000 mensuales",0.027,0.005,0.024,0.013,0.008,0,0.009
"P02","Más de $300.000",0.076,0.035,0.054,0,0.008,0,0.038
"P03","Si, tengo",0.171,0.149,0.089,0.081,0.035,0.128,0.156
"P03","No, no tengo",0.829,0.851,0.911,0.919,0.965,0.872,0.844
"P04","Si",0.494,0.279,0.323,0.166,0.091,0,0.355
"P04","No",0.506,0.721,0.677,0.834,0.909,1,0.645
"P05","Si",0.19,0.193,0.158,0.142,0.136,0.328,0.176
"P05","No",0.81,0.807,0.842,0.858,0.864,0.672,0.824
"P06","Si",0.395,0.119,0.258,0,0.239,0.442,0.189
"P06","No",0.605,0.881,0.742,1,0.761,0.558,0.811
"P07","Si, lo tomaría",0.197,0.189,0.257,0.292,0.187,0.019,0.17
"P07","Probablemente si",0.372,0.276,0.269,0.109,0.174,0.279,0.216
"P07","Probablemente no",0.172,0.179,0.197,0.24,0.364,0.159,0.259
"P07","No. no lo tomaría",0.206,0.295,0.217,0.244,0.275,0.392,0.303
"P07","No sabe",0.053,0.061,0.06,0.115,0,0.151,0.052
"P08","Si",0.548,0.569,0.511,0.556,0.445,0.372,0.542
"P08","No",0.452,0.431,0.489,0.444,0.555,0.628,0.458
"P09","1",0.411,0.361,0.332,0.335,0.26,0.15,0.372
"P09","2",0.195,0.127,0.092,0.075,0.216,0.293,0.059
"P09","3",0.046,0.066,0.053,0.052,0.119,0.141,0.051
"P09","4",0.014,0.035,0.029,0.021,0.069,0.011,0.035
"P09","5",0.122,0.145,0.17,0.201,0.121,0.117,0.131
"P09","6",0.011,0.014,0.038,0.006,0.017,0.018,0.039
"P09","7",0.026,0.034,0.039,0,0,0,0.011
"P09","8",0.041,0.025,0.038,0.007,0,0.009,0.018
"P09","9",0.134,0.193,0.209,0.303,0.198,0.261,0.284
"P10","Muy convenientes",0.103,0.076,0.059,0.027,0.062,0,0.074
"P10","Bastante convenientes",0.064,0.037,0.042,0,0.01,0.042,0.062
"P10","Algo convenientes",0.126,0.125,0.109,0.04,0.197,0.201,0.07
"P10","Poco convenientes",0.207,0.205,0.221,0.162,0.423,0.111,0.219
"P10","Nada convenientes",0.387,0.461,0.407,0.492,0.259,0.357,0.401
"P10","No sabe",0.113,0.096,0.162,0.279,0.049,0.289,0.174
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.225,0.172,0.196,0.235,0.067,0.147,0.176
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.584,0.641,0.583,0.509,0.782,0.642,0.514
"P11","No sabe",0.191,0.187,0.221,0.256,0.151,0.211,0.31
"P12","Si",0.692,0.783,0.717,0.735,0.881,0.853,0.678
"P12","No",0.308,0.217,0.283,0.265,0.119,0.147,0.322
"P13","Banco Publico o cooperativo",0.725,0.758,0.461,0.333,0.293,0.284,0.474
"P13","Banco privado",0.256,0.196,0.51,0.492,0.493,0.519,0.408
"P13","No sabe",0.019,0.046,0.029,0.175,0.214,0.197,0.118
"P14","Banco Nacion",0.604,0.252,0.432,0.582,0.488,0.628,0.668
"P14","Banco Provincia",0.104,0.646,0.217,0.202,0.024,0.148,0.05
"P14","Banco Ciudad",0.041,0.038,0.057,0,0,0,0.006
"P14","Bancor, Banco de Cordoba",0.036,0.003,0.049,0.065,0.062,0.17,0.005
"P14","Nuevo Banco de Santa Fe",0.001,0.001,0.018,0,0,0,0.057
"P14","Credicoop",0.017,0.018,0.048,0.032,0,0,0.049
"P14","Otro",0.197,0.042,0.179,0.119,0.426,0.054,0.165
"P15","Santander",0.171,0.15,0.213,0.16,0.271,0.011,0.159
"P15","Galicia",0.365,0.255,0.275,0.156,0.177,0.272,0.102
"P15","Macro",0.083,0.074,0.102,0.123,0.252,0.024,0.133
"P15","Frances",0.04,0.209,0.116,0.046,0.021,0.196,0.061
"P15","ICBC",0.028,0.007,0.082,0.161,0.036,0.064,0.005
"P15","Patagonia",0.035,0.133,0.036,0.198,0,0.009,0.002
"P15","No sabe",0.278,0.172,0.176,0.156,0.243,0.424,0.538
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.554,0.756,0.17,0.144,0.33,0.184,0.296
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.349,0.148,0.704,0.603,0.35,0.468,0.319
"P16","No sabe",0.097,0.096,0.126,0.253,0.32,0.348,0.385
"P17","Porque son mas seguras",0.432,0.405,0.166,0.175,0.265,0.147,0.281
"P17","Porque los costos del servicio son menores",0.278,0.233,0.304,0.279,0.187,0.153,0.178
"P17","Porque tienen mas clientes adheridos",0.064,0.089,0.196,0.019,0.243,0.135,0.129
"P17","Porque la calidad de la aplicación",0.09,0.137,0.141,0.259,0.136,0.246,0.103
"P17","Por la calidad de la atención al cliente",0.031,0.018,0.037,0.055,0.01,0.244,0.022
"P17","Por la eficiencia en la solución de reclamos",0.017,0.021,0.027,0.03,0.015,0.009,0.034
"P17","No sabe",0.088,0.097,0.129,0.183,0.144,0.066,0.253
"P18","Si, las conozco",0.565,0.464,0.513,0.55,0.454,0.663,0.447
"P18","No, no las conozco",0.435,0.536,0.487,0.45,0.546,0.337,0.553
"P21","Para pagar en comercios con el celular",0.483,0.414,0.376,0.33,0.178,0.112,0.485
"P21","Para transferir / enviar o recibir dinero de terceros",0.334,0.429,0.265,0.306,0.355,0.381,0.233
"P21","Para usarla para trabajar / cobrar / vender",0.079,0.068,0.224,0.143,0.122,0.19,0.075
"P21","Para pagar servicios",0.055,0.051,0.109,0.168,0.186,0.104,0.091
"P21","Para extraer dinero sin tarjeta",0.024,0.012,0.01,0.015,0.047,0.041,0.021
"P21","Para recargar el celular / tarjeta de transporte",0.025,0.026,0.016,0.038,0.112,0.172,0.095
"P22","Usas más efectivo que antes",0.212,0.122,0.079,0,0.03,0.007,0.107
"P22","Usas la misma cantidad de efectivo que antes",0.266,0.292,0.277,0.392,0.275,0.417,0.352
"P22","Usas menos efectivo que antes",0.522,0.586,0.644,0.608,0.695,0.576,0.541
"P23","Tener mayor control de tus gastos",0.418,0.43,0.385,0.417,0.561,0.538,0.375
"P23","Tener igual control de tus gastos",0.434,0.469,0.467,0.397,0.384,0.269,0.51
"P23","Tener menor control de tus gastos",0.148,0.101,0.148,0.186,0.055,0.193,0.115
"P24","Muy de acuerdo",0.413,0.362,0.387,0.302,0.295,0.417,0.28
"P24","De acuerdo",0.293,0.272,0.247,0.239,0.228,0.192,0.235
"P24","Algo de acuerdo",0.185,0.206,0.203,0.348,0.391,0.166,0.302
"P24","Poco de acuerdo",0.063,0.088,0.084,0.047,0.027,0.075,0.084
"P24","Nada de acuerdo",0.046,0.072,0.079,0.064,0.059,0.15,0.099
"P25","Deberían mantenerse y ampliarse aún mas",0.514,0.408,0.466,0.182,0.424,0.344,0.378
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.367,0.496,0.389,0.63,0.529,0.356,0.46
"P25","Deberian limitarse a los estrictamente necesarios",0.08,0.061,0.082,0.175,0.047,0.164,0.076
"P25","Deberian eliminarse y volverse a la situación anterior",0.039,0.035,0.063,0.013,0,0.136,0.086
"P26","Sí, compraría",0.345,0.198,0.231,0.356,0.338,0.221,0.216
"P26","No, no tengo suficiente información",0.394,0.433,0.489,0.425,0.334,0.436,0.36
"P26","No, me resulta una inversión riesgosa",0.15,0.135,0.107,0.153,0.115,0.166,0.115
