"var","categoria","Sí, compraría","No, no tengo suficiente información","No, me resulta una inversión riesgosa","No, me parece una inversión poco confiable","No me interesa"
"P01","Empleado en relación de dependencia",0.325,0.272,0.279,0.258,0.199
"P01","Jubilado o pensionado",0.099,0.293,0.285,0.241,0.291
"P01","Desempleado",0.242,0.233,0.217,0.171,0.278
"P01","Monotributista o autónomo",0.171,0.113,0.133,0.194,0.119
"P01","Empresario",0.029,0.013,0.032,0.03,0.004
"P01","Estudiante",0.053,0.012,0.01,0.03,0.021
"P01","Otro",0.081,0.064,0.044,0.076,0.088
"P02","Menos de $50.000 mensuales",0.383,0.473,0.479,0.395,0.565
"P02","Entre $50.000 y $100.000 mensuales",0.205,0.243,0.228,0.228,0.233
"P02","Entre $100.000 y $150.000 mensuales",0.173,0.153,0.133,0.142,0.102
"P02","Entre $150.000 y $200.000 mensuales",0.094,0.06,0.062,0.1,0.044
"P02","Entre $200.000 y $250.000 mensuales",0.043,0.031,0.048,0.037,0.012
"P02","Entre $250.000 y $300.000 mensuales",0.028,0.011,0.023,0.034,0.009
"P02","Más de $300.000",0.074,0.029,0.027,0.064,0.035
"P03","Si, tengo",0.153,0.129,0.097,0.091,0.077
"P03","No, no tengo",0.847,0.871,0.903,0.909,0.923
"P04","Si",0.362,0.243,0.17,0.298,0.329
"P04","No",0.638,0.757,0.83,0.702,0.671
"P05","Si",0.206,0.153,0.11,0.16,0.112
"P05","No",0.794,0.847,0.89,0.84,0.888
"P06","Si",0.338,0.253,0.352,0.341,0.258
"P06","No",0.662,0.747,0.648,0.659,0.742
"P07","Si, lo tomaría",0.282,0.158,0.231,0.136,0.065
"P07","Probablemente si",0.275,0.319,0.223,0.229,0.218
"P07","Probablemente no",0.201,0.244,0.279,0.176,0.213
"P07","No. no lo tomaría",0.177,0.213,0.244,0.352,0.37
"P07","No sabe",0.065,0.066,0.023,0.107,0.134
"P08","Si",0.543,0.444,0.519,0.573,0.402
