"var","categoria","Banco Publico o cooperativo","Banco privado","No sabe"
"P01","Empleado en relación de dependencia",0.323,0.359,0.247
"P01","Jubilado o pensionado",0.277,0.189,0.147
"P01","Desempleado",0.191,0.143,0.428
"P01","Monotributista o autónomo",0.113,0.215,0.066
"P01","Empresario",0.019,0.03,0
"P01","Estudiante",0.019,0.027,0.022
"P01","Otro",0.058,0.037,0.09
"P02","Menos de $50.000 mensuales",0.426,0.284,0.668
"P02","Entre $50.000 y $100.000 mensuales",0.24,0.275,0.164
"P02","Entre $100.000 y $150.000 mensuales",0.163,0.202,0.134
"P02","Entre $150.000 y $200.000 mensuales",0.067,0.103,0.019
"P02","Entre $200.000 y $250.000 mensuales",0.039,0.056,0.002
"P02","Entre $250.000 y $300.000 mensuales",0.019,0.027,0.006
"P02","Más de $300.000",0.046,0.053,0.007
"P03","Si, tengo",0.147,0.085,0.104
"P03","No, no tengo",0.853,0.915,0.896
"P04","Si",0.316,0.199,0.082
"P04","No",0.684,0.801,0.918
"P05","Si",0.183,0.201,0.128
"P05","No",0.817,0.799,0.872
"P06","Si",0.287,0.236,0.178
"P06","No",0.713,0.764,0.822
"P07","Si, lo tomaría",0.181,0.249,0.063
"P07","Probablemente si",0.325,0.277,0.249
"P07","Probablemente no",0.21,0.184,0.255
"P07","No. no lo tomaría",0.233,0.24,0.285
"P07","No sabe",0.051,0.05,0.148
"P08","Si",0.512,0.601,0.236
"P08","No",0.488,0.399,0.764
"P09","1",0.364,0.342,0.239
"P09","2",0.139,0.104,0.147
"P09","3",0.052,0.059,0.038
"P09","4",0.032,0.032,0.034
"P09","5",0.136,0.166,0.124
"P09","6",0.021,0.031,0.024
"P09","7",0.021,0.032,0.026
"P09","8",0.043,0.04,0.01
"P09","9",0.192,0.194,0.358
"P10","Muy convenientes",0.078,0.049,0.095
"P10","Bastante convenientes",0.059,0.041,0.042
"P10","Algo convenientes",0.131,0.099,0.109
"P10","Poco convenientes",0.206,0.237,0.171
"P10","Nada convenientes",0.382,0.448,0.33
"P10","No sabe",0.144,0.126,0.253
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.177,0.24,0.184
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.562,0.564,0.41
"P11","No sabe",0.261,0.196,0.406
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.393,0.186,0.203
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.284,0.457,0.179
"P16","No sabe",0.323,0.357,0.618
"P17","Porque son mas seguras",0.251,0.165,0.209
"P17","Porque los costos del servicio son menores",0.21,0.212,0.198
"P17","Porque tienen mas clientes adheridos",0.11,0.167,0.1
"P17","Porque la calidad de la aplicación",0.099,0.118,0.085
"P17","Por la calidad de la atención al cliente",0.03,0.033,0.032
"P17","Por la eficiencia en la solución de reclamos",0.019,0.024,0.005
"P17","No sabe",0.281,0.281,0.371
"P18","Si, las conozco",0.377,0.364,0.29
"P18","No, no las conozco",0.623,0.636,0.71
"P19","Si",0.566,0.588,0.414
"P19","No",0.434,0.412,0.586
"P20","MODO",0.247,0.12,0.062
"P20","Cuenta DNI",0.216,0.076,0.131
"P20","Mercado de Pago",0.373,0.565,0.236
"P20","Ualá",0.017,0.033,0.086
"P20","Brubank",0.013,0.031,0.097
"P20","Naranja X",0.012,0.031,0.085
"P20","Otra",0.122,0.144,0.303
"P21","Para pagar en comercios con el celular",0.442,0.424,0.402
"P21","Para transferir / enviar o recibir dinero de terceros",0.336,0.285,0.348
"P21","Para usarla para trabajar / cobrar / vender",0.11,0.123,0.105
"P21","Para pagar servicios",0.077,0.103,0.094
"P21","Para extraer dinero sin tarjeta",0.005,0.026,0
"P21","Para recargar el celular / tarjeta de transporte",0.03,0.039,0.051
"P22","Usas más efectivo que antes",0.128,0.08,0.015
"P22","Usas la misma cantidad de efectivo que antes",0.259,0.298,0.353
"P22","Usas menos efectivo que antes",0.613,0.622,0.632
"P23","Tener mayor control de tus gastos",0.465,0.382,0.395
"P23","Tener igual control de tus gastos",0.412,0.514,0.503
"P23","Tener menor control de tus gastos",0.123,0.104,0.102
"P24","Muy de acuerdo",0.403,0.367,0.266
"P24","De acuerdo",0.244,0.203,0.289
"P24","Algo de acuerdo",0.212,0.238,0.235
"P24","Poco de acuerdo",0.072,0.096,0.157
"P24","Nada de acuerdo",0.069,0.096,0.053
"P25","Deberían mantenerse y ampliarse aún mas",0.338,0.385,0.265
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.47,0.459,0.448
"P25","Deberian limitarse a los estrictamente necesarios",0.1,0.076,0.104
"P25","Deberian eliminarse y volverse a la situación anterior",0.092,0.08,0.183
"P26","Sí, compraría",0.185,0.226,0.129
"P26","No, no tengo suficiente información",0.505,0.446,0.412
"P26","No, me resulta una inversión riesgosa",0.124,0.112,0.089
"P26","No, me parece una inversión poco confiable",0.08,0.1,0.043
"P26","No me interesa",0.106,0.116,0.327
"P27","Si",0.23,0.376,0.161
"P27","No",0.77,0.624,0.839
"P28","Muy seguro",0.26,0.281,0.083
"P28","Bastante seguro",0.318,0.264,0.234
"P28","Seguro",0.192,0.225,0.271
"P28","Poco seguro",0.078,0.091,0.104
"P28","Nada seguro",0.054,0.056,0.078
"P28","No hago operaciones online",0.098,0.083,0.23
"P29","Sí, he sido víctima",0.176,0.194,0.149
"P29","No, no he sido víctima",0.744,0.737,0.659
"P29","No sabe",0.08,0.069,0.192
"P30","Estafa por redes sociales",0.334,0.232,0.241
"P30","Estafa telefónica",0.215,0.183,0.093
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.108,0.095,0.205
"P30","Virus",0.006,0.029,0
"P30","Otros",0.337,0.461,0.461
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.236,0.209,0.149
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.286,0.269,0.217
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.288,0.334,0.179
"P31","No sabe",0.19,0.188,0.455
"P32","Si, he limitado las operaciones",0.196,0.203,0.227
"P32","He limitado parcialmente",0.255,0.227,0.143
"P32","No, continúo operando igual que siempre",0.549,0.57,0.63
"P33","1",0.245,0.285,0.219
"P33","2",0.119,0.114,0.053
"P33","3",0.123,0.118,0.118
"P33","4",0.058,0.056,0.087
"P33","5",0.182,0.193,0.133
"P33","6",0.041,0.058,0.094
"P33","7",0.049,0.035,0.003
"P33","8",0.039,0.03,0.027
"P33","9",0.144,0.111,0.266
"P34","1",0.311,0.267,0.304
"P34","2",0.099,0.11,0.097
"P34","3",0.064,0.109,0.032
"P34","4",0.08,0.077,0.11
"P34","5",0.215,0.212,0.146
"P34","6",0.051,0.066,0.112
"P34","7",0.045,0.031,0.073
"P34","8",0.034,0.034,0.02
"P34","9",0.101,0.094,0.106
"P35","1",0.228,0.268,0.272
"P35","2",0.076,0.06,0.123
"P35","3",0.033,0.042,0.07
"P35","4",0.042,0.035,0.004
"P35","5",0.15,0.156,0.145
"P35","6",0.059,0.052,0.026
"P35","7",0.056,0.039,0.121
"P35","8",0.078,0.069,0.055
"P35","9",0.278,0.279,0.184
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.278,0.344,0.226
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.216,0.218,0.201
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.228,0.186,0.096
"P36","No sabe",0.278,0.252,0.477
"P37","Muy buena",0.082,0.074,0.133
"P37","Buena",0.145,0.082,0.107
"P37","Ni buena ni mala",0.175,0.124,0.241
"P37","Mala",0.191,0.166,0.181
"P37","Muy mala",0.39,0.546,0.288
"P37","No sabe",0.017,0.008,0.05
"P38","Gran excedente habitual",0.004,0.014,0.001
"P38","Gran excedente excepcional",0.008,0.009,0.022
"P38","Pequeño excedente habitual",0.063,0.076,0.041
"P38","Pequeño excedente excepcional",0.069,0.072,0.034
"P38","Alcanza gastos familia",0.128,0.166,0.083
"P38","No alcanza gastos familia",0.175,0.165,0.241
"P38","Solo NBFamiliares",0.243,0.247,0.19
"P38","No alcanza NBFamiliares",0.297,0.242,0.346
"P38","No sabe",0.013,0.009,0.042
"P39","Mejor",0.114,0.09,0.117
"P39","Igual",0.267,0.235,0.273
"P39","Peor",0.512,0.608,0.455
"P39","No sabe",0.107,0.067,0.155
