"var","categoria","1","2","3","4","5","6","7","8","9"
"P01","Empleado en relación de dependencia",0.24,0.299,0.361,0.297,0.34,0.298,0.244,0.216,0.284
"P01","Jubilado o pensionado",0.29,0.241,0.317,0.165,0.205,0.387,0.237,0.258,0.251
"P01","Desempleado",0.228,0.174,0.163,0.281,0.199,0.184,0.266,0.244,0.221
"P01","Monotributista o autónomo",0.132,0.202,0.086,0.149,0.137,0.092,0.124,0.159,0.124
"P01","Empresario",0.027,0.015,0.012,0.016,0.009,0.012,0.008,0.028,0.013
"P01","Estudiante",0.018,0.004,0.006,0.005,0.028,0,0.037,0.013,0.027
"P01","Otro",0.065,0.065,0.055,0.087,0.082,0.027,0.084,0.082,0.08
"P02","Menos de $50.000 mensuales",0.453,0.394,0.431,0.437,0.433,0.437,0.429,0.372,0.39
"P02","Entre $50.000 y $100.000 mensuales",0.251,0.273,0.196,0.186,0.241,0.245,0.173,0.286,0.25
"P02","Entre $100.000 y $150.000 mensuales",0.147,0.144,0.173,0.136,0.142,0.163,0.134,0.196,0.182
"P02","Entre $150.000 y $200.000 mensuales",0.055,0.107,0.049,0.136,0.088,0.075,0.129,0.055,0.073
"P02","Entre $200.000 y $250.000 mensuales",0.017,0.032,0.087,0.065,0.038,0.055,0.048,0.051,0.036
"P02","Entre $250.000 y $300.000 mensuales",0.015,0.009,0.019,0.013,0.011,0.012,0.026,0.019,0.019
"P02","Más de $300.000",0.062,0.041,0.045,0.027,0.047,0.013,0.061,0.021,0.05
"P03","Si, tengo",0.137,0.105,0.106,0.17,0.118,0.094,0.182,0.128,0.11
"P03","No, no tengo",0.863,0.895,0.894,0.83,0.882,0.906,0.818,0.872,0.89
"P04","Si",0.403,0.412,0.205,0.134,0.367,0.193,0.244,0.276,0.2
"P04","No",0.597,0.588,0.795,0.866,0.633,0.807,0.756,0.724,0.8
"P05","Si",0.145,0.087,0.079,0.195,0.135,0.168,0.109,0.223,0.192
"P05","No",0.855,0.913,0.921,0.805,0.865,0.832,0.891,0.777,0.808
"P06","Si",0.314,0.139,0.404,0.476,0.242,0.319,0,0.308,0.24
"P06","No",0.686,0.861,0.596,0.524,0.758,0.681,1,0.692,0.76
"P07","Si, lo tomaría",0.211,0.153,0.109,0.149,0.16,0.173,0.173,0.168,0.219
"P07","Probablemente si",0.21,0.326,0.388,0.414,0.254,0.326,0.233,0.322,0.272
"P07","Probablemente no",0.219,0.262,0.204,0.262,0.177,0.203,0.263,0.291,0.217
"P07","No. no lo tomaría",0.306,0.181,0.216,0.151,0.292,0.226,0.217,0.169,0.237
"P07","No sabe",0.054,0.078,0.083,0.024,0.117,0.072,0.114,0.05,0.055
