"var","categoria","Mejor","Igual","Peor","No sabe"
"P01","Empleado en relación de dependencia",0.294,0.277,0.276,0.204
"P01","Jubilado o pensionado",0.224,0.24,0.263,0.191
"P01","Desempleado",0.199,0.248,0.241,0.397
"P01","Monotributista o autónomo",0.166,0.12,0.114,0.081
"P01","Empresario",0.019,0.012,0.018,0.008
"P01","Estudiante",0.024,0.032,0.02,0.048
"P01","Otro",0.074,0.071,0.068,0.071
"P02","Menos de $50.000 mensuales",0.397,0.461,0.467,0.59
"P02","Entre $50.000 y $100.000 mensuales",0.243,0.216,0.248,0.158
"P02","Entre $100.000 y $150.000 mensuales",0.152,0.158,0.147,0.141
"P02","Entre $150.000 y $200.000 mensuales",0.082,0.063,0.056,0.05
"P02","Entre $200.000 y $250.000 mensuales",0.027,0.043,0.028,0.013
"P02","Entre $250.000 y $300.000 mensuales",0.028,0.022,0.015,0.024
"P02","Más de $300.000",0.071,0.037,0.039,0.024
"P03","Si, tengo",0.122,0.123,0.126,0.118
"P03","No, no tengo",0.878,0.877,0.874,0.882
"P04","Si",0.266,0.174,0.278,0.235
"P04","No",0.734,0.826,0.722,0.765
"P05","Si",0.169,0.141,0.139,0.119
"P05","No",0.831,0.859,0.861,0.881
"P06","Si",0.317,0.213,0.289,0.191
"P06","No",0.683,0.787,0.711,0.809
"P07","Si, lo tomaría",0.172,0.122,0.18,0.112
"P07","Probablemente si",0.247,0.253,0.278,0.279
"P07","Probablemente no",0.246,0.291,0.224,0.246
"P07","No. no lo tomaría",0.253,0.263,0.257,0.234
"P07","No sabe",0.082,0.071,0.061,0.129
"P08","Si",0.528,0.465,0.438,0.256
"P08","No",0.472,0.535,0.562,0.744
"P09","1",0.331,0.313,0.334,0.262
"P09","2",0.138,0.127,0.153,0.197
"P09","3",0.044,0.068,0.038,0.04
"P09","4",0.026,0.033,0.021,0.023
"P09","5",0.148,0.131,0.126,0.121
"P09","6",0.03,0.031,0.021,0.038
"P09","7",0.008,0.031,0.021,0.018
"P09","8",0.028,0.04,0.033,0.023
"P09","9",0.247,0.226,0.253,0.278
"P10","Muy convenientes",0.084,0.065,0.065,0.054
"P10","Bastante convenientes",0.059,0.062,0.047,0.038
"P10","Algo convenientes",0.082,0.148,0.096,0.125
"P10","Poco convenientes",0.19,0.206,0.228,0.136
"P10","Nada convenientes",0.443,0.372,0.41,0.332
"P10","No sabe",0.142,0.147,0.154,0.315
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.223,0.158,0.204,0.088
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.58,0.561,0.542,0.492
"P11","No sabe",0.197,0.281,0.254,0.42
"P12","Si",0.664,0.662,0.639,0.503
"P12","No",0.336,0.338,0.361,0.497
"P13","Banco Publico o cooperativo",0.588,0.566,0.508,0.61
"P13","Banco privado",0.332,0.357,0.432,0.273
"P13","No sabe",0.08,0.077,0.06,0.117
"P14","Banco Nacion",0.426,0.388,0.402,0.338
"P14","Banco Provincia",0.25,0.285,0.238,0.317
"P14","Banco Ciudad",0.042,0.042,0.043,0.019
"P14","Bancor, Banco de Cordoba",0.031,0.041,0.035,0.04
"P14","Nuevo Banco de Santa Fe",0.026,0.012,0.013,0.017
"P14","Credicoop",0.025,0.036,0.025,0.087
"P14","Otro",0.2,0.196,0.244,0.182
"P15","Santander",0.101,0.204,0.197,0.132
"P15","Galicia",0.283,0.197,0.235,0.177
"P15","Macro",0.101,0.093,0.111,0.157
"P15","Frances",0.106,0.125,0.104,0.137
"P15","ICBC",0.124,0.065,0.059,0.02
"P15","Patagonia",0.052,0.048,0.035,0.061
"P15","No sabe",0.233,0.268,0.259,0.316
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.323,0.293,0.222,0.206
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.298,0.341,0.391,0.349
"P16","No sabe",0.379,0.366,0.387,0.445
"P17","Porque son mas seguras",0.223,0.218,0.169,0.131
"P17","Porque los costos del servicio son menores",0.192,0.218,0.222,0.157
"P17","Porque tienen mas clientes adheridos",0.15,0.136,0.136,0.117
"P17","Porque la calidad de la aplicación",0.062,0.091,0.087,0.097
"P17","Por la calidad de la atención al cliente",0.028,0.031,0.028,0.043
"P17","Por la eficiencia en la solución de reclamos",0.037,0.014,0.025,0.014
"P17","No sabe",0.308,0.292,0.333,0.441
"P18","Si, las conozco",0.359,0.335,0.348,0.343
"P18","No, no las conozco",0.641,0.665,0.652,0.657
"P19","Si",0.512,0.479,0.481,0.429
"P19","No",0.488,0.521,0.519,0.571
"P20","MODO",0.219,0.169,0.175,0.152
"P20","Cuenta DNI",0.179,0.183,0.137,0.124
"P20","Mercado de Pago",0.392,0.489,0.461,0.504
"P20","Ualá",0.012,0.018,0.032,0.012
"P20","Brubank",0.003,0.012,0.023,0.023
"P20","Naranja X",0.005,0.012,0.02,0.038
"P20","Otra",0.19,0.117,0.152,0.147
"P21","Para pagar en comercios con el celular",0.403,0.41,0.437,0.375
"P21","Para transferir / enviar o recibir dinero de terceros",0.356,0.328,0.28,0.205
"P21","Para usarla para trabajar / cobrar / vender",0.161,0.094,0.139,0.255
"P21","Para pagar servicios",0.047,0.136,0.078,0.088
"P21","Para extraer dinero sin tarjeta",0.017,0.011,0.018,0.002
"P21","Para recargar el celular / tarjeta de transporte",0.016,0.021,0.048,0.075
"P22","Usas más efectivo que antes",0.11,0.109,0.109,0.05
"P22","Usas la misma cantidad de efectivo que antes",0.302,0.285,0.284,0.389
"P22","Usas menos efectivo que antes",0.588,0.606,0.607,0.561
"P23","Tener mayor control de tus gastos",0.412,0.432,0.393,0.348
"P23","Tener igual control de tus gastos",0.462,0.458,0.463,0.526
"P23","Tener menor control de tus gastos",0.126,0.11,0.144,0.126
"P24","Muy de acuerdo",0.364,0.377,0.399,0.194
"P24","De acuerdo",0.253,0.271,0.214,0.34
"P24","Algo de acuerdo",0.249,0.214,0.223,0.261
"P24","Poco de acuerdo",0.076,0.088,0.075,0.105
"P24","Nada de acuerdo",0.058,0.05,0.089,0.1
"P25","Deberían mantenerse y ampliarse aún mas",0.369,0.338,0.34,0.179
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.45,0.476,0.44,0.479
"P25","Deberian limitarse a los estrictamente necesarios",0.084,0.083,0.088,0.14
"P25","Deberian eliminarse y volverse a la situación anterior",0.097,0.103,0.132,0.202
"P26","Sí, compraría",0.139,0.16,0.208,0.113
"P26","No, no tengo suficiente información",0.49,0.516,0.456,0.505
"P26","No, me resulta una inversión riesgosa",0.156,0.1,0.113,0.087
"P26","No, me parece una inversión poco confiable",0.104,0.082,0.082,0.115
"P26","No me interesa",0.111,0.142,0.141,0.18
"P27","Si",0.264,0.224,0.27,0.152
"P27","No",0.736,0.776,0.73,0.848
"P28","Muy seguro",0.275,0.219,0.229,0.166
"P28","Bastante seguro",0.221,0.338,0.253,0.263
"P28","Seguro",0.178,0.169,0.186,0.192
"P28","Poco seguro",0.088,0.089,0.095,0.069
"P28","Nada seguro",0.086,0.046,0.068,0.062
"P28","No hago operaciones online",0.152,0.139,0.169,0.248
"P29","Sí, he sido víctima",0.188,0.148,0.177,0.189
"P29","No, no he sido víctima",0.715,0.742,0.728,0.659
"P29","No sabe",0.097,0.11,0.095,0.152
"P30","Estafa por redes sociales",0.396,0.303,0.289,0.32
"P30","Estafa telefónica",0.065,0.268,0.18,0.227
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.193,0.111,0.114,0.197
"P30","Virus",0.005,0.01,0.014,0
"P30","Otros",0.341,0.308,0.403,0.256
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.237,0.208,0.208,0.127
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.288,0.283,0.284,0.298
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.301,0.264,0.282,0.27
"P31","No sabe",0.174,0.245,0.226,0.305
"P32","Si, he limitado las operaciones",0.208,0.187,0.216,0.16
"P32","He limitado parcialmente",0.175,0.242,0.244,0.184
"P32","No, continúo operando igual que siempre",0.617,0.571,0.54,0.656
"P33","1",0.23,0.225,0.312,0.265
"P33","2",0.1,0.104,0.111,0.123
"P33","3",0.107,0.097,0.141,0.172
"P33","4",0.036,0.06,0.059,0.023
"P33","5",0.18,0.185,0.179,0.129
"P33","6",0.095,0.06,0.049,0.03
"P33","7",0.04,0.071,0.019,0.045
"P33","8",0.037,0.041,0.028,0.056
"P33","9",0.175,0.157,0.102,0.157
"P34","1",0.288,0.28,0.311,0.345
"P34","2",0.136,0.102,0.12,0.106
"P34","3",0.055,0.077,0.079,0.062
"P34","4",0.048,0.081,0.082,0.073
"P34","5",0.209,0.207,0.205,0.128
"P34","6",0.053,0.079,0.052,0.025
"P34","7",0.028,0.036,0.036,0.101
"P34","8",0.048,0.031,0.025,0.032
"P34","9",0.135,0.107,0.09,0.128
"P35","1",0.234,0.209,0.285,0.306
"P35","2",0.122,0.063,0.087,0.089
"P35","3",0.029,0.046,0.038,0.034
"P35","4",0.037,0.037,0.037,0.033
"P35","5",0.144,0.183,0.152,0.109
"P35","6",0.043,0.031,0.05,0.074
"P35","7",0.046,0.059,0.045,0.094
"P35","8",0.052,0.084,0.061,0.035
"P35","9",0.293,0.288,0.245,0.226
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.246,0.204,0.349,0.164
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.239,0.277,0.202,0.244
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.227,0.203,0.19,0.173
"P36","No sabe",0.288,0.316,0.259,0.419
"P37","Muy buena",0.217,0.078,0.071,0.058
"P37","Buena",0.341,0.188,0.035,0.13
"P37","Ni buena ni mala",0.274,0.298,0.085,0.265
"P37","Mala",0.096,0.209,0.182,0.234
"P37","Muy mala",0.051,0.193,0.61,0.21
"P37","No sabe",0.021,0.034,0.017,0.103
"P38","Gran excedente habitual",0.021,0.006,0.004,0.002
"P38","Gran excedente excepcional",0.015,0.012,0.008,0.014
"P38","Pequeño excedente habitual",0.097,0.067,0.043,0.029
"P38","Pequeño excedente excepcional",0.091,0.061,0.041,0.036
"P38","Alcanza gastos familia",0.203,0.153,0.088,0.102
"P38","No alcanza gastos familia",0.135,0.164,0.203,0.225
"P38","Solo NBFamiliares",0.226,0.253,0.235,0.248
"P38","No alcanza NBFamiliares",0.196,0.268,0.366,0.284
"P38","No sabe",0.016,0.016,0.012,0.06
