"var","categoria","Si, he limitado las operaciones","He limitado parcialmente","No, continúo operando igual que siempre"
"P01","Empleado en relación de dependencia",0.275,0.283,0.28
"P01","Jubilado o pensionado",0.289,0.26,0.27
"P01","Desempleado",0.225,0.203,0.207
"P01","Monotributista o autónomo",0.12,0.142,0.131
"P01","Empresario",0.021,0.021,0.014
"P01","Estudiante",0.015,0.031,0.021
"P01","Otro",0.055,0.06,0.077
"P02","Menos de $50.000 mensuales",0.451,0.376,0.445
"P02","Entre $50.000 y $100.000 mensuales",0.26,0.259,0.231
"P02","Entre $100.000 y $150.000 mensuales",0.154,0.182,0.146
"P02","Entre $150.000 y $200.000 mensuales",0.058,0.081,0.077
"P02","Entre $200.000 y $250.000 mensuales",0.026,0.046,0.036
"P02","Entre $250.000 y $300.000 mensuales",0.016,0.018,0.014
"P02","Más de $300.000",0.035,0.038,0.051
"P03","Si, tengo",0.138,0.116,0.125
"P03","No, no tengo",0.862,0.884,0.875
"P04","Si",0.357,0.284,0.263
"P04","No",0.643,0.716,0.737
"P05","Si",0.148,0.169,0.141
"P05","No",0.852,0.831,0.859
"P06","Si",0.227,0.278,0.279
"P06","No",0.773,0.722,0.721
"P07","Si, lo tomaría",0.226,0.229,0.146
"P07","Probablemente si",0.238,0.277,0.284
"P07","Probablemente no",0.215,0.21,0.237
"P07","No. no lo tomaría",0.258,0.216,0.253
"P07","No sabe",0.063,0.068,0.08
"P08","Si",0.53,0.584,0.475
"P08","No",0.47,0.416,0.525
"P09","1",0.395,0.339,0.35
"P09","2",0.165,0.152,0.134
"P09","3",0.035,0.039,0.053
"P09","4",0.019,0.027,0.027
"P09","5",0.09,0.168,0.132
"P09","6",0.026,0.024,0.026
"P09","7",0.015,0.034,0.015
"P09","8",0.031,0.033,0.031
"P09","9",0.224,0.184,0.232
"P10","Muy convenientes",0.097,0.061,0.052
"P10","Bastante convenientes",0.05,0.06,0.045
"P10","Algo convenientes",0.088,0.104,0.123
"P10","Poco convenientes",0.236,0.239,0.194
