"var","categoria","Julieta Corroza por Comunidad","Sergio Soto por el MPN","Luis Bertolini por Desarrollo Ciudadano","Andrés Peressini por Iguales","Karina Ortiz por el PJ","No sabe"
"P05","Mucho",0.306,0.21,0.433,0.306,0.097,0.397
"P05","Bastante",0.359,0.418,0.329,0.21,0.236,0.188
"P05","Poco",0.23,0.167,0.124,0.255,0.111,0.242
"P05","Nada",0.088,0.144,0.114,0.154,0.272,0.124
"P05","No sabe",0.017,0.061,0,0.075,0.284,0.049
"P06","Comunidad",0.495,0.057,0.392,0.28,0.021,0.137
"P06","MPN",0.147,0.496,0.084,0.246,0.046,0.066
"P06","Desarrollo Ciudadano",0.081,0.03,0.254,0.025,0.071,0.111
"P06","Partido Justicialista",0.07,0.065,0.057,0.083,0.14,0.033
"P06","Iguales",0.011,0.046,0,0.144,0.021,0.056
"P06","Otro",0.048,0.104,0.026,0,0,0.211
"P06","No sabe",0.148,0.202,0.187,0.222,0.701,0.386
"P07","Julieta Corroza por Comunidad",0.458,0.141,0.163,0.358,0.033,0.059
"P07","Sergio Soto por el MPN",0.112,0.471,0.141,0.1,0.205,0
"P07","Luis Bertolini por Desarrollo Ciudadano",0.23,0.101,0.525,0.063,0.025,0.088
"P07","Andrés Peressini por Iguales",0.069,0.055,0.057,0.323,0.064,0.045
"P07","Karina Ortiz por el PJ",0.041,0.116,0.072,0.045,0.37,0.042
"P07","No sabe",0.09,0.116,0.042,0.111,0.303,0.766
"P15","Lo votaría",0.577,0.168,0.285,0.33,0.022,0.056
"P15","Puede que lo vote",0.238,0.413,0.204,0.127,0.178,0.129
"P15","Nunca lo votaría",0.038,0.282,0.456,0.351,0.437,0.393
"P15","No sabe",0.147,0.137,0.055,0.192,0.363,0.422
"P16","Lo votaría",0.195,0.445,0.028,0.061,0.224,0.078
"P16","Puede que lo vote",0.078,0.224,0.06,0.122,0.078,0.022
"P16","Nunca lo votaría",0.578,0.214,0.912,0.751,0.336,0.531
"P16","No sabe",0.149,0.117,0,0.066,0.362,0.369
"P17","Lo votaría",0.133,0.083,0.456,0.103,0.056,0.047
"P17","Puede que lo vote",0.068,0.227,0.447,0.261,0,0.07
"P17","Nunca lo votaría",0.567,0.388,0.083,0.54,0.528,0.44
"P17","No sabe",0.232,0.302,0.014,0.096,0.416,0.443
"P18","Lo votaría",0.188,0.056,0.22,0.363,0.174,0.042
"P18","Puede que lo vote",0.175,0.233,0.201,0.375,0.098,0.055
"P18","Nunca lo votaría",0.479,0.401,0.541,0.163,0.365,0.565
"P18","No sabe",0.158,0.31,0.038,0.099,0.363,0.338
"P19","Lo votaría",0.187,0.11,0.067,0.092,0.202,0.032
"P19","Puede que lo vote",0.134,0.11,0.256,0.227,0.342,0.019
"P19","Nunca lo votaría",0.511,0.449,0.533,0.551,0,0.544
"P19","No sabe",0.168,0.331,0.144,0.13,0.456,0.405
"P20","Si",0.473,0.259,0.472,0.31,0.133,0.156
"P20","No",0.527,0.741,0.528,0.69,0.867,0.844
