"var","categoria","Si","No"
"P05","Tengo trabajo estable",0.625,0.608
"P05","Realizo changas o trabajos de vez en cuando",0.095,0.085
"P05","No tengo trabajo",0.061,0.083
"P05","Soy jubilado o pensionado",0.219,0.224
"P06","1",0.297,0.249
"P06","2",0.058,0.058
"P06","3",0.083,0.073
"P06","4",0.081,0.071
"P06","5",0.164,0.21
"P06","6",0.048,0.057
"P06","7",0.096,0.11
"P06","8",0.071,0.051
"P06","9",0.102,0.121
"P07","1",0.216,0.216
"P07","2",0.041,0.064
"P07","3",0.056,0.049
"P07","4",0.043,0.049
"P07","5",0.155,0.18
"P07","6",0.048,0.053
"P07","7",0.12,0.106
"P07","8",0.088,0.066
"P07","9",0.233,0.217
"P08","1",0.388,0.438
"P08","2",0.036,0.039
"P08","3",0.05,0.046
"P08","4",0.023,0.023
"P08","5",0.131,0.128
"P08","6",0.025,0.031
"P08","7",0.056,0.04
"P08","8",0.04,0.044
"P08","9",0.251,0.211
"P10","Del Frente de Todos y el peronismo",0.276,0.305
"P10","De Cambiemos",0.472,0.43
"P10","De los Liberales libertarios",0.168,0.175
"P10","De la Izquierda",0.036,0.024
"P10","No sabe",0.048,0.066
"P11","A Alberto Fernández",0.135,0.074
"P11","A Sergio Massa",0.221,0.224
"P11","A algún candidato del peronismo",0.12,0.119
"P11","A algún candidato del kirchnerismo",0.524,0.583
"P12","A Alberto Fernández",0.062,0.027
"P12","A Sergio Massa",0.139,0.099
"P12","A algún candidato del peronismo",0.116,0.089
"P12","A Cristina Fernández de Kirchner",0.683,0.785
"P13","A Horacio Rodriguez Larreta",0.145,0.303
"P13","A Mauricio Macri",0.367,0.243
"P13","A Patricia Bullrich",0.426,0.383
"P13","A Facundo Manes",0.044,0.051
"P13","A Gerardo Morales",0.018,0.02
"P14","Del Frente de Todos y el peronismo",0.261,0.255
"P14","A Juntos por el Cambio",0.498,0.457
"P14","De los Liberales libertarios",0.15,0.174
"P14","De la Izquierda",0.049,0.059
"P14","No sabe",0.042,0.055
"P16","A Leandro Santoro",0.706,0.667
"P16","A Matias Lammens",0.144,0.175
"P16","A Mariano Recalde",0.15,0.158
"P17","A Soledad Acuña",0.051,0.046
"P17","A Jorge Macri",0.327,0.252
"P17","A Martín Lousteau",0.186,0.278
"P17","A Fernan Quirós",0.211,0.208
"P17","A Ricardo López Murphy",0.225,0.216
"P18","Lo votaría",0.182,0.215
"P18","Puede que lo vote",0.235,0.227
"P18","Nunca lo votaría",0.509,0.455
"P18","No sabe",0.074,0.103
"P19","Lo votaría",0.224,0.264
"P19","Puede que lo vote",0.115,0.11
"P19","Nunca lo votaría",0.592,0.531
"P19","No sabe",0.069,0.095
"P20","Lo votaría",0.101,0.097
"P20","Puede que lo vote",0.25,0.225
"P20","Nunca lo votaría",0.565,0.531
"P20","No sabe",0.084,0.147
"P21","Lo votaría",0.114,0.098
"P21","Puede que lo vote",0.157,0.182
"P21","Nunca lo votaría",0.642,0.616
"P21","No sabe",0.087,0.104
"P22","Lo votaría",0.239,0.233
"P22","Puede que lo vote",0.271,0.251
"P22","Nunca lo votaría",0.413,0.422
"P22","No sabe",0.077,0.094
"P23","Lo votaría",0.313,0.234
"P23","Puede que lo vote",0.225,0.231
"P23","Nunca lo votaría",0.414,0.474
"P23","No sabe",0.048,0.061
"P24","Lo votaría",0.234,0.211
"P24","Puede que lo vote",0.226,0.208
"P24","Nunca lo votaría",0.511,0.533
"P24","No sabe",0.029,0.048
"P25","Lo votaría",0.287,0.251
"P25","Puede que lo vote",0.24,0.21
"P25","Nunca lo votaría",0.432,0.475
"P25","No sabe",0.041,0.064
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.211,0.131
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.197,0.172
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.033,0.028
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.076,0.086
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.078,0.122
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.191,0.241
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.082,0.088
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.096,0.106
"P26","A los candidatos de la izquierda",0.036,0.026
"P26","No sabe",0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.207,0.137
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.212,0.188
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.025,0.026
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.073,0.069
