"var","categoria","A Jorge Macri","A Martín Lousteau","A Ricardo López Murphy"
"P05","Siempre",0.304,0.25,0.27
"P05","Casi siempre",0.422,0.425,0.425
"P05","Casi nunca",0.231,0.247,0.252
"P05","Nunca, pero esta es una excepción",0.043,0.078,0.053
"P06","Mucho",0.388,0.242,0.391
"P06","Bastante",0.43,0.506,0.469
"P06","Poco",0.155,0.215,0.115
"P06","Nada",0.023,0.026,0.014
"P06","No sabe",0.004,0.011,0.011
"P10","Jorge Macri por Juntos por el Cambio",0.898,0.21,0.055
"P10","Martín Lousteau  por Juntos por el Cambio",0.028,0.646,0.034
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.03,0.065,0.813
"P10","Leandro Santoro por el Frente de Todos",0.008,0.03,0.004
"P10","Mariano Recalde por el Frente de Todos",0,0.011,0.01
"P10","Pedro Rosemblat por el Frente de Todos",0.008,0.004,0.015
"P10","Ramiro Marra por la Libertad Avanza",0.013,0.003,0.046
"P10","Al candidato del Frente de Izquierda",0.001,0.001,0.001
"P10","En blanco",0.004,0.005,0.003
"P10","No sabe",0.01,0.025,0.019
"P13","Jorge Macri por Juntos por el Cambio",0.866,0.185,0.402
"P13","Martín Lousteau  por Juntos por el Cambio",0.044,0.653,0.231
"P13","Leandro Santoro por el Frente de Todos",0.018,0.055,0.024
"P13","Ramiro Marra por la Libertad Avanza",0.038,0.031,0.126
"P13","Al candidato del Frente de Izquierda",0.022,0.028,0.005
"P13","En blanco",0.002,0.024,0.058
"P13","No sabe",0.01,0.024,0.154
"P16","Jorge Macri por Juntos por el Cambio",0.87,0.175,0.088
"P16","Martín Lousteau  por Juntos por el Cambio",0.041,0.654,0.052
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.03,0.079,0.748
"P16","Leandro Santoro por el Frente de Todos",0.006,0.042,0.015
"P16","Ramiro Marra por la Libertad Avanza",0.036,0.019,0.037
"P16","Al candidato del Frente de Izquierda",0.001,0.006,0.03
"P16","En blanco",0.001,0.007,0.024
"P16","No sabe",0.015,0.018,0.006
"P19","Jorge Macri por Juntos por el Cambio",0.965,0.612,0.631
"P19","Leandro Santoro por el Frente de Todos",0.003,0.09,0.032
"P19","Ramiro Marra por la Libertad Avanza",0.018,0.036,0.123
"P19","Al candidato del Frente de Izquierda",0.001,0.031,0.018
"P19","En blanco",0.001,0.09,0.048
"P19","No sabe",0.012,0.141,0.148
"P22","Martín Lousteau  por Juntos por el Cambio",0.405,0.733,0.415
"P22","Leandro Santoro por el Frente de Todos",0.068,0.087,0.066
"P22","Ramiro Marra por la Libertad Avanza",0.151,0.065,0.207
"P22","Al candidato del Frente de Izquierda",0.004,0.006,0.001
"P22","En blanco",0.122,0.039,0.144
"P22","No sabe",0.25,0.07,0.167
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.644,0.506,0.89
"P25","Leandro Santoro por el Frente de Todos",0.03,0.114,0.016
"P25","Ramiro Marra por la Libertad Avanza",0.086,0.059,0.045
"P25","Al candidato del Frente de Izquierda",0.003,0.02,0.009
"P25","En blanco",0.076,0.112,0.019
"P25","No sabe",0.161,0.189,0.021
"P26","Jorge Macri por Juntos por el Cambio",0.98,0.663,0.79
"P26","Leandro Santoro por el Frente de Todos",0.008,0.139,0.045
"P26","En blanco",0.001,0.107,0.061
"P26","No sabe",0.011,0.091,0.104
"P27","Martín Lousteau por Juntos por el Cambio",0.616,0.84,0.599
"P27","Leandro Santoro por el Frente de Todos",0.029,0.067,0.029
"P27","En blanco",0.196,0.04,0.234
"P27","No sabe",0.159,0.053,0.138
"P28","Ricardo López Murphy por Juntos por el Cambio",0.795,0.662,0.935
"P28","Leandro Santoro por el Frente de Todos",0.027,0.11,0.035
"P28","En blanco",0.078,0.109,0.012
"P28","No sabe",0.1,0.119,0.018
"P29","Lo votaría",0.933,0.422,0.423
"P29","Puede que lo vote",0.048,0.268,0.435
"P29","Nunca lo votaría",0.006,0.218,0.108
"P29","No sabe",0.013,0.092,0.034
"P30","Lo votaría",0.241,0.651,0.214
"P30","Puede que lo vote",0.337,0.18,0.369
"P30","Nunca lo votaría",0.309,0.119,0.378
"P30","No sabe",0.113,0.05,0.039
"P31","Lo votaría",0.43,0.332,0.864
"P31","Puede que lo vote",0.363,0.295,0.095
"P31","Nunca lo votaría",0.136,0.264,0.032
"P31","No sabe",0.071,0.109,0.009
"P32","Lo votaría",0.041,0.095,0.072
"P32","Puede que lo vote",0.052,0.116,0.019
"P32","Nunca lo votaría",0.859,0.718,0.871
"P32","No sabe",0.048,0.071,0.038
"P33","Lo votaría",0.007,0.04,0.042
"P33","Puede que lo vote",0.02,0.057,0.034
"P33","Nunca lo votaría",0.912,0.85,0.873
"P33","No sabe",0.061,0.053,0.051
"P34","Lo votaría",0.009,0.026,0.039
"P34","Puede que lo vote",0.021,0.044,0.014
"P34","Nunca lo votaría",0.786,0.768,0.773
"P34","No sabe",0.184,0.162,0.174
"P35","Lo votaría",0.046,0.024,0.059
"P35","Puede que lo vote",0.186,0.123,0.248
"P35","Nunca lo votaría",0.654,0.73,0.583
"P35","No sabe",0.114,0.123,0.11
"P36","Si",0.591,0.698,0.627
"P36","No",0.409,0.302,0.373
